Model Year,Regulatory Class,Vehicle Type,Reported quantity,Reported value
1995,All,All,Real-world city fuel economy (MPG),17.726
1995,Car,All Car,Real-world city fuel economy (MPG),19.85
1995,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.975
1995,Truck,All Truck,Real-world city fuel economy (MPG),14.944
1995,Truck,Pickup,Real-world city fuel economy (MPG),14.915
1995,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.775
1995,Truck,Truck SUV,Real-world city fuel economy (MPG),14.205
1995,Car,Car SUV,Real-world city fuel economy (MPG),15.669
1996,All,All,Real-world city fuel economy (MPG),17.603
1996,Car,All Car,Real-world city fuel economy (MPG),19.671
1996,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.826
1996,Truck,All Truck,Real-world city fuel economy (MPG),15.006
1996,Truck,Pickup,Real-world city fuel economy (MPG),15.07
1996,Truck,Truck SUV,Real-world city fuel economy (MPG),14.216
1996,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.918
1996,Car,Car SUV,Real-world city fuel economy (MPG),16.207
1997,All,All,Real-world city fuel economy (MPG),17.353
1997,Car,All Car,Real-world city fuel economy (MPG),19.674
1997,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.805
1997,Truck,All Truck,Real-world city fuel economy (MPG),14.731
1997,Truck,Pickup,Real-world city fuel economy (MPG),14.711
1997,Truck,Truck SUV,Real-world city fuel economy (MPG),14.202
1997,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.737
1997,Car,Car SUV,Real-world city fuel economy (MPG),17.071
1998,All,All,Real-world city fuel economy (MPG),17.227
1998,Car,All Car,Real-world city fuel economy (MPG),19.486
1998,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.731
1998,Truck,All Truck,Real-world city fuel economy (MPG),14.826
1998,Truck,Pickup,Real-world city fuel economy (MPG),14.799
1998,Truck,Truck SUV,Real-world city fuel economy (MPG),14.119
1998,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.02
1998,Car,Car SUV,Real-world city fuel economy (MPG),15.995
1999,All,All,Real-world city fuel economy (MPG),16.871
1999,Car,All Car,Real-world city fuel economy (MPG),19.165
1999,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.365
1999,Truck,All Truck,Real-world city fuel economy (MPG),14.456
1999,Truck,Pickup,Real-world city fuel economy (MPG),14.225
1999,Truck,Truck SUV,Real-world city fuel economy (MPG),14.062
1999,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.598
1999,Car,Car SUV,Real-world city fuel economy (MPG),16.283
2000,All,All,Real-world city fuel economy (MPG),16.932
2000,Car,All Car,Real-world city fuel economy (MPG),19.001
2000,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.274
2000,Truck,All Truck,Real-world city fuel economy (MPG),14.655
2000,Truck,Pickup,Real-world city fuel economy (MPG),14.6
2000,Truck,Truck SUV,Real-world city fuel economy (MPG),14.001
2000,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.853
2000,Car,Car SUV,Real-world city fuel economy (MPG),15.705
2001,All,All,Real-world city fuel economy (MPG),16.808
2001,Car,All Car,Real-world city fuel economy (MPG),19.095
2001,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.371
2001,Truck,All Truck,Real-world city fuel economy (MPG),14.37
2001,Truck,Truck SUV,Real-world city fuel economy (MPG),14.387
2001,Truck,Pickup,Real-world city fuel economy (MPG),13.919
2001,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.346
2001,Car,Car SUV,Real-world city fuel economy (MPG),16.447
2002,All,All,Real-world city fuel economy (MPG),16.637
2002,Car,All Car,Real-world city fuel economy (MPG),19.222
2002,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.43
2002,Truck,All Truck,Real-world city fuel economy (MPG),14.269
2002,Truck,Truck SUV,Real-world city fuel economy (MPG),14.116
2002,Truck,Pickup,Real-world city fuel economy (MPG),13.767
2002,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.872
2002,Car,Car SUV,Real-world city fuel economy (MPG),16.748
2003,All,All,Real-world city fuel economy (MPG),16.677
2003,Car,All Car,Real-world city fuel economy (MPG),19.317
2003,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.489
2003,Truck,All Truck,Real-world city fuel economy (MPG),14.383
2003,Truck,Truck SUV,Real-world city fuel economy (MPG),14.135
2003,Truck,Pickup,Real-world city fuel economy (MPG),14.02
2003,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.032
2003,Car,Car SUV,Real-world city fuel economy (MPG),17.215
2004,All,All,Real-world city fuel economy (MPG),16.342
2004,Car,All Car,Real-world city fuel economy (MPG),19.058
2004,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.258
2004,Truck,All Truck,Real-world city fuel economy (MPG),14.152
2004,Truck,Truck SUV,Real-world city fuel economy (MPG),14.087
2004,Truck,Pickup,Real-world city fuel economy (MPG),13.667
2004,Truck,Minivan/Van,Real-world city fuel economy (MPG),15.962
2004,Car,Car SUV,Real-world city fuel economy (MPG),16.983
2005,All,All,Real-world city fuel economy (MPG),16.789
2005,Car,All Car,Real-world city fuel economy (MPG),19.358
2005,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.598
2005,Truck,All Truck,Real-world city fuel economy (MPG),14.394
2005,Truck,Truck SUV,Real-world city fuel economy (MPG),14.298
2005,Truck,Pickup,Real-world city fuel economy (MPG),13.61
2005,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.072
2005,Car,Car SUV,Real-world city fuel economy (MPG),17.269
2006,All,All,Real-world city fuel economy (MPG),16.982
2006,Car,All Car,Real-world city fuel economy (MPG),19.208
2006,Car,Sedan/Wagon,Real-world city fuel economy (MPG),19.391
2006,Truck,All Truck,Real-world city fuel economy (MPG),14.649
2006,Truck,Truck SUV,Real-world city fuel economy (MPG),14.681
2006,Truck,Pickup,Real-world city fuel economy (MPG),13.893
2006,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.212
2006,Car,Car SUV,Real-world city fuel economy (MPG),17.454
2007,All,All,Real-world city fuel economy (MPG),17.381
2007,Car,All Car,Real-world city fuel economy (MPG),19.835
2007,Car,Sedan/Wagon,Real-world city fuel economy (MPG),20.129
2007,Truck,All Truck,Real-world city fuel economy (MPG),14.761
2007,Truck,Truck SUV,Real-world city fuel economy (MPG),15.071
2007,Truck,Pickup,Real-world city fuel economy (MPG),13.84
2007,Car,Car SUV,Real-world city fuel economy (MPG),17.583
2007,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.143
2008,All,All,Real-world city fuel economy (MPG),17.675
2008,Car,All Car,Real-world city fuel economy (MPG),19.977
2008,Car,Sedan/Wagon,Real-world city fuel economy (MPG),20.249
2008,Truck,All Truck,Real-world city fuel economy (MPG),15.133
2008,Truck,Truck SUV,Real-world city fuel economy (MPG),15.504
2008,Truck,Pickup,Real-world city fuel economy (MPG),14.069
2008,Car,Car SUV,Real-world city fuel economy (MPG),18.054
2008,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.429
2009,All,All,Real-world city fuel economy (MPG),18.915
2009,Car,All Car,Real-world city fuel economy (MPG),21.006
2009,Car,Sedan/Wagon,Real-world city fuel economy (MPG),21.269
2009,Truck,All Truck,Real-world city fuel economy (MPG),15.733
2009,Truck,Truck SUV,Real-world city fuel economy (MPG),16.417
2009,Truck,Pickup,Real-world city fuel economy (MPG),14.392
2009,Car,Car SUV,Real-world city fuel economy (MPG),18.847
2009,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.674
2010,All,All,Real-world city fuel economy (MPG),19.112
2010,Car,All Car,Real-world city fuel economy (MPG),21.67
2010,Car,Sedan/Wagon,Real-world city fuel economy (MPG),22.019
2010,Truck,All Truck,Real-world city fuel economy (MPG),15.942
2010,Truck,Truck SUV,Real-world city fuel economy (MPG),16.799
2010,Truck,Pickup,Real-world city fuel economy (MPG),14.325
2010,Car,Car SUV,Real-world city fuel economy (MPG),19.608
2010,Truck,Minivan/Van,Real-world city fuel economy (MPG),16.736
2011,All,All,Real-world city fuel economy (MPG),18.837
2011,Car,All Car,Real-world city fuel economy (MPG),21.328
2011,Car,Sedan/Wagon,Real-world city fuel economy (MPG),21.625
2011,Truck,All Truck,Real-world city fuel economy (MPG),16.237
2011,Truck,Truck SUV,Real-world city fuel economy (MPG),16.914
2011,Truck,Pickup,Real-world city fuel economy (MPG),14.632
2011,Car,Car SUV,Real-world city fuel economy (MPG),20.021
2011,Truck,Minivan/Van,Real-world city fuel economy (MPG),17.57
2012,All,All,Real-world city fuel economy (MPG),19.947
2012,Car,All Car,Real-world city fuel economy (MPG),22.7
2012,Car,Sedan/Wagon,Real-world city fuel economy (MPG),23.279
2012,Truck,All Truck,Real-world city fuel economy (MPG),16.36
2012,Truck,Truck SUV,Real-world city fuel economy (MPG),17.063
2012,Truck,Pickup,Real-world city fuel economy (MPG),14.584
2012,Car,Car SUV,Real-world city fuel economy (MPG),19.821
2012,Truck,Minivan/Van,Real-world city fuel economy (MPG),17.721
2013,All,All,Real-world city fuel economy (MPG),20.491
2013,Car,All Car,Real-world city fuel economy (MPG),23.393
2013,Car,Sedan/Wagon,Real-world city fuel economy (MPG),23.973
2013,Truck,All Truck,Real-world city fuel economy (MPG),16.777
2013,Truck,Truck SUV,Real-world city fuel economy (MPG),17.781
2013,Truck,Pickup,Real-world city fuel economy (MPG),14.794
2013,Car,Car SUV,Real-world city fuel economy (MPG),20.678
2013,Truck,Minivan/Van,Real-world city fuel economy (MPG),17.526
2014,All,All,Real-world city fuel economy (MPG),20.44
2014,Car,All Car,Real-world city fuel economy (MPG),23.385
2014,Car,Sedan/Wagon,Real-world city fuel economy (MPG),23.99
2014,Truck,All Truck,Real-world city fuel economy (MPG),17.266
2014,Truck,Truck SUV,Real-world city fuel economy (MPG),18.424
2014,Truck,Pickup,Real-world city fuel economy (MPG),15.281
2014,Car,Car SUV,Real-world city fuel economy (MPG),20.825
2014,Truck,Minivan/Van,Real-world city fuel economy (MPG),17.736
2015,All,All,Real-world city fuel economy (MPG),20.929
2015,Car,All Car,Real-world city fuel economy (MPG),23.908
2015,Car,Sedan/Wagon,Real-world city fuel economy (MPG),24.487
2015,Truck,All Truck,Real-world city fuel economy (MPG),17.925
2015,Truck,Truck SUV,Real-world city fuel economy (MPG),18.742
2015,Truck,Pickup,Real-world city fuel economy (MPG),15.974
2015,Car,Car SUV,Real-world city fuel economy (MPG),21.543
2015,Truck,Minivan/Van,Real-world city fuel economy (MPG),18.294
2016,All,All,Real-world city fuel economy (MPG),21.02
2016,Car,All Car,Real-world city fuel economy (MPG),24.189
2016,Truck,All Truck,Real-world city fuel economy (MPG),18.089
2016,Car,Sedan/Wagon,Real-world city fuel economy (MPG),24.636
2016,Truck,Truck SUV,Real-world city fuel economy (MPG),19.036
2016,Truck,Pickup,Real-world city fuel economy (MPG),16.103
2016,Car,Car SUV,Real-world city fuel economy (MPG),22.623
2016,Truck,Minivan/Van,Real-world city fuel economy (MPG),18.076
2017,All,All,Real-world city fuel economy (MPG),21.129
2017,Car,All Car,Real-world city fuel economy (MPG),24.769
2017,Truck,All Truck,Real-world city fuel economy (MPG),18.164
2017,Car,Sedan/Wagon,Real-world city fuel economy (MPG),25.542
2017,Truck,Truck SUV,Real-world city fuel economy (MPG),19.074
2017,Truck,Pickup,Real-world city fuel economy (MPG),16.087
2017,Car,Car SUV,Real-world city fuel economy (MPG),22.374
2017,Truck,Minivan/Van,Real-world city fuel economy (MPG),18.401
2018,All,All,Real-world city fuel economy (MPG),21.468
2018,Truck,All Truck,Real-world city fuel economy (MPG),18.734
2018,Car,All Car,Real-world city fuel economy (MPG),25.506
2018,Car,Sedan/Wagon,Real-world city fuel economy (MPG),26.118
2018,Truck,Truck SUV,Real-world city fuel economy (MPG),19.903
2018,Truck,Pickup,Real-world city fuel economy (MPG),16.299
2018,Car,Car SUV,Real-world city fuel economy (MPG),23.705
2018,Truck,Minivan/Van,Real-world city fuel economy (MPG),18.846
2019,All,All,Real-world city fuel economy (MPG),21.321
2019,Truck,All Truck,Real-world city fuel economy (MPG),18.787
2019,Car,All Car,Real-world city fuel economy (MPG),25.647
2019,Truck,Truck SUV,Real-world city fuel economy (MPG),20.163
2019,Car,Sedan/Wagon,Real-world city fuel economy (MPG),26.315
2019,Truck,Pickup,Real-world city fuel economy (MPG),16.229
2019,Car,Car SUV,Real-world city fuel economy (MPG),23.949
2019,Truck,Minivan/Van,Real-world city fuel economy (MPG),18.626
2020,All,All,Real-world city fuel economy (MPG),22.309
2020,Truck,All Truck,Real-world city fuel economy (MPG),19.642
2020,Car,All Car,Real-world city fuel economy (MPG),27.245
2020,Truck,Truck SUV,Real-world city fuel economy (MPG),20.804
2020,Car,Sedan/Wagon,Real-world city fuel economy (MPG),27.567
2020,Truck,Pickup,Real-world city fuel economy (MPG),16.83
2020,Car,Car SUV,Real-world city fuel economy (MPG),26.179
2020,Truck,Minivan/Van,Real-world city fuel economy (MPG),19.701
1975,All,All,Real-world highway fuel economy (MPG),14.612
1975,Car,All Car,Real-world highway fuel economy (MPG),15.173
1975,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),15.176
1975,Truck,All Truck,Real-world highway fuel economy (MPG),12.659
1975,Truck,Pickup,Real-world highway fuel economy (MPG),13.126
1975,Truck,Minivan/Van,Real-world highway fuel economy (MPG),11.861
1975,Truck,Truck SUV,Real-world highway fuel economy (MPG),11.549
1975,Car,Car SUV,Real-world highway fuel economy (MPG),12.645
1976,All,All,Real-world highway fuel economy (MPG),15.739
1976,Car,All Car,Real-world highway fuel economy (MPG),16.586
1976,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),16.592
1976,Truck,All Truck,Real-world highway fuel economy (MPG),13.216
1976,Truck,Pickup,Real-world highway fuel economy (MPG),13.422
1976,Truck,Minivan/Van,Real-world highway fuel economy (MPG),12.811
1976,Truck,Truck SUV,Real-world highway fuel economy (MPG),12.529
1976,Car,Car SUV,Real-world highway fuel economy (MPG),12.516
1977,All,All,Real-world highway fuel economy (MPG),16.606
1977,Car,All Car,Real-world highway fuel economy (MPG),17.351
1977,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),17.359
1977,Truck,All Truck,Real-world highway fuel economy (MPG),14.154
1977,Truck,Pickup,Real-world highway fuel economy (MPG),14.461
1977,Truck,Minivan/Van,Real-world highway fuel economy (MPG),13.278
1977,Truck,Truck SUV,Real-world highway fuel economy (MPG),13.678
1977,Car,Car SUV,Real-world highway fuel economy (MPG),13.564
1978,All,All,Real-world highway fuel economy (MPG),17.524
1978,Car,All Car,Real-world highway fuel economy (MPG),19.087
1978,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),19.099
1978,Truck,All Truck,Real-world highway fuel economy (MPG),13.675
1978,Truck,Pickup,Real-world highway fuel economy (MPG),14.069
1978,Truck,Minivan/Van,Real-world highway fuel economy (MPG),12.667
1978,Truck,Truck SUV,Real-world highway fuel economy (MPG),13.178
1978,Car,Car SUV,Real-world highway fuel economy (MPG),13.485
1979,All,All,Real-world highway fuel economy (MPG),17.392
1979,Car,All Car,Real-world highway fuel economy (MPG),19.176
1979,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),19.185
1979,Truck,All Truck,Real-world highway fuel economy (MPG),13.103
1979,Truck,Pickup,Real-world highway fuel economy (MPG),13.879
1979,Truck,Minivan/Van,Real-world highway fuel economy (MPG),12.052
1979,Truck,Truck SUV,Real-world highway fuel economy (MPG),10.813
1979,Car,Car SUV,Real-world highway fuel economy (MPG),14.774
1980,All,All,Real-world highway fuel economy (MPG),21.466
1980,Car,All Car,Real-world highway fuel economy (MPG),22.599
1980,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),22.6
1980,Truck,All Truck,Real-world highway fuel economy (MPG),17.117
1980,Truck,Pickup,Real-world highway fuel economy (MPG),17.944
1980,Truck,Minivan/Van,Real-world highway fuel economy (MPG),15.367
1980,Truck,Truck SUV,Real-world highway fuel economy (MPG),14.146
1980,Car,Car SUV,Real-world highway fuel economy (MPG),15.458
1981,All,All,Real-world highway fuel economy (MPG),23.049
1981,Car,All Car,Real-world highway fuel economy (MPG),24.245
1981,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),24.245
1981,Truck,All Truck,Real-world highway fuel economy (MPG),18.639
1981,Truck,Pickup,Real-world highway fuel economy (MPG),19.544
1981,Truck,Minivan/Van,Real-world highway fuel economy (MPG),16.046
1981,Truck,Truck SUV,Real-world highway fuel economy (MPG),15.537
1981,Car,Car SUV,Real-world highway fuel economy (MPG),16.06
1982,All,All,Real-world highway fuel economy (MPG),23.92
1982,Car,All Car,Real-world highway fuel economy (MPG),25.514
1982,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),25.527
1982,Truck,All Truck,Real-world highway fuel economy (MPG),19.023
1982,Truck,Pickup,Real-world highway fuel economy (MPG),20.26
1982,Truck,Minivan/Van,Real-world highway fuel economy (MPG),15.878
1982,Truck,Truck SUV,Real-world highway fuel economy (MPG),16.165
1982,Car,Car SUV,Real-world highway fuel economy (MPG),19.289
1983,All,All,Real-world highway fuel economy (MPG),23.883
1983,Car,All Car,Real-world highway fuel economy (MPG),25.458
1983,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),25.472
1983,Truck,All Truck,Real-world highway fuel economy (MPG),19.589
1983,Truck,Pickup,Real-world highway fuel economy (MPG),20.857
1983,Truck,Minivan/Van,Real-world highway fuel economy (MPG),16.499
1983,Truck,Truck SUV,Real-world highway fuel economy (MPG),17.697
1983,Car,Car SUV,Real-world highway fuel economy (MPG),22.359
1984,All,All,Real-world highway fuel economy (MPG),23.99
1984,Car,All Car,Real-world highway fuel economy (MPG),25.939
1984,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),25.962
1984,Truck,All Truck,Real-world highway fuel economy (MPG),19.267
1984,Truck,Pickup,Real-world highway fuel economy (MPG),20.227
1984,Truck,Minivan/Van,Real-world highway fuel economy (MPG),17.746
1984,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.033
1984,Car,Car SUV,Real-world highway fuel economy (MPG),22.101
1985,All,All,Real-world highway fuel economy (MPG),24.411
1985,Car,All Car,Real-world highway fuel economy (MPG),26.727
1985,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),26.75
1985,Truck,All Truck,Real-world highway fuel economy (MPG),19.324
1985,Truck,Pickup,Real-world highway fuel economy (MPG),20.077
1985,Truck,Minivan/Van,Real-world highway fuel economy (MPG),18.1
1985,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.739
1985,Car,Car SUV,Real-world highway fuel economy (MPG),24.203
1986,All,All,Real-world highway fuel economy (MPG),24.995
1986,Car,All Car,Real-world highway fuel economy (MPG),27.569
1986,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.609
1986,Truck,All Truck,Real-world highway fuel economy (MPG),20.142
1986,Truck,Pickup,Real-world highway fuel economy (MPG),20.812
1986,Truck,Minivan/Van,Real-world highway fuel economy (MPG),19.382
1986,Truck,Truck SUV,Real-world highway fuel economy (MPG),19.058
1986,Car,Car SUV,Real-world highway fuel economy (MPG),21.658
1987,All,All,Real-world highway fuel economy (MPG),25.26
1987,Car,All Car,Real-world highway fuel economy (MPG),27.691
1987,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.741
1987,Truck,All Truck,Real-world highway fuel economy (MPG),20.448
1987,Truck,Pickup,Real-world highway fuel economy (MPG),21.207
1987,Truck,Minivan/Van,Real-world highway fuel economy (MPG),19.789
1987,Truck,Truck SUV,Real-world highway fuel economy (MPG),19.455
1987,Car,Car SUV,Real-world highway fuel economy (MPG),23.055
1988,All,All,Real-world highway fuel economy (MPG),25.206
1988,Car,All Car,Real-world highway fuel economy (MPG),28.117
1988,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),28.189
1988,Truck,All Truck,Real-world highway fuel economy (MPG),20.127
1988,Truck,Pickup,Real-world highway fuel economy (MPG),20.386
1988,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.334
1988,Truck,Truck SUV,Real-world highway fuel economy (MPG),19.17
1988,Car,Car SUV,Real-world highway fuel economy (MPG),22.531
1989,All,All,Real-world highway fuel economy (MPG),24.782
1989,Car,All Car,Real-world highway fuel economy (MPG),27.777
1989,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.855
1989,Truck,All Truck,Real-world highway fuel economy (MPG),19.788
1989,Truck,Pickup,Real-world highway fuel economy (MPG),20.005
1989,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.215
1989,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.619
1989,Car,Car SUV,Real-world highway fuel economy (MPG),22.055
1990,All,All,Real-world highway fuel economy (MPG),24.61
1990,Car,All Car,Real-world highway fuel economy (MPG),27.44
1990,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.496
1990,Truck,All Truck,Real-world highway fuel economy (MPG),19.771
1990,Truck,Pickup,Real-world highway fuel economy (MPG),19.746
1990,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.435
1990,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.648
1990,Car,Car SUV,Real-world highway fuel economy (MPG),21.534
1991,All,All,Real-world highway fuel economy (MPG),24.718
1991,Car,All Car,Real-world highway fuel economy (MPG),27.365
1991,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.606
1991,Truck,All Truck,Real-world highway fuel economy (MPG),20.241
1991,Truck,Pickup,Real-world highway fuel economy (MPG),20.697
1991,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.454
1991,Truck,Truck SUV,Real-world highway fuel economy (MPG),19.079
1991,Car,Car SUV,Real-world highway fuel economy (MPG),20.547
1992,All,All,Real-world highway fuel economy (MPG),24.364
1992,Car,All Car,Real-world highway fuel economy (MPG),27.183
1992,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.471
1992,Truck,All Truck,Real-world highway fuel economy (MPG),19.863
1992,Truck,Pickup,Real-world highway fuel economy (MPG),20.046
1992,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.529
1992,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.493
1992,Car,Car SUV,Real-world highway fuel economy (MPG),20.127
1993,All,All,Real-world highway fuel economy (MPG),24.445
1993,Car,All Car,Real-world highway fuel economy (MPG),27.259
1993,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.864
1993,Truck,All Truck,Real-world highway fuel economy (MPG),20.114
1993,Truck,Pickup,Real-world highway fuel economy (MPG),20.167
1993,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.049
1993,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.577
1993,Car,Car SUV,Real-world highway fuel economy (MPG),19.629
1994,All,All,Real-world highway fuel economy (MPG),23.788
1994,Car,All Car,Real-world highway fuel economy (MPG),27.355
1994,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.721
1994,Truck,All Truck,Real-world highway fuel economy (MPG),19.627
1994,Truck,Pickup,Real-world highway fuel economy (MPG),19.913
1994,Truck,Minivan/Van,Real-world highway fuel economy (MPG),20.547
1994,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.192
1994,Car,Car SUV,Real-world highway fuel economy (MPG),20.484
1995,All,All,Real-world highway fuel economy (MPG),24.068
1995,Car,All Car,Real-world highway fuel economy (MPG),27.877
1995,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),28.115
1995,Truck,All Truck,Real-world highway fuel economy (MPG),19.446
1995,Truck,Pickup,Real-world highway fuel economy (MPG),19.333
1995,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.009
1995,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.189
1995,Car,Car SUV,Real-world highway fuel economy (MPG),20.487
1996,All,All,Real-world highway fuel economy (MPG),24.037
1996,Car,All Car,Real-world highway fuel economy (MPG),27.644
1996,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.957
1996,Truck,All Truck,Real-world highway fuel economy (MPG),19.786
1996,Truck,Pickup,Real-world highway fuel economy (MPG),19.676
1996,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.693
1996,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.374
1996,Car,Car SUV,Real-world highway fuel economy (MPG),21.133
1997,All,All,Real-world highway fuel economy (MPG),23.62
1997,Car,All Car,Real-world highway fuel economy (MPG),27.64
1997,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.968
1997,Truck,All Truck,Real-world highway fuel economy (MPG),19.37
1997,Truck,Pickup,Real-world highway fuel economy (MPG),19.388
1997,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.406
1997,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.163
1997,Car,Car SUV,Real-world highway fuel economy (MPG),21.737
1998,All,All,Real-world highway fuel economy (MPG),23.594
1998,Car,All Car,Real-world highway fuel economy (MPG),27.452
1998,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.958
1998,Truck,All Truck,Real-world highway fuel economy (MPG),19.722
1998,Truck,Pickup,Real-world highway fuel economy (MPG),19.58
1998,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.549
1998,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.963
1998,Car,Car SUV,Real-world highway fuel economy (MPG),20.836
1999,All,All,Real-world highway fuel economy (MPG),23.047
1999,Car,All Car,Real-world highway fuel economy (MPG),27.04
1999,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.501
1999,Truck,All Truck,Real-world highway fuel economy (MPG),19.108
1999,Truck,Pickup,Real-world highway fuel economy (MPG),18.626
1999,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.353
1999,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.49
1999,Car,Car SUV,Real-world highway fuel economy (MPG),21.0
2000,All,All,Real-world highway fuel economy (MPG),23.046
2000,Car,All Car,Real-world highway fuel economy (MPG),26.708
2000,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.291
2000,Truck,All Truck,Real-world highway fuel economy (MPG),19.276
2000,Truck,Pickup,Real-world highway fuel economy (MPG),18.906
2000,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.218
2000,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.83
2000,Car,Car SUV,Real-world highway fuel economy (MPG),20.29
2001,All,All,Real-world highway fuel economy (MPG),22.786
2001,Car,All Car,Real-world highway fuel economy (MPG),26.744
2001,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.347
2001,Truck,All Truck,Real-world highway fuel economy (MPG),18.838
2001,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.579
2001,Truck,Pickup,Real-world highway fuel economy (MPG),18.149
2001,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.122
2001,Car,Car SUV,Real-world highway fuel economy (MPG),21.401
2002,All,All,Real-world highway fuel economy (MPG),22.541
2002,Car,All Car,Real-world highway fuel economy (MPG),26.803
2002,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.232
2002,Truck,All Truck,Real-world highway fuel economy (MPG),18.843
2002,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.654
2002,Truck,Pickup,Real-world highway fuel economy (MPG),17.832
2002,Truck,Minivan/Van,Real-world highway fuel economy (MPG),21.852
2002,Car,Car SUV,Real-world highway fuel economy (MPG),22.024
2003,All,All,Real-world highway fuel economy (MPG),22.715
2003,Car,All Car,Real-world highway fuel economy (MPG),27.118
2003,Car,Sedan/Wagon,Real-world highway fuel economy (MPG),27.503
2003,Truck,All Truck,Real-world highway fuel economy (MPG),19.095
2003,Truck,Truck SUV,Real-world highway fuel economy (MPG),18.835
2003,Truck,Pickup,Real-world highway fuel economy (MPG),18.185
2003,Truck,Minivan/Van,Real-world highway fuel economy (MPG),22.216
