Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Agriculture and Waste - Posterior,PYVARLMDZ/SURF1,211.94,134.95,76.21,0.79,5.51,4.09,16.19,6.03,9.67,6.50,3.45,37.32,21.00,3.54,16.40,16.67,2.93,7.56,32.70,2.43,2.70,6.86
Agriculture and Waste - Posterior,PYVARLMDZ/SURF2,201.71,130.64,70.30,0.78,5.42,4.09,16.81,6.34,9.59,6.48,3.55,34.63,19.76,3.65,15.66,16.28,2.77,7.26,27.84,2.46,2.59,6.38
Agriculture and Waste - Posterior,TM5-4Dvar/GOSAT1,218.09,142.62,74.83,0.64,5.14,5.57,21.55,9.17,11.33,17.12,5.82,33.41,23.83,3.92,24.07,14.49,4.51,4.64,25.26,2.41,1.66,3.77
Agriculture and Waste - Posterior,TM5-4Dvar/GOSAT2,236.16,159.78,75.71,0.67,3.38,5.28,27.83,14.32,12.28,17.15,7.04,33.60,25.78,6.51,21.31,14.83,4.36,4.46,29.73,2.52,1.57,3.79
Agriculture and Waste - Posterior,TM5-4Dvar/SURF1,206.64,137.04,68.83,0.78,6.48,4.97,20.45,7.21,12.51,11.47,4.71,34.82,21.97,3.42,19.29,13.08,2.85,7.98,26.32,2.90,2.16,3.57
Agriculture and Waste - Posterior,TM5-4Dvar/SURF2,223.80,152.11,70.87,0.82,5.70,4.32,31.31,11.93,12.32,10.70,5.08,32.02,23.12,5.52,17.30,13.81,3.10,8.72,29.60,3.02,2.15,3.58
Agriculture and Waste - Posterior,TM5-CAMS/GOSAT,223.48,135.70,86.97,0.82,6.82,6.38,20.84,10.53,12.70,11.72,5.39,31.08,19.72,4.65,21.36,21.03,5.18,7.92,27.44,2.54,3.06,4.80
Agriculture and Waste - Posterior,TM5-CAMS/SURF,211.01,126.99,83.13,0.90,7.13,5.49,24.06,7.79,10.89,9.38,4.95,23.61,19.94,4.00,26.08,20.47,2.60,6.27,26.58,2.88,3.73,4.83
Agriculture and Waste - Posterior,TOMCAT/surf,175.46,107.74,67.06,0.66,17.31,2.66,4.55,1.49,0.02,0.00,0.00,5.20,4.07,14.09,9.50,0.01,5.03,0.33,10.86,0.00,2.40,0.17
Fossil fuels - Posterior,CTE-CH4/GOSAT,107.23,51.87,51.98,3.39,2.63,3.11,1.11,2.26,-3.78,10.60,4.11,5.34,9.41,2.31,17.89,6.58,5.95,11.69,12.83,0.61,3.66,7.63
Fossil fuels - Posterior,CTE-CH4/SURF,112.59,49.57,56.85,6.17,1.92,3.09,2.11,2.13,7.53,8.61,2.74,4.12,7.91,1.70,13.72,7.86,4.96,10.14,13.90,0.61,3.00,12.98
Fossil fuels - Posterior,GELCA/SURF,131.45,44.14,83.25,4.06,2.05,2.59,1.90,1.70,4.85,3.52,2.31,4.75,6.12,1.76,10.92,10.01,6.51,15.78,27.42,0.77,2.37,24.75
Fossil fuels - Posterior,MIROC4-ACTM-Cao/SURF,80.52,47.31,33.94,-0.74,1.31,3.64,5.85,2.87,7.04,6.50,2.42,1.93,7.66,1.08,2.52,3.03,3.81,14.27,10.90,0.67,-1.32,3.77
Fossil fuels - Posterior,NICAM-TM/4DVar,104.41,51.52,48.95,3.94,2.02,2.83,1.09,1.54,5.18,7.13,1.99,4.20,6.77,1.19,11.67,5.24,4.38,19.08,11.63,0.55,2.15,9.93
Fossil fuels - Posterior,NIES-TM-FLEXPART/GOSAT,112.48,46.41,61.16,4.91,1.76,2.90,1.38,1.79,5.55,6.79,2.21,3.95,7.31,1.55,10.35,6.41,4.68,15.22,24.07,0.79,2.40,11.11
Fossil fuels - Posterior,NIES-TM-FLEXPART/SURF,114.89,46.81,61.13,6.95,1.92,2.86,1.33,1.73,5.61,6.02,2.13,4.28,7.28,1.52,11.42,7.39,5.16,17.09,20.20,0.60,2.72,12.87
Fossil fuels - Posterior,PYVARLMDZ/GOSAT1,106.77,51.45,45.57,9.75,1.87,10.19,1.19,2.26,6.17,4.73,2.21,3.31,5.83,1.77,8.87,5.35,3.55,12.84,19.29,0.61,1.33,14.14
Fossil fuels - Posterior,PYVARLMDZ/GOSAT2,100.35,48.78,47.55,4.02,1.74,3.18,1.53,2.02,5.74,7.66,2.43,3.77,7.79,1.61,9.51,5.88,4.15,14.40,15.53,0.66,1.81,8.57
Fossil fuels - Posterior,PYVARLMDZ/GOSAT3,110.14,39.60,65.90,4.64,1.73,2.17,1.54,1.64,3.97,2.44,1.86,4.38,6.52,1.70,9.51,8.03,4.64,14.44,21.88,1.29,1.45,15.85
Fossil fuels - Posterior,PYVARLMDZ/GOSAT4,104.66,37.64,62.61,4.41,1.61,2.12,1.63,1.77,3.72,2.39,1.91,3.96,6.19,1.74,8.71,7.59,4.21,12.95,21.67,1.25,1.35,15.06
Fossil fuels - Posterior,PYVARLMDZ/GOSAT5,112.46,37.66,69.65,5.16,1.58,2.01,1.60,1.75,3.56,2.13,1.87,4.12,6.58,1.77,8.86,7.90,4.38,12.79,27.03,1.35,1.47,16.76
Fossil fuels - Posterior,PYVARLMDZ/GOSAT6,101.95,36.98,60.82,4.15,1.53,2.07,1.71,1.89,3.46,2.25,1.96,3.77,6.41,1.80,8.09,7.14,3.84,11.78,22.70,1.25,1.29,14.22
Fossil fuels - Posterior,PYVARLMDZ/SURF1,124.42,37.43,79.67,7.32,1.61,1.88,1.36,1.39,3.72,1.91,1.65,4.66,6.69,1.60,10.52,8.28,5.23,13.96,28.74,1.17,1.96,23.18
Fossil fuels - Posterior,PYVARLMDZ/SURF2,119.12,36.31,75.74,7.07,1.59,1.88,1.40,1.45,3.65,1.90,1.68,4.34,6.31,1.63,10.10,8.08,5.03,13.35,26.82,1.21,1.86,22.01
Fossil fuels - Posterior,TM5-4Dvar/GOSAT1,83.23,37.73,42.84,2.65,1.13,4.56,1.63,1.66,3.31,7.91,3.48,2.24,7.23,1.62,9.81,4.72,5.76,3.14,14.41,0.44,1.66,5.63
Fossil fuels - Posterior,TM5-4Dvar/GOSAT2,92.50,38.99,51.35,2.17,0.74,4.62,2.37,2.35,3.34,6.38,4.27,2.54,6.34,2.28,12.06,5.77,6.78,3.31,18.27,0.56,1.44,7.16
Fossil fuels - Posterior,TM5-4Dvar/SURF1,87.66,48.51,35.53,3.63,1.90,3.07,1.38,1.60,5.90,9.87,2.83,3.08,8.46,1.32,8.14,3.65,3.33,13.42,7.96,0.54,1.89,6.08
Fossil fuels - Posterior,TM5-4Dvar/SURF2,96.72,49.49,44.27,2.97,1.54,2.61,2.42,2.11,6.02,8.04,3.07,2.96,9.23,1.93,10.29,4.43,4.42,14.15,11.19,0.61,2.05,7.24
Fossil fuels - Posterior,TM5-CAMS/GOSAT,109.84,37.86,68.84,3.15,2.35,3.90,2.14,1.93,5.70,4.85,3.24,4.15,4.72,1.68,12.75,10.36,8.83,8.46,13.09,0.41,2.13,17.91
Fossil fuels - Posterior,TM5-CAMS/SURF,104.91,36.81,64.41,3.69,2.40,3.22,2.27,1.61,4.22,4.40,2.97,2.66,5.86,1.35,16.20,10.21,4.29,8.37,11.79,0.54,2.80,18.45
Fossil fuels - Posterior,TOMCAT/surf,170.14,80.48,84.72,4.95,3.38,3.84,4.31,3.01,8.96,7.85,4.64,13.07,13.31,3.35,16.88,8.12,3.34,19.96,35.60,0.85,3.56,15.04
Biomass and Biofuel Burning - Posterior,CTE-CH4/GOSAT,27.97,19.77,7.11,1.10,0.42,0.16,1.60,0.62,1.42,4.63,2.29,2.63,4.14,0.48,0.48,0.93,0.15,0.27,4.88,0.11,1.07,1.70
Biomass and Biofuel Burning - Posterior,CTE-CH4/SURF,27.66,19.54,7.14,0.98,0.42,0.16,1.44,0.58,1.42,4.62,2.29,2.64,4.10,0.47,0.49,0.93,0.17,0.27,4.88,0.11,0.93,1.74
Biomass and Biofuel Burning - Posterior,GELCA/SURF,29.74,21.02,7.24,1.48,0.52,0.19,1.96,0.80,1.84,4.10,2.52,2.59,4.85,0.77,0.67,1.30,0.15,0.39,3.36,0.10,0.86,2.75
Biomass and Biofuel Burning - Posterior,MIROC4-ACTM-Cao/SURF,36.02,27.65,7.38,1.00,0.83,0.56,3.16,0.95,1.80,5.63,2.50,3.15,7.04,0.50,0.50,0.99,0.16,0.32,4.96,0.12,0.92,1.85
Biomass and Biofuel Burning - Posterior,NICAM-TM/4DVar,26.97,20.01,6.02,0.95,0.44,0.16,1.51,0.53,1.61,4.80,2.28,3.00,3.64,0.48,0.53,0.88,0.18,0.24,4.03,0.09,0.90,1.67
Biomass and Biofuel Burning - Posterior,NIES-TM-FLEXPART/GOSAT,34.91,25.27,8.24,1.40,0.68,0.33,2.29,0.91,1.95,5.16,2.64,2.74,6.31,0.93,0.69,0.91,0.21,0.32,4.50,0.11,0.96,3.25
Biomass and Biofuel Burning - Posterior,NIES-TM-FLEXPART/SURF,34.60,25.05,8.25,1.30,0.70,0.32,2.18,0.90,1.95,5.02,2.61,3.15,6.18,0.88,0.75,1.03,0.25,0.34,3.92,0.09,0.85,3.44
Biomass and Biofuel Burning - Posterior,PYVARLMDZ/GOSAT1,28.80,21.54,6.35,0.91,0.50,0.22,1.58,0.82,1.45,5.71,2.82,2.38,3.99,0.70,0.53,0.79,0.17,0.22,4.52,0.07,0.70,1.62
