year,animal,population_Mhd
1988,geese and guinea fowls,201.738
1988,goats,622.146929
1988,horses,70.671953
1988,mules,19.803264
1988,pigs,1161.350019
1988,rabbits and hares,438.721
1988,"rodents, other",22.39
1988,sheep,1263.562293
1988,turkeys,399.852
1989,asses,54.531882
1989,beehives,77.042905
1989,buffaloes,166.744533
1989,"camelids, other",5.492900000000001
1989,camels,20.246586
1989,cattle,1365.392305
1989,chickens,12236.131
1989,ducks,830.409
1989,geese and guinea fowls,209.437
1989,goats,663.465562
1989,horses,70.763034
1989,mules,20.103734999999997
1989,pigs,1190.226292
1989,rabbits and hares,443.553
1989,"rodents, other",22.4
1989,sheep,1305.9011699999999
1989,turkeys,417.06800000000004
1990,asses,54.8912
1990,beehives,76.719551
1990,buffaloes,169.60599
1990,"camelids, other",5.437048
1990,camels,20.261189
1990,cattle,1374.496304
1990,chickens,12702.514000000001
1990,ducks,890.995
1990,geese and guinea fowls,236.631
1990,goats,685.147192
1990,horses,71.296876
1990,mules,20.221106
1990,pigs,1203.149605
1990,rabbits and hares,535.3
1990,"rodents, other",22.41
1990,sheep,1315.999837
1990,turkeys,439.897
1991,asses,55.055822
1991,beehives,77.737073
1991,buffaloes,171.397126
1991,"camelids, other",5.383261
1991,camels,20.512520000000002
1991,cattle,1382.927073
1991,chickens,13363.682999999999
1991,ducks,916.607
1991,geese and guinea fowls,271.711
1991,goats,697.771793
1991,horses,71.374812
1991,mules,20.382077
1991,pigs,1239.898476
1991,rabbits and hares,486.259
1991,"rodents, other",22.91
1991,sheep,1299.984715
1991,turkeys,443.245
1992,asses,55.384885
1992,beehives,75.190603
1992,buffaloes,174.515069
1992,"camelids, other",5.41721
1992,camels,20.269453
1992,cattle,1392.512189
1992,chickens,13885.372
1992,ducks,1069.7259999999999
1992,geese and guinea fowls,310.30899999999997
1992,goats,704.524178
1992,horses,71.208034
1992,mules,20.617238999999998
1992,pigs,1250.2052449999999
1992,rabbits and hares,384.43
1992,"rodents, other",22.915
1992,sheep,1278.44974
1992,turkeys,427.498
1993,asses,53.017843
1993,beehives,73.878505
1993,buffaloes,176.29677199999998
1993,"camelids, other",5.423215
1993,camels,19.953521000000002
1993,cattle,1396.191364
1993,chickens,14639.865
1993,ducks,1163.904
1993,geese and guinea fowls,371.16400000000004
1993,goats,714.5270380000001
1993,horses,69.258455
1993,mules,20.573317
1993,pigs,1269.251702
1993,rabbits and hares,406.90099999999995
1993,"rodents, other",22.915
1993,sheep,1233.988865
1993,turkeys,428.256
1994,asses,53.202656
1994,beehives,72.684124
1994,buffaloes,178.822072
1994,"camelids, other",5.524184
1994,camels,20.240321
1994,cattle,1411.924345
1994,chickens,15497.126
1994,ducks,1239.416
1994,geese and guinea fowls,404.079
1994,goats,752.564181
1994,horses,69.24985
1994,mules,20.337328
1994,pigs,1285.907203
1994,rabbits and hares,428.899
1994,"rodents, other",22.915
1994,sheep,1225.425055
1994,turkeys,439.88499999999993
1995,asses,53.675382
1995,beehives,72.593471
1995,buffaloes,181.458061
1995,"camelids, other",5.621707
1995,camels,20.558595
1995,cattle,1430.729923
1995,chickens,15952.428
1995,ducks,1321.298
1995,geese and guinea fowls,454.052
1995,goats,801.73261
1995,horses,69.819354
1995,mules,20.03014
1995,pigs,1320.9546209999999
1995,rabbits and hares,355.24600000000004
1995,"rodents, other",22.915
1995,sheep,1196.684241
1995,turkeys,450.20599999999996
1996,asses,52.608937
1996,beehives,72.38130100000001
1996,buffaloes,182.549856
1996,"camelids, other",5.624890000000001
1996,camels,20.553676
1996,cattle,1441.744395
1996,chickens,16962.929
1996,ducks,1423.677
1996,geese and guinea fowls,423.64599999999996
1996,goats,859.6431180000001
1996,horses,69.366379
1996,mules,19.094465
1996,pigs,1362.390576
1996,rabbits and hares,368.507
1996,"rodents, other",22.915
1996,sheep,1193.151475
1996,turkeys,467.18
1997,asses,50.423464
1997,beehives,72.85625
1997,buffaloes,176.74108400000003
1997,"camelids, other",5.645742
1997,camels,20.75244
1997,cattle,1403.307705
1997,chickens,18100.889
1997,ducks,1596.339
1997,geese and guinea fowls,477.605
1997,goats,822.39549
1997,horses,66.739728
1997,mules,17.832494
1997,pigs,1208.506116
1997,rabbits and hares,367.70799999999997
1997,"rodents, other",22.915
1997,sheep,1160.018451
1997,turkeys,469.38599999999997
1998,asses,50.7309
1998,beehives,73.714522
1998,buffaloes,183.211251
1998,"camelids, other",5.6573709999999995
1998,camels,21.211745
1998,cattle,1412.659148
1998,chickens,16261.511
1998,ducks,1313.397
1998,geese and guinea fowls,397.415
1998,goats,855.908595
1998,horses,66.674231
1998,mules,17.82394
1998,pigs,1278.663401
1998,rabbits and hares,382.993
1998,"rodents, other",18.915
1998,sheep,1171.400242
1998,turkeys,455.791
1999,asses,51.256086
1999,beehives,74.272978
1999,buffaloes,184.942984
1999,"camelids, other",6.0969120000000006
1999,camels,21.901755
1999,cattle,1418.413263
1999,chickens,17064.752
1999,ducks,1425.852
1999,geese and guinea fowls,420.406
1999,goats,881.696273
1999,horses,66.79786
1999,mules,17.75832
1999,pigs,1319.511066
1999,rabbits and hares,400.767
1999,"rodents, other",14.92
1999,sheep,1188.296273
1999,turkeys,442.43600000000004
2000,asses,50.848582
2000,beehives,76.793263
2000,buffaloes,186.849832
2000,"camelids, other",6.241029
2000,camels,22.172376
2000,cattle,1424.516699
2000,chickens,18013.863
2000,ducks,1543.599
2000,geese and guinea fowls,452.958
2000,goats,907.035342
2000,horses,66.649044
2000,mules,17.550463
2000,pigs,1337.583788
2000,rabbits and hares,427.053
2000,"rodents, other",15.42
2000,sheep,1196.683238
2000,turkeys,449.01200000000006
2001,asses,51.130649
2001,beehives,77.990165
2001,buffaloes,189.045114
2001,"camelids, other",6.245494000000001
2001,camels,22.678432
2001,cattle,1421.787149
2001,chickens,18723.229
2001,ducks,1609.796
2001,geese and guinea fowls,458.935
2001,goats,921.086679
2001,horses,66.68546500000001
2001,mules,17.284723
2001,pigs,1305.918539
2001,rabbits and hares,444.89
2001,"rodents, other",15.62
2001,sheep,1173.638027
2001,turkeys,459.5570000000001
2002,asses,51.30445
2002,beehives,79.526881
2002,buffaloes,191.43475400000003
2002,"camelids, other",6.541385
2002,camels,23.137059999999998
2002,cattle,1428.4964009999999
2002,chickens,20217.208
2002,ducks,1734.941
2002,geese and guinea fowls,521.195
2002,goats,929.54541
2002,horses,65.272673
2002,mules,16.999932
2002,pigs,1319.227047
2002,rabbits and hares,447.985
2002,"rodents, other",15.92
2002,sheep,1166.06127
2002,turkeys,470.35699999999997
2003,asses,50.802649
2003,beehives,79.908046
2003,buffaloes,194.24294600000002
2003,"camelids, other",6.6398600000000005
2003,camels,23.767877
2003,cattle,1439.192859
2003,chickens,20158.707
2003,ducks,1680.755
2003,geese and guinea fowls,514.038
2003,goats,948.497158
2003,horses,65.950319
2003,mules,16.583069000000002
2003,pigs,1323.264155
2003,rabbits and hares,454.976
2003,"rodents, other",16.225
2003,sheep,1178.357962
2003,turkeys,455.146
2004,asses,50.429006
2004,beehives,81.073181
2004,buffaloes,196.301746
2004,"camelids, other",6.724764
2004,camels,24.727244
2004,cattle,1452.448648
2004,chickens,20956.174
2004,ducks,1759.083
2004,geese and guinea fowls,575.206
2004,goats,974.917788
2004,horses,66.454034
2004,mules,16.126706
2004,pigs,1313.5853439999998
2004,rabbits and hares,466.372
2004,"rodents, other",16.425
2004,sheep,1216.406045
2004,turkeys,443.998
2005,asses,50.114631
2005,beehives,82.613519
2005,buffaloes,199.371724
2005,"camelids, other",7.252177
2005,camels,25.113473
2005,cattle,1465.365199
2005,chickens,21667.635000000002
2005,ducks,1812.808
2005,geese and guinea fowls,604.43
2005,goats,1002.790045
2005,horses,67.060428
2005,mules,15.673071
2005,pigs,1332.598982
2005,rabbits and hares,476.363
2005,"rodents, other",16.925
2005,sheep,1255.825213
2005,turkeys,436.88599999999997
2006,asses,50.278731
2006,beehives,83.996442
2006,buffaloes,203.106204
2006,"camelids, other",7.327884
2006,camels,25.40378
2006,cattle,1479.299873
2006,chickens,22043.444
2006,ducks,1843.763
2006,geese and guinea fowls,630.055
2006,goats,998.8307570000001
2006,horses,66.98914
2006,mules,15.388736
2006,pigs,1365.5184590000001
2006,rabbits and hares,510.931
2006,"rodents, other",16.925
2006,sheep,1259.847377
2006,turkeys,444.571
2007,asses,49.925969
2007,beehives,83.537459
2007,buffaloes,206.789795
2007,"camelids, other",7.46822
2007,camels,28.19328
2007,cattle,1484.802988
2007,chickens,22996.334
2007,ducks,1756.112
2007,geese and guinea fowls,549.056
2007,goats,1018.51306
2007,horses,66.994747
2007,mules,15.091553
2007,pigs,1344.8003410000001
2007,rabbits and hares,505.426
2007,"rodents, other",17.425
2007,sheep,1266.097187
2007,turkeys,462.14099999999996
2008,asses,48.589885
2008,beehives,84.888224
2008,buffaloes,209.013087
2008,"camelids, other",7.550043
2008,camels,29.401336
2008,cattle,1498.1832160000001
2008,chickens,30977.99
2008,ducks,1860.889
2008,geese and guinea fowls,656.501
2008,goats,1045.666582
2008,horses,66.723592
2008,mules,14.089357
2008,pigs,1385.197705
2008,rabbits and hares,488.024
2008,"rodents, other",17.925
2008,sheep,1248.279925
2008,turkeys,473.49899999999997
2009,asses,45.893467
2009,beehives,85.919389
2009,buffaloes,224.246908
2009,"camelids, other",8.186207
2009,camels,29.225583
2009,cattle,1480.4132220000001
2009,chickens,31550.788
2009,ducks,1883.364
2009,geese and guinea fowls,686.299
2009,goats,1062.037306
2009,horses,64.582445
2009,mules,12.477827
2009,pigs,1446.1772310000001
2009,rabbits and hares,500.82599999999996
2009,"rodents, other",18.225
2009,sheep,1244.440562
2009,turkeys,446.371
2010,asses,45.224392
2010,beehives,88.578429
2010,buffaloes,223.498377
2010,"camelids, other",8.07209
2010,camels,29.901690000000002
2010,cattle,1480.454464
2010,chickens,32198.349
2010,ducks,1991.7839999999999
2010,geese and guinea fowls,717.971
2010,goats,1060.055492
2010,horses,63.470345
2010,mules,11.46217
2010,pigs,1445.681214
2010,rabbits and hares,515.005
2010,"rodents, other",18.425
2010,sheep,1243.571347
2010,turkeys,447.58299999999997
2011,asses,45.125754
2011,beehives,89.35475
2011,buffaloes,223.337403
2011,"camelids, other",8.626757
2011,camels,30.421526
2011,cattle,1481.646478
2011,chickens,31320.303
2011,ducks,1779.997
2011,geese and guinea fowls,620.0500000000001
2011,goats,1073.246375
2011,horses,63.219086000000004
2011,mules,11.189404
2011,pigs,1450.854788
2011,rabbits and hares,522.093
2011,"rodents, other",18.425
2011,sheep,1263.770347
2011,turkeys,452.546
2012,asses,51.974996
2012,beehives,92.042894
2012,buffaloes,223.825451
2012,"camelids, other",8.756914
2012,camels,30.713568
2012,cattle,1491.3605559999999
2012,chickens,31922.53
2012,ducks,1833.891
2012,geese and guinea fowls,643.573
2012,goats,1090.919229
2012,horses,61.458788
2012,mules,10.92157
2012,pigs,1470.689057
