year,region,animal,population_Mhd
1964,Asia,geese and guinea fowls,23.819
1964,Asia,goats,215.999976
1964,Asia,horses,14.53739
1964,Asia,mules,2.051161
1964,Asia,pigs,171.851756
1964,Asia,rabbits and hares,23.259
1964,Asia,sheep,243.763684
1964,Asia,turkeys,3.522
1964,Europe,asses,3.155037
1964,Europe,beehives,21.159899
1964,Europe,buffaloes,0.694222
1964,Europe,camels,0.2922
1964,Europe,cattle,200.482999
1964,Europe,chickens,1376.167
1964,Europe,ducks,24.926
1964,Europe,geese and guinea fowls,12.318
1964,Europe,goats,18.748321
1964,Europe,horses,18.486645
1964,Europe,mules,1.799276
1964,Europe,pigs,155.756537
1964,Europe,rabbits and hares,77.387
1964,Europe,sheep,264.736899
1964,Europe,turkeys,35.904
1964,Northern America,asses,0.016
1964,Northern America,beehives,5.98324
1964,Northern America,cattle,119.582867
1964,Northern America,chickens,863.594
1964,Northern America,ducks,3.999
1964,Northern America,geese and guinea fowls,0.331
1964,Northern America,goats,3.9183
1964,Northern America,horses,1.942082
1964,Northern America,mules,0.026
1964,Northern America,pigs,67.45368
1964,Northern America,sheep,27.7245
1964,Northern America,turkeys,103.992
1964,Oceania,asses,0.01115
1964,Oceania,beehives,0.533519
1964,Oceania,cattle,26.083135
1964,Oceania,chickens,27.713
1964,Oceania,ducks,0.415
1964,Oceania,geese and guinea fowls,0.078
1964,Oceania,goats,0.317664
1964,Oceania,horses,0.658868
1964,Oceania,pigs,3.087722
1964,Oceania,sheep,216.279986
1964,Oceania,turkeys,0.257
1964,South America,asses,3.226622
1964,South America,beehives,1.714513
1964,South America,buffaloes,0.063
1964,South America,"camelids, other",5.915
1964,South America,cattle,151.271583
1964,South America,chickens,288.891
1964,South America,ducks,5.511
1964,South America,geese and guinea fowls,0.256
1964,South America,goats,19.544746
1964,South America,horses,12.261756
1964,South America,mules,2.708363
1964,South America,pigs,39.986776
1964,South America,rabbits and hares,1.657
1964,South America,"rodents, other",21.275
1964,South America,sheep,116.594098
1964,South America,turkeys,1.963
1965,Africa,asses,10.805122
1965,Africa,beehives,7.822375
1965,Africa,buffaloes,1.617026
1965,Africa,camels,10.208696
1965,Africa,cattle,134.022859
1965,Africa,chickens,316.566
1965,Africa,ducks,6.725
1965,Africa,geese and guinea fowls,4.182
1965,Africa,goats,101.014923
1965,Africa,horses,3.640271
1965,Africa,mules,1.950399
1965,Africa,pigs,6.172668
1965,Africa,rabbits and hares,3.021
1965,Africa,sheep,143.304489
1965,Africa,turkeys,1.468
1965,Asia,asses,16.116872
1965,Asia,beehives,12.831637
1965,Asia,buffaloes,92.022025
1965,Asia,camels,4.102171
1965,Asia,cattle,328.908498
1965,Asia,chickens,1278.13
1965,Asia,ducks,178.902
1965,Asia,geese and guinea fowls,25.879
1965,Asia,goats,212.267645
1965,Asia,horses,15.138184
1965,Asia,mules,2.084527
1965,Asia,pigs,194.620482
1965,Asia,rabbits and hares,23.927
1965,Asia,sheep,252.602916
1965,Asia,turkeys,3.485
1965,Europe,asses,2.876732
1965,Europe,beehives,20.966688
1965,Europe,buffaloes,0.646804
1965,Europe,camels,0.247
1965,Europe,cattle,204.026002
1965,Europe,chickens,1392.918
1965,Europe,ducks,25.419
1965,Europe,geese and guinea fowls,12.765
1965,Europe,goats,18.517561
1965,Europe,horses,17.311751
1965,Europe,mules,1.523969
1965,Europe,pigs,173.897229
1965,Europe,rabbits and hares,78.773
1965,Europe,sheep,257.863786
1965,Europe,turkeys,31.659
1965,Northern America,asses,0.016
1965,Northern America,beehives,5.13103
1965,Northern America,cattle,121.129832
1965,Northern America,chickens,904.276
1965,Northern America,ducks,4.004
1965,Northern America,geese and guinea fowls,0.331
1965,Northern America,goats,4.07327
1965,Northern America,horses,3.138154
1965,Northern America,mules,0.026
1965,Northern America,pigs,61.70374
1965,Northern America,sheep,25.676008
1965,Northern America,turkeys,109.103
1965,Oceania,asses,0.01117
1965,Oceania,beehives,0.52591
1965,Oceania,cattle,25.969275
1965,Oceania,chickens,28.657
1965,Oceania,ducks,0.418
1965,Oceania,geese and guinea fowls,0.079
1965,Oceania,goats,0.320978
1965,Oceania,horses,0.65223
1965,Oceania,pigs,3.243691
1965,Oceania,sheep,224.376438
1965,Oceania,turkeys,0.273
1965,South America,asses,3.291001
1965,South America,beehives,1.666262
1965,South America,buffaloes,0.082
1965,South America,"camelids, other",6.176
1965,South America,cattle,158.049697
1965,South America,chickens,287.733
1965,South America,ducks,5.743
1965,South America,geese and guinea fowls,0.267
1965,South America,goats,19.707201
1965,South America,horses,12.31036
1965,South America,mules,2.746088
1965,South America,pigs,40.923916
1965,South America,rabbits and hares,1.679
1965,South America,"rodents, other",21.32
1965,South America,sheep,119.611068
1965,South America,turkeys,2.084
1966,Africa,asses,10.699068
1966,Africa,beehives,7.950264
1966,Africa,buffaloes,1.646023
1966,Africa,camels,10.787445
1966,Africa,cattle,134.794037
1966,Africa,chickens,330.798
1966,Africa,ducks,6.875
1966,Africa,geese and guinea fowls,4.257
1966,Africa,goats,103.863767
1966,Africa,horses,3.616838
1966,Africa,mules,1.979456
1966,Africa,pigs,6.224351
1966,Africa,rabbits and hares,3.149
1966,Africa,sheep,150.828078
1966,Africa,turkeys,1.587
1966,Asia,asses,16.59183
1966,Asia,beehives,14.118065
1966,Asia,buffaloes,96.477635
1966,Asia,camels,4.149482
1966,Asia,cattle,331.18532
1966,Asia,chickens,1317.672
1966,Asia,ducks,185.002
1966,Asia,geese and guinea fowls,26.98
1966,Asia,goats,210.663232
1966,Asia,horses,15.575567
1966,Asia,mules,2.149112
1966,Asia,pigs,211.415211
1966,Asia,rabbits and hares,24.924
1966,Asia,sheep,259.677371
1966,Asia,turkeys,3.763
1966,Europe,asses,2.675915
1966,Europe,beehives,21.215962
1966,Europe,buffaloes,0.678727
1966,Europe,camels,0.244
1966,Europe,cattle,213.629939
1966,Europe,chickens,1399.678
1966,Europe,ducks,25.657
1966,Europe,geese and guinea fowls,12.53
1966,Europe,goats,18.252234
1966,Europe,horses,17.03921
1966,Europe,mules,1.379701
1966,Europe,pigs,175.923365
1966,Europe,rabbits and hares,80.203
1966,Europe,sheep,262.041274
1966,Europe,turkeys,31.266
1966,Northern America,asses,0.016003
1966,Northern America,beehives,5.07586
1966,Northern America,cattle,120.766055
1966,Northern America,chickens,926.914
1966,Northern America,ducks,4.011
1966,Northern America,geese and guinea fowls,0.339
1966,Northern America,goats,4.23625
1966,Northern America,horses,3.262727
1966,Northern America,mules,0.026009
1966,Northern America,pigs,55.608758
1966,Northern America,sheep,25.2203
1966,Northern America,turkeys,120.285
1966,Oceania,asses,0.01123
1966,Oceania,beehives,0.510733
1966,Oceania,cattle,25.524321
1966,Oceania,chickens,29.037
1966,Oceania,ducks,0.43
1966,Oceania,geese and guinea fowls,0.082
1966,Oceania,goats,0.31046
1966,Oceania,horses,0.6265
1966,Oceania,pigs,3.297284
1966,Oceania,sheep,214.913914
1966,Oceania,turkeys,0.322
1966,South America,asses,3.497064
1966,South America,beehives,1.698552
1966,South America,buffaloes,0.087
1966,South America,"camelids, other",6.179
1966,South America,cattle,163.438064
1966,South America,chickens,287.844
1966,South America,ducks,6.172
1966,South America,geese and guinea fowls,0.283
1966,South America,goats,19.861765
1966,South America,horses,12.435859
1966,South America,mules,2.743287
1966,South America,pigs,41.877611
1966,South America,rabbits and hares,1.802
1966,South America,"rodents, other",21.346
1966,South America,sheep,120.507663
1966,South America,turkeys,2.214
1967,Africa,asses,10.774805
1967,Africa,beehives,7.717458
1967,Africa,buffaloes,1.675015
1967,Africa,camels,11.460653
1967,Africa,cattle,138.996784
1967,Africa,chickens,344.959
1967,Africa,ducks,7.429
1967,Africa,geese and guinea fowls,4.332
1967,Africa,goats,108.179417
1967,Africa,horses,3.642578
1967,Africa,mules,2.043572
1967,Africa,pigs,6.329365
1967,Africa,rabbits and hares,3.157
1967,Africa,sheep,153.695339
1967,Africa,turkeys,1.597
1967,Asia,asses,16.859053
1967,Asia,beehives,14.240893
1967,Asia,buffaloes,98.710727
1967,Asia,camels,4.121772
1967,Asia,cattle,335.470154
1967,Asia,chickens,1395.234
1967,Asia,ducks,190.732
1967,Asia,geese and guinea fowls,29.101
1967,Asia,goats,209.946718
1967,Asia,horses,15.65013
1967,Asia,mules,2.199949
1967,Asia,pigs,238.177588
1967,Asia,rabbits and hares,27.072
1967,Asia,sheep,260.766892
1967,Asia,turkeys,3.972
1967,Europe,asses,2.643538
1967,Europe,beehives,21.473087
1967,Europe,buffaloes,0.690224
1967,Europe,camels,0.251
1967,Europe,cattle,219.591097
1967,Europe,chickens,1462.11
1967,Europe,ducks,26.651
1967,Europe,geese and guinea fowls,13.918
1967,Europe,goats,18.582012
1967,Europe,horses,16.853971
1967,Europe,mules,1.347052
1967,Europe,pigs,177.59626
1967,Europe,rabbits and hares,81.072
1967,Europe,sheep,267.836597
1967,Europe,turkeys,28.872
1967,Northern America,asses,0.018004
1967,Northern America,beehives,5.08007
1967,Northern America,cattle,120.508118
1967,Northern America,chickens,960.679
1967,Northern America,ducks,4.109
1967,Northern America,geese and guinea fowls,0.348
1967,Northern America,goats,3.98326
1967,Northern America,horses,3.479211
1967,Northern America,mules,0.028008
1967,Northern America,pigs,62.955003
1967,Northern America,sheep,24.416708
1967,Northern America,turkeys,130.214
1967,Oceania,asses,0.0113
1967,Oceania,beehives,0.520723
1967,Oceania,cattle,26.423701
1967,Oceania,chickens,29.32
1967,Oceania,ducks,0.435
1967,Oceania,geese and guinea fowls,0.082
1967,Oceania,goats,0.2738
1967,Oceania,horses,0.607335
1967,Oceania,pigs,3.306888
1967,Oceania,sheep,224.274552
1967,Oceania,turkeys,0.375
1967,South America,asses,3.638779
1967,South America,beehives,1.675458
1967,South America,buffaloes,0.091
1967,South America,"camelids, other",6.069
1967,South America,cattle,169.667056
1967,South America,chickens,296.833
1967,South America,ducks,5.879
1967,South America,geese and guinea fowls,0.226
1967,South America,goats,17.828982
1967,South America,horses,12.528427
1967,South America,mules,2.714246
1967,South America,pigs,42.698762
1967,South America,rabbits and hares,1.726
1967,South America,"rodents, other",21.082
1967,South America,sheep,120.220794
1967,South America,turkeys,1.91
1968,Africa,asses,10.962132
1968,Africa,beehives,7.667631
1968,Africa,buffaloes,1.943026
1968,Africa,camels,12.011185
1968,Africa,cattle,142.562938
1968,Africa,chickens,359.179
1968,Africa,ducks,7.517
1968,Africa,geese and guinea fowls,4.407
1968,Africa,goats,111.22627
1968,Africa,horses,3.586982
1968,Africa,mules,2.062338
1968,Africa,pigs,6.712263
1968,Africa,rabbits and hares,3.165
1968,Africa,sheep,157.968952
1968,Africa,turkeys,1.712
1968,Asia,asses,17.24904
1968,Asia,beehives,14.421992
1968,Asia,buffaloes,101.664355
1968,Asia,camels,4.156715
1968,Asia,cattle,339.472208
1968,Asia,chickens,1451.307
1968,Asia,ducks,198.441
1968,Asia,geese and guinea fowls,30.991
1968,Asia,goats,214.059984
1968,Asia,horses,15.955052
1968,Asia,mules,2.425994
1968,Asia,pigs,236.640489
1968,Asia,rabbits and hares,29.041
1968,Asia,sheep,269.784084
1968,Asia,turkeys,4.071
1968,Europe,asses,2.596208
1968,Europe,beehives,21.553536
1968,Europe,buffaloes,0.691372
1968,Europe,camels,0.256
1968,Europe,cattle,220.497352
1968,Europe,chickens,1509.98
1968,Europe,ducks,26.803
1968,Europe,geese and guinea fowls,14.197
1968,Europe,goats,18.113063
1968,Europe,horses,16.557992
1968,Europe,mules,1.265672
1968,Europe,pigs,175.750021
1968,Europe,rabbits and hares,84.678
1968,Europe,sheep,269.771268
1968,Europe,turkeys,29.016
1968,Northern America,asses,0.018004
1968,Northern America,beehives,4.954
1968,Northern America,cattle,121.049805
1968,Northern America,chickens,966.008
1968,Northern America,ducks,4.123
1968,Northern America,geese and guinea fowls,0.364
1968,Northern America,goats,3.58723
1968,Northern America,horses,3.834827
1968,Northern America,mules,0.028007
1968,Northern America,pigs,64.960017
1968,Northern America,sheep,22.644008
1968,Northern America,turkeys,110.312
1968,Oceania,asses,0.01135
1968,Oceania,beehives,0.563331
1968,Oceania,cattle,27.896453
1968,Oceania,chickens,30.232
1968,Oceania,ducks,0.428
1968,Oceania,geese and guinea fowls,0.085
1968,Oceania,goats,0.2993
1968,Oceania,horses,0.576865
1968,Oceania,pigs,3.598616
1968,Oceania,sheep,227.39339
1968,Oceania,turkeys,0.375
1968,South America,asses,3.724277
1968,South America,beehives,1.644143
1968,South America,buffaloes,0.096
1968,South America,"camelids, other",6.252
1968,South America,cattle,173.225958
1968,South America,chickens,313.318
1968,South America,ducks,6.095
1968,South America,geese and guinea fowls,0.235
1968,South America,goats,17.988485
1968,South America,horses,12.589701
1968,South America,mules,2.784098
1968,South America,pigs,42.566178
1968,South America,rabbits and hares,1.701
1968,South America,"rodents, other",20.942
1968,South America,sheep,118.638385
1968,South America,turkeys,2.001
1969,Africa,asses,10.977475
1969,Africa,beehives,7.874429
1969,Africa,buffaloes,1.976025
1969,Africa,camels,12.069459
1969,Africa,cattle,145.601517
1969,Africa,chickens,377.204
1969,Africa,ducks,7.765
1969,Africa,geese and guinea fowls,4.483
1969,Africa,goats,113.191824
1969,Africa,horses,3.665284
1969,Africa,mules,2.08851
1969,Africa,pigs,7.112648
1969,Africa,rabbits and hares,3.177
1969,Africa,sheep,161.202241
1969,Africa,turkeys,1.828
1969,Asia,asses,17.397637
1969,Asia,beehives,14.737413
1969,Asia,buffaloes,103.444902
1969,Asia,camels,4.16171
1969,Asia,cattle,340.273599
1969,Asia,chickens,1511.908
1969,Asia,ducks,204.312
1969,Asia,geese and guinea fowls,33.256
1969,Asia,goats,213.220733
1969,Asia,horses,16.145737
1969,Asia,mules,2.648211
1969,Asia,pigs,225.788632
1969,Asia,rabbits and hares,30.881
1969,Asia,sheep,266.414974
1969,Asia,turkeys,4.334
1969,Europe,asses,2.513394
1969,Europe,beehives,21.657465
1969,Europe,buffaloes,0.690996
1969,Europe,camels,0.263
1969,Europe,cattle,218.603923
1969,Europe,chickens,1540.454
1969,Europe,ducks,25.491
1969,Europe,geese and guinea fowls,13.977
1969,Europe,goats,17.88372
1969,Europe,horses,16.169292
1969,Europe,mules,1.238612
1969,Europe,pigs,173.199896
1969,Europe,rabbits and hares,88.574
1969,Europe,sheep,269.192142
1969,Europe,turkeys,30.873
1969,Northern America,asses,0.018005
1969,Northern America,beehives,4.85206
1969,Northern America,cattle,121.417314
1969,Northern America,chickens,999.474
1969,Northern America,ducks,3.941
1969,Northern America,geese and guinea fowls,0.377
1969,Northern America,goats,3.23018
1969,Northern America,horses,4.11399
1969,Northern America,mules,0.028008
1969,Northern America,pigs,66.619046
1969,Northern America,sheep,21.7356
1969,Northern America,turkeys,110.629
1969,Oceania,asses,0.0114
1969,Oceania,beehives,0.501953
1969,Oceania,cattle,29.6677
1969,Oceania,chickens,31.55
1969,Oceania,ducks,0.354
1969,Oceania,geese and guinea fowls,0.084
1969,Oceania,goats,0.303886
1969,Oceania,horses,0.58555
1969,Oceania,pigs,3.757174
1969,Oceania,sheep,234.547205
1969,Oceania,turkeys,0.475
1969,South America,asses,3.69594
1969,South America,beehives,1.673698
1969,South America,buffaloes,0.106
1969,South America,"camelids, other",6.6303
1969,South America,cattle,173.9522
1969,South America,chickens,328.748
1969,South America,ducks,6.078
1969,South America,geese and guinea fowls,0.258
1969,South America,goats,18.21714
1969,South America,horses,11.892887
1969,South America,mules,2.7025
