,dam_name,height_m,reservoir_capacity_million_m^3,reservoir_area_km^2
472,Mratinje,220.0,880.0,8.0
486,Ringedalsvatn,34.0,202.0,6.8
488,Solbergfoss,38.0,157.0,70.2
489,Svartavatn Dam,18.0,22.0,0.7
490,Nedre Skjerkavatn,,19.0,3.2
491,Bjolsegrovatn Hoveddam,21.0,89.0,4.3
492,Navatn 1,25.0,106.0,3.9
493,Kalhovd,15.0,256.4,21.5
494,Palsbufjord,20.0,290.0,18.0
496,Sylsjo,23.0,185.0,17.3
497,Namsvatn Hoveddam,20.0,458.0,23.7
498,Raudalsvatn,40.0,139.4,4.3
499,Strandevatn Fyllingsdam,40.0,619.8,16.4
500,Aursjo,40.0,561.0,35.3
501,Godbotsvatn,24.0,21.9,1.6
503,Osbudammen,32.0,140.6,8.7
504,Juvatn Hoveddam,46.0,142.0,6.7
505,Fjellhaugvatn,32.0,22.4,0.9
506,Flavatn Dam,30.0,205.0,14.7
508,Slettedalen Dam,72.0,87.0,2.5
509,Bordalsvatn Hoveddam,42.0,154.4,7.0
511,Songa Hoveddam,42.0,638.6,25.3
517,Stordalsvatn,18.0,33.7,1.6
520,Nespervatn,17.0,30.0,1.5
521,Lyngsvatn Hoveddam,37.0,275.0,9.9
525,Mosevatn Hoveddam,34.0,25.4,0.6
526,Krokevatn,18.0,83.0,3.0
527,Kulivatn,22.0,32.0,1.7
529,Votna 1,24.0,119.0,2.9
531,Tunhovd Fyllingsdam,37.0,352.0,25.7
533,Vasstolvatn,25.0,11.0,0.5
534,Langavatn Dam 1,30.0,165.0,4.7
535,Kalvatn,49.0,687.2,10.1
536,Nesjen Hoveddam,50.0,274.0,10.6
537,Roskreppfjord Hoveddam,48.0,684.0,26.4
538,Nilsebuvatn,22.0,30.0,2.5
540,Dyrskardvatn Dam,16.0,9.0,1.1
541,Muravatn Hoveddam,77.0,78.8,3.0
542,Arsdalsvatn,44.0,41.5,1.6
543,Akersvatn,53.0,1244.7,15.0
544,Manndola Fyllingsdam,27.0,212.5,6.0
545,Zakariasvatn,90.0,70.0,1.3
546,Grasjo,69.0,206.0,10.4
547,Follsjo,76.0,180.0,5.3
549,Gressvatn,23.0,227.0,24.1
552,Rudsvaten,25.0,217.0,8.2
554,Kvilesteinsvatn Hoveddam,47.0,61.0,3.6
555,Nesjo Hoveddam,45.0,625.0,53.0
556,Guolasjavrre,27.0,140.0,12.2
558,Gravatn Dam,29.0,275.0,4.6
559,Sandvatn Dam,20.0,20.0,0.7
561,Sisovatn North Dam,15.0,561.0,10.6
564,Batsvatn Hoveddam,43.0,159.6,20.4
565,Masevatn Hoveddam,27.0,183.0,13.0
567,Oljusjoen,,165.0,8.0
568,Finnabuvatn Dam,19.0,25.7,1.3
569,Kaldevatn Hoveddam,26.0,19.0,1.6
570,Nedre Havardsvatn Dam 1,44.0,119.3,0.7
571,Heggmovatn,22.0,97.0,8.5
573,Askjelldalsvatn,34.0,64.4,2.7
574,Svartevatn Dam,130.0,1398.0,22.9
575,Bossvatn Hoveddam,32.0,236.0,6.6
576,Rieppejavri Hoveddam,26.0,145.6,3.2
578,Tunsbergdalsvatn,43.0,173.0,1.8
579,Forsvatn Hoveddam,55.0,110.2,2.6
580,Sysenvatnet,81.0,427.0,10.5
582,Ovre Kalvvatn Hoveddam,70.0,158.0,7.6
584,Oyarvatn Hoveddam,15.0,67.0,6.6
585,Langavatn Hoveddam,57.0,142.3,6.9
587,Nerskogen Hoveddam,53.0,144.0,6.6
588,Akslaratjorn Sperredam,31.0,56.5,2.8
589,Vatnedalen Hoveddam,120.0,1100.0,11.1
590,Skjerjevatn Hoveddam,25.0,31.2,2.2
592,Holskardvatn Hoveddam,25.0,235.8,4.6
593,Falningsjoen Hoveddam,33.0,125.0,2.1
594,Reinoksvatn,21.0,390.0,5.0
595,Forrevassdammen,,775.0,13.6
596,Virdnejavri,142.0,140.0,7.6
597,Storvatn,90.0,2325.0,49.1
598,Dokkfloyvatn,81.0,197.0,9.1
599,Styggevatn,60.0,274.0,6.1
601,Storglomvatn,125.0,3468.0,51.9
604,Stolsvatn,23.0,219.0,36.2
606,Lesna,45.0,15.0,0.8
607,Pilchowice,69.0,54.0,1.1
608,Zlotniki,36.0,12.4,0.7
609,Otmuchow,17.0,124.5,13.3
610,Porabka,37.0,26.6,2.5
612,Roznow,49.0,167.0,12.7
613,Czchow,19.0,12.0,1.7
615,Koronowo,25.0,80.6,8.8
616,Myczkowce,30.0,10.0,1.1
617,Debe,19.0,94.3,15.7
618,Tresna,37.0,102.7,7.5
619,Solina,82.0,474.0,16.1
620,Wloclawek,24.0,408.0,56.8
621,Nysa,22.0,116.8,13.6
622,Sulejow,21.0,84.2,17.1
626,Dobczyce,41.0,127.0,8.8
629,Jeziorsko,20.0,202.8,35.8
631,Czorsztyn-Niedzica,60.0,234.5,10.2
632,Nielisz,13.0,19.5,4.4
633,Wiory,26.0,35.0,2.2
634,Swinna Poreba,50.0,161.0,10.4
635,Guilhofrei,49.0,22.0,1.0
636,Santa Luzia,76.0,53.7,1.4
637,Vale do Gaio,51.0,63.0,2.0
638,Pego do Altar,63.0,94.0,10.7
639,Idanha,54.0,77.8,3.4
640,Castelo do Bode,115.0,1095.0,19.6
641,Pracana,60.0,116.5,2.4
642,Venda Nova,97.0,96.5,3.0
643,Salamonde,75.0,65.0,1.4
644,Campilhas,35.0,27.2,1.3
645,Cabril,136.0,720.0,5.7
646,Arade,50.0,28.4,0.3
647,Bouqa,65.0,49.0,1.5
648,Canicada,76.0,170.6,4.3
649,Maranhao,55.0,205.4,5.5
650,Bravura,41.0,34.8,1.6
651,Montargil,48.0,164.3,10.5
652,Picote,100.0,63.8,0.5
653,Paradela,110.0,164.5,2.2
654,Miranda,80.0,28.0,0.2
655,Bemposta,87.0,128.8,2.2
656,Alto Rabagao,94.0,568.7,16.0
658,Vilar,58.0,99.8,5.7
664,Carrapatelo,57.0,148.4,8.0
665,Vilarinho das Furnas,94.0,118.0,2.2
666,Fratel,43.0,92.5,4.4
667,Regua,42.0,95.0,8.7
668,Valeira,48.0,97.0,5.0
669,Varosa,76.0,14.5,0.2
673,Raiva,36.0,24.1,1.3
674,Aguieira,89.0,450.0,11.3
676,Pocinho,49.0,83.1,5.0
678,Fronhas,62.0,89.0,0.9
680,Crestuma,60.0,110.0,14.1
682,Torrao,69.0,124.0,2.3
684,Alto Lindoso,110.0,390.0,6.2
685,Touvedo,43.0,15.5,1.3
687,Alqueva,96.0,4150.0,244.0
688,Dubasari,26.0,485.0,67.5
689,Costesti-Stanca,47.0,642.5,29.5
709,Gura Apelor,168.0,210.0,4.1
710,Poiana Marului,125.0,96.0,0.6
711,Izvorul Muntelui,127.0,1230.0,19.8
712,Piatra Neamt,27.0,10.0,1.6
713,Cincis,48.0,43.0,1.4
715,Vidraru,166.0,469.0,5.3
716,Racova,20.0,8.7,1.0
717,Pitesti,20.0,4.5,0.7
718,Paltinu,108.0,53.7,0.9
719,Iron Gate 1,60.0,2550.0,118.6
720,Zigoneni,29.0,13.3,1.5
721,Vidra,121.0,340.0,4.6
722,Poiana Uzului,82.0,90.0,2.2
723,Ramnicu Valcea,34.0,19.0,2.9
724,Tarnita,97.0,74.0,1.4
728,Valcele,35.0,54.8,4.0
729,Govora,26.0,18.5,4.1
730,Sacele,45.0,18.3,0.5
732,Daesti,29.0,11.2,2.4
734,Bucecea,12.0,25.0,2.3
735,Strejesti,33.0,225.0,23.2
736,Ionesti,34.0,24.9,4.6
737,Budeasa,33.0,54.9,3.6
738,Babeni,33.0,59.7,8.5
740,Fantanele,92.0,225.0,4.1
741,Zavideni,30.0,50.0,10.9
742,Cerna Principal,110.0,124.0,1.7
743,Oasa,91.0,136.0,1.5
746,Stinca Costesti,43.0,1290.0,41.3
747,Slatina,26.0,19.2,5.5
748,Arcesti,31.0,43.4,8.9
749,Dragasani,32.0,40.0,12.2
750,Gura Raului,74.0,17.5,0.3
751,Calimanesti,29.0,4.6,2.1
754,Golesti,32.0,78.5,5.9
755,Petresti,22.0,13.0,0.2
756,Galbeni,24.0,39.6,5.6
757,Iron Gate 2,54.0,868.0,87.3
758,Racaciuni,29.0,103.7,11.8
760,Beresti,29.0,120.0,18.0
762,Ipotesti,31.0,110.0,16.8
763,Herculane,58.0,15.8,0.3
765,Dragan,120.0,112.0,1.7
767,Rogojesti,15.0,55.8,6.4
768,Draganesti,34.0,76.0,11.4
770,Voila,21.0,12.3,1.9
771,Tileagd,37.0,52.9,5.2
772,Frunzaru,30.0,96.0,16.1
773,Vadeni,25.0,4.8,1.0
774,Hateg,32.0,12.5,0.9
775,Vistea,20.0,4.3,1.2
776,Lugasu,29.0,65.4,4.6
777,Rusanesti,29.0,78.0,11.5
778,Arpasu,20.0,7.3,2.1
779,Scoreiu,22.0,5.2,1.5
780,Zeter,48.0,44.0,1.0
781,Colibita,92.0,90.0,3.1
782,Maneciu,75.0,60.0,0.6
783,Siriu,122.0,155.0,1.1
784,Mihailesti,18.0,68.0,10.3
785,Izbiceni,29.0,74.0,8.0
786,Avrig,23.0,10.8,2.6
787,Valea Sadului,51.0,305.0,10.0
788,Volkhov,18.0,3000.0,959.8
789,Nizhne-Svirskaya,28.0,119.0,17.1
794,Ivankovo,28.0,1170.0,215.3
795,Uglich,26.0,1240.0,175.5
796,Rybinsk,30.0,25400.0,4042.3
797,Sheksna,34.0,6500.0,316.7
798,Tsimliansk,41.0,24000.0,2253.9
799,Verkhne-Svirskaya,32.0,17500.0,9773.9
800,Kama,37.0,12200.0,1584.9
801,Kuibyshev,45.0,58000.0,5060.3
802,Gorky,32.0,8700.0,1325.4
803,Kniazhaya Cuba,19.0,3430.0,744.0
804,Narva,15.0,182.5,
805,Irkutsk,44.0,46000.0,31968.0
806,Onda,36.0,1090.0,193.0
807,Novosibrisk,27.0,8800.0,1024.2
808,Irikla,49.0,3260.0,222.5
809,Volgograd,44.0,31500.0,2613.4
810,Pavlovskaya,53.0,1410.0,82.3
811,Iova,27.0,2000.0,237.6
812,Chiryurt,38.0,110.0,2.8
813,Egorlyskaia,33.0,110.0,9.7
815,Votkinsk,44.0,9400.0,841.8
816,Kumskaya,20.0,10800.0,1020.8
819,Bratsk,125.0,169000.0,4810.8
820,Verkhne-Tulomskaya,30.0,11520.0,688.8
821,Vilyui,64.0,35900.0,2090.9
822,Saratov,40.0,12900.0,1073.4
823,Ust-Khantaika,65.0,23500.0,1441.7
824,Serebrianka 1,78.0,4170.0,203.8
825,Krasnoyarsk,124.0,73300.0,1629.6
826,Serebrianka 2,64.0,428.0,27.5
829,Ust-Ilim,102.0,59300.0,1702.9
830,Zeya,115.0,68400.0,2234.8
831,Chirkey,233.0,2780.0,30.2
832,Cheboksary,42.0,13850.0,2190.0
833,Nizhne-Kamskaya,36.0,2800.0,1084.0
834,Verkhne-Teriberskaya,43.0,451.0,26.1
835,Kureiskaya,81.0,9900.0,559.1
836,Sayano-Shushenskaya,242.0,31300.0,282.4
838,Vlasina-Vrla 1,34.0,167.0,10.8
839,Medjuvrsje,31.0,18.5,1.0
840,Zvornik,42.0,89.0,7.9
841,Kokin Brod,82.0,250.0,5.2
844,Bajina Basta,90.0,340.0,4.3
845,Gazivode,107.0,370.0,8.5
848,Uvac,110.0,210.0,2.4
850,Lazici,131.0,170.0,1.4
855,Zavoj,86.0,170.0,2.9
857,Orava,41.0,346.0,28.3
858,Nosice,33.0,35.9,4.7
859,Drahovce,23.0,12.2,3.8
861,Velka Domasa,35.0,180.0,11.0
862,Ruzin 1,63.0,58.0,2.0
865,Liptovska Mara,53.0,360.5,18.3
866,Besenova,13.0,9.8,1.3
867,Kralova,34.0,50.8,11.3
871,Hrusov,24.0,160.0,33.9
872,Zilina,15.0,17.9,1.7
873,Vuzenica,34.0,14.2,1.0
874,Vuhred,33.0,19.3,1.5
879,Bolarque,46.0,30.7,2.8
880,El Burguillo,91.0,208.0,5.9
882,Alfonso 13,47.0,21.6,1.2
883,Talarn,86.0,205.1,4.9
884,El Talave,46.0,33.3,1.8
885,Camarasa,103.0,163.4,4.4
887,Conde de Guadalhorce,74.0,74.1,2.9
888,Alsa,49.0,22.9,0.6
889,Cervera,37.0,10.9,0.5
890,Irabia,44.0,13.6,0.5
891,Cueva Foradada,65.0,26.3,0.9
892,Cala,53.0,58.8,1.5
893,Guadalmellato,61.0,147.4,3.9
895,San Lorenzo Mongay,25.0,9.5,0.8
896,Alloz,67.0,84.3,1.7
897,Camporredondo,76.0,72.4,2.0
898,Agueda,38.0,22.4,0.6
900,Encinarejo,33.0,15.0,1.7
901,Jandula,90.0,322.0,4.6
903,Fuensanta,82.0,178.7,2.4
905,Ricobayo,100.0,1200.0,22.7
907,Doiras,98.0,114.7,1.7
908,Terradets,47.0,33.2,2.0
911,Requejada,58.0,65.8,2.1
913,Cuerda del Pozo,40.0,229.0,14.3
914,Tranco de Beas,93.0,500.0,9.4
916,Torre del Aguila,42.0,66.0,4.6
917,Flix,26.0,11.4,1.9
918,El Pintado,86.0,202.0,3.9
919,Villalcampo,50.0,66.5,1.7
920,Las Conchas,48.0,80.0,4.5
922,La Cohilla,116.0,12.3,0.1
923,Linares del Arroyo,36.0,58.1,3.3
924,Embarcaderos,32.0,11.0,0.5
925,Picadas,59.0,15.2,0.3
926,Castro,55.0,28.0,2.7
927,Burgomillodo,44.0,14.5,0.4
928,Chandreja,85.0,60.6,1.2
929,Guadalen,59.0,173.0,7.7
930,Borbollon,35.0,85.0,6.5
933,Escales,125.0,153.8,2.8
934,Alarcon,71.0,1112.0,24.2
936,,78.0,148.3,3.9
937,San Esteban,115.0,213.2,3.4
938,Los Peares,94.0,182.0,3.7
940,Cijara,81.0,1640.0,30.2
941,Entrepenas,87.0,802.6,20.0
943,Saucelle,83.0,181.5,5.1
944,Barrios de Luna,97.0,308.0,7.2
945,Salime,134.0,265.6,3.0
948,Buendia,79.0,1638.7,32.4
949,Ullivarri,37.0,147.0,14.0
950,Urrunaga,31.0,72.0,6.3
951,Los Bermejales,67.0,104.0,4.4
953,Rosarito,38.0,84.7,10.1
954,Prada,85.0,122.0,4.4
955,Barrie de la Maza,48.0,31.5,0.6
956,Oliana,90.0,101.1,2.1
957,Mediano,92.0,438.0,11.9
961,Canelles,150.0,687.5,11.3
962,Camarillas,49.0,35.8,1.7
963,El Cenajo,102.0,436.4,4.8
966,Santa Teresa Saddle Dam,59.0,560.0,17.4
968,Mansilla,80.0,67.7,1.9
969,Bao,107.0,238.1,5.5
970,Barcena,109.0,341.5,6.3
971,Compuerto,78.0,96.7,3.0
972,Eume,103.0,123.0,2.7
973,Santa Ana,100.0,237.0,5.5
974,Bornos,52.0,215.4,10.1
975,Orellana,63.0,900.0,40.0
976,Gabriel Y. Galan,73.0,924.2,24.3
977,Pias,47.0,9.8,0.5
978,La Ribeira,54.0,32.8,0.9
980,Garcia de Sola,65.0,640.0,22.8
982,Sau,84.0,168.5,2.0
983,Bembezar,99.0,347.0,4.3
984,Aldeadavila,140.0,114.8,2.2
986,Belesar,129.0,645.6,10.5
987,Aguilar de Campoo,48.0,265.3,10.6
990,Zujar Saddle Dam,61.0,346.0,12.9
991,Valdecanas,98.0,1450.0,38.5
994,Valdeobispo,57.0,53.0,2.7
995,Mequinenza,81.0,1533.8,47.8
996,Torrejon Tajo,62.0,176.3,8.5
997,Velle,27.0,17.0,1.4
998,Fervenza,32.0,104.0,10.5
1001,Castrejon,26.0,41.0,4.3
1002,Torrejon Tietar,30.0,22.0,1.8
1005,Matalavilla,115.0,65.0,1.0
1006,Portodemouros,93.0,297.0,6.8
1007,Arbon,32.0,32.8,1.0
1008,Susqueda,135.0,233.0,2.0
1009,Boadella,63.0,62.0,2.0
1012,Juan Benet,78.0,317.3,7.4
1013,Ribarroja,60.0,206.9,13.7
1014,El Grado 1,130.0,399.0,10.4
1015,Iznajar,122.0,980.0,15.6
1016,Aracena,60.0,129.0,5.7
1019,Alcantara 2,135.0,3162.0,45.3
1020,Azutan,55.0,113.0,9.2
1021,Cernadilla,,255.4,10.0
1022,Castrelo,29.0,60.2,3.5
1025,Argos,31.0,11.2,0.7
1027,Almendra,202.0,2648.6,37.0
1028,Frieira,33.0,44.4,3.4
1032,Salas,50.0,86.7,2.8
1033,Albarellos,90.0,90.7,1.0
1045,Contreras,129.0,874.0,6.8
1046,Las Portas,141.0,535.7,8.5
1047,Cedillo,66.0,260.0,5.8
1049,La Baells,102.0,115.4,2.3
1050,Arrocampo,36.0,35.5,5.9
1060,Lanuza,80.0,25.0,0.9
1061,Tanes,95.0,33.3,0.7
1064,Villagudin,33.0,18.3,0.9
1066,Calanda,63.0,54.8,0.8
1072,Negratin,75.0,546.0,14.7
1083,Valparaiso,64.0,168.5,12.3
1086,Riano,101.0,664.0,15.6
1090,La Serena,88.0,3231.8,93.1
1091,Cortes de Pallas,112.0,116.0,2.6
1092,El Naranjero,84.0,29.0,0.3
1094,Huesna,73.0,134.6,4.8
1104,Alange,67.0,851.7,33.1
1107,Cenza,49.0,43.0,1.7
1108,Puebla de Cazalla,71.0,73.7,1.9
1111,Guadalcacin 2,78.0,800.0,17.1
1114,Nuestra Senora del Agavanzal,42.0,35.9,3.4
1115,Giribaile,89.0,475.0,10.1
1123,Rules,130.0,117.1,1.2
1124,Itoiz Dam,128.0,586.0,10.4
1127,Frykfors Fryken,,182.0,54.2
1128,Gullspang,,320.0,129.9
1129,Porjus,,610.0,232.8
1130,Motala,,170.0,25.3
1131,Vargon,20.0,9500.0,5355.8
1132,Torron,18.0,1180.0,94.5
1133,Leringsfors,,360.0,46.1
1134,Jarpstrommens,,505.0,469.6
1136,Harspranget,,6.4,2.4
1137,Borgadammen,27.0,249.0,10.9
1138,Ligga,,5.4,2.6
1140,Letten,,163.4,15.4
1141,Umluspen,24.0,1101.0,158.2
1143,Porsi,,27.0,10.1
1144,Holjes,,270.0,21.4
1145,Laxede,,15.1,11.6
1146,Lossen,28.0,500.0,44.2
1147,Storjuktandammen,22.0,575.0,75.5
1148,Gardiken,32.0,871.0,92.9
1149,Messaure,,54.0,24.2
1150,Mjolkvattnet,,143.0,11.5
1151,Vietas,30.0,1260.0,79.6
1152,Hackren,,700.0,47.3
1153,Ajaure,46.0,209.0,47.6
1154,Letsi,85.0,68.0,18.5
1155,Seitevare,106.0,1675.0,97.3
1156,Abelvattnet,26.0,400.0,17.2
1157,Lovons,16.0,495.0,144.9
1158,Dabbsjo,,337.0,10.0
1161,Hallby,,1815.0,42.5
1162,Parki,28.0,460.0,124.8
1163,Suorvadammen,30.0,5900.0,263.6
1164,Grundsjoarna,,240.0,1.9
1165,Bastusel,35.0,29.7,39.6
1166,Akkats,,42.0,33.0
1167,Rebnisjaure,19.0,740.0,52.1
1168,Trangslet,122.0,880.0,60.0
1169,Flasjon,55.0,400.0,4.6
1171,Sveg,44.0,237.0,54.9
1172,Ovre Oldsjon,,125.0,5.7
1173,Randi,,98.0,53.7
1174,Sadvajaure,31.0,605.0,43.6
1176,Rhodannenberg,30.0,56.4,2.6
1177,Piora,27.0,53.9,1.0
1178,Muehleberg,29.0,25.0,1.9
1179,Schrah,111.0,150.0,3.4
1180,Gelmer,35.0,14.0,0.3
1181,Spitallamm,114.0,101.0,3.0
1182,Huehnermatt in den Schlagen,17.0,96.5,9.9
1183,Sella,36.0,9.2,0.2
1184,Lucendro,73.0,25.0,0.2
1185,Rossens,83.0,220.0,6.4
1186,Raterichsboden,94.0,27.0,0.5
1187,Oberaar,100.0,61.0,0.9
1188,Marmorera,91.0,62.6,1.0
1189,Sambuco,130.0,63.0,0.6
1190,Mauvoisin,250.0,211.5,1.1
1191,Zeuzier,156.0,51.0,0.3
1192,Zervreila,151.0,100.5,0.6
1193,Moiry,148.0,78.0,0.7
1194,Albigna,115.0,71.0,0.4
1195,Goescheneralp,155.0,76.0,0.8
1196,Grande Dixence,285.0,400.0,2.1
1197,Valle di Lei,141.0,200.0,1.8
1198,Sufers,58.0,21.4,0.6
1199,Nalps,127.0,45.0,0.5
1200,Les Toules,86.0,20.1,0.3
1201,Luzzone,225.0,108.0,0.8
1202,Limmern,146.0,93.0,0.6
1203,Schiffenen,47.0,65.0,3.0
1204,Contra,220.0,105.0,0.7
1205,Gries,60.0,18.6,0.3
1206,Curnera,153.0,41.1,0.3
1207,Mattmark,120.0,101.0,0.8
1208,Cavagnoli,111.0,29.0,0.3
1209,Santa Maria,117.0,67.3,1.1
1210,Punt dal Gall,130.0,164.6,1.1
1211,Hongrin Nord,125.0,53.2,0.8
1212,Naret 1,80.0,31.6,0.4
1213,Emosson,180.0,227.0,1.6
1214,Mavrovo,62.0,357.0,10.4
1215,Globocica,90.0,58.0,1.5
1218,Spilje,112.0,520.0,10.1
1219,Kalimanci,92.0,127.0,3.9
1221,Strezevo,76.0,11.2,3.0
1222,Kozjak,126.0,650.0,12.6
1223,Dnipro,62.0,3320.0,131.5
1224,Kakhovka,37.0,18180.0,2092.3
1226,Krasno-Oskol,,474.0,85.6
1227,Kremenchug,33.0,13520.0,1849.1
1228,Dniprod Zerzhinsk,35.0,2460.0,506.7
1229,Kiev,38.0,3730.0,636.2
1230,Kanev,40.0,2480.0,470.1
1231,Dniester,80.0,3000.0,75.1
1244,Blackwater,24.0,111.3,10.2
1249,Llyn Cowlyd,25.0,10.8,0.9
1253,Treig,12.0,208.7,7.1
1254,Clatteringshaws,23.0,41.5,3.3
1256,Loch Doon,14.0,83.0,7.6
1257,Laggan,40.0,39.6,2.2
1258,Dalwhinnie,14.0,229.4,21.9
1264,Clunie,21.0,36.4,5.4
1265,Sloy,49.0,35.7,1.1
1266,Benevean,27.0,27.5,2.9
1267,Mullardoch,37.0,233.1,8.6
1270,Tarsan,22.0,13.0,0.9
1272,Luichart,16.0,62.3,5.1
1274,Cluanie,35.0,203.0,9.4
1277,Cruadhach,39.0,382.8,16.2
1278,Invergarry,13.0,38.3,6.0
1279,Loyne,18.0,45.5,5.3
1280,Fannich,12.0,380.0,9.6
1281,Glascarnoch,30.0,78.2,4.7
1282,Vaich,29.0,11.2,0.8
1283,Lairg,32.0,318.0,31.5
1285,Lednock,33.0,30.1,1.3
1286,Lawers,38.0,13.0,0.5
1287,Lubreoch,33.0,83.0,4.4
1289,Shira Main,41.0,22.5,0.8
1290,Giorra,30.0,42.8,2.6
1291,Orrin,45.0,59.5,3.7
1292,Glashan,20.0,21.2,1.5
1293,Nant-y-Moch,56.0,32.6,1.9
1294,Nant,23.0,30.0,1.7
1295,Awe Barrage,13.0,300.0,36.5
1296,Monar,35.0,174.1,8.5
1318,Kielder,55.0,199.2,9.5
0,Arpi,11.2,105.0,22.47
1,Akhpara,14.5,5.6,1.7
2,Arqel,24.8,1.0,0.15
14,Shamb,41.0,13.6,1.12
18,Tolors,69.0,96.0,4.8
19,Azat,76.0,70.0,2.85
20,Angeghakot,35.0,3.4,0.54
32,Spandaryan,83.0,257.0,10.25
34,Her-her,74.0,26.0,1.15
40,Varvara,12.0,62.0,21.4
42,Mingacevir,80.0,15730.0,605.0
70,Araks,40.0,1350.0,145.0
74,Sarsangh,125.0,565.0,13.85
85,Shamkir,70.0,2677.0,115.0
96,Yenikend,24.0,158.0,22.61
97,Zagesi,24.0,12.0,2.0
98,Khrami,33.2,313.0,33.7
99,Shaori,14.2,90.0,11.8
100,Tkibuli,36.0,80.0,86.0
102,Gumati,30.0,39.0,3.12
103,Lajanuri,69.0,25.0,1.5
109,Sioni,84.8,325.0,10.4
116,Gali,64.55,145.0,8.0
117,Vartsikhe,10.0,14.6,5.07
123,Inguri,271.5,1110.0,13.31
135,Jinvali,102.0,520.0,11.52
141,Makou,78.0,150.0,8.0
142,Aras,42.0,1350.0,152.0
147,Vahdat,80.0,224.0,9.34
148,Gavoshan,136.0,550.0,14.7
152,Sefidroud,106.0,1800.0,46.18
153,Amirkabir,180.0,205.0,4.0
154,Dez,203.5,2856.0,62.5
156,Latian,107.0,95.0,3.3
157,Mahabad,47.5,230.0,11.0
158,Zayanderoud,100.0,1450.0,20.63
160,Boukan,52.5,650.0,40.0
161,Droudzan,60.0,993.0,55.0
162,Karoun 1,200.0,3139.0,54.8
163,Lar,107.0,960.0,29.0
167,Jiroft,133.0,400.0,10.4
169,Saveh,128.0,290.0,8.5
172,Panzadahekhordad,96.8,200.0,13.5
173,Alavian,80.0,60.0,2.8
179,Tajan,138.0,191.5,5.2
184,Maroun,165.0,1200.0,24.6
191,Karkheh,127.0,5575.0,166.0
193,Masjedsoleyman,177.0,230.0,3.68
196,Sirjan,71.0,38.4,2.57
201,Kosar,144.0,580.0,15.2
204,Sadehkhaf,48.5,9.59,0.55
207,Karoun 3,205.0,2970.0,46.0
222,Taleghan,109.0,420.0,12.8
228,Al Adhaim,76.5,,
236,Haditha,57.0,8200.0,500.0
242,King Talal,108.0,75.0,
248,Wadha (Unity),87.0,55.0,
249,Qaraoun,62.0,220.0,
367,Al Tabqa,60.0,12000.0,610.0
425,Tishrin,40.0,1883.0,166.0
430,Unity (Wadha),87.0,55.0,
435,Sarıyar,90.0,1900.0,83.8
436,Seyhan,53.2,1200.0,67.8
437,Kemer,108.5,358.5,14.75
439,Hirfanlı,78.0,5980.0,263.0
440,Demirköprü,74.0,1320.0,47.6
453,Kesikköprü,49.1,95.0,6.5
454,Almus,78.0,950.0,31.3
483,Gökçekaya,115.0,910.0,20.0
484,Hasanlar,70.8,55.0,2.8
505,Keban,210.0,31000.0,675.0
523,Ataköy,26.0,2.8,0.5
560,Hasan Uğurlu,175.0,1073.8,22.7
568,Suat Uğurlu,51.0,182.0,9.7
588,Oymapınar,185.0,300.0,4.7
597,Berdan,66.0,87.5,6.7
600,Aslantaş,95.0,1150.0,49.0
636,Manavgat,29.0,89.0,8.6
644,Karakaya,173.0,9580.0,268.0
663,Altınkaya,195.0,5763.0,118.3
668,Tercan,65.0,178.0,8.8
670,Zernek,80.0,104.0,5.1
676,Adıgüzel,144.0,1076.0,25.9
681,Kapulukaya,61.0,282.0,20.7
689,Menzelet,151.0,1950.0,42.0
700,Karacaören 1,93.0,1234.0,45.5
701,Gezende,75.0,91.9,4.0
703,Derbent,33.0,213.0,16.5
705,Kılıçkaya,134.0,1400.4,64.4
706,Gölova,26.0,65.0,4.8
725,Sır,116.0,1120.0,47.5
743,Mursal,59.0,14.9,0.9
746,Atatürk,169.0,48700.0,817.0
748,Koçköprü,74.0,86.4,5.9
756,Karacaören 2,49.0,48.0,2.3
785,Kızılcapınar,65.0,36.0,2.4
833,Kuzgun,110.0,312.0,11.2
838,Gönen,78.0,164.0,14.0
856,Çatalan,70.0,2126.3,81.8
863,Kralkızı,126.0,1919.0,57.5
864,Dicle ,87.0,595.0,24.0
880,Çamlıgöze,38.0,50.0,4.7
884,Berke,201.0,427.0,7.8
904,Batman,85.0,1175.0,49.2
924,Birecik,63.0,1220.0,56.2
925,Karkamış,29.0,157.0,28.4
926,Özlüce,144.0,1075.0,25.8
966,Bahçelik,65.0,216.1,12.1
975,İmranlı,49.0,62.5,6.5
978,Kürtün,133.0,108.2,2.6
1001,Topçam (Ordu) ,122.0,1326.0,3.1
0,Matabitchuan,15.0,33.3,4.2
1,Rock Forest,17.0,107.8,12.6
2,Rapides des Quinze,11.0,9266.0,323.2
3,Stave Falls,26.0,580.0,44.0
4,Coquitlam,30.0,222.6,10.9
5,Powell,17.0,1620.0,120.1
6,Jordan,40.0,20.0,0.8
7,Shawatians,13.0,10.6,1.7
10,Swift Rapids,24.0,50.0,1.1
11,Link Lake,23.0,389.8,23.7
12,Gouin,16.0,8573.0,1164.5
13,Big Eddy,45.0,304.6,29.5
14,Twin Falls,24.0,1650.0,974.3
15,Great Falls,23.0,48.6,9.8
16,Anyox,42.0,30.8,0.6
17,Les Cedres,20.0,900.0,
