Country Group,year,Watts,Percentage,Per Capita
Europe,2012,1201963238800.6187,19.648736607495522,1632.7960773667692
North America,2012,1550645077920.4426,25.348709281800424,2806.8209557330224
Oceania,2012,92968592649.77379,1.5197764214217904,2502.1825501217545
South America,2012,403055798077.8492,6.58883479868992,1005.9595427582167
Africa,2013,274044436260.8,4.434987991557173,244.14715254834042
Asia,2013,2642923995811.0815,42.771662668843966,607.5973685681927
Europe,2013,1186115243981.4546,19.1954521516156,1606.8037925303815
North America,2013,1566928317921.3887,25.358326439434762,2810.285933976582
Oceania,2013,94215196960.37318,1.5247281530058134,2495.304101500998
South America,2013,407163010546.41974,6.589307511651675,1006.2227645131405
Africa,2014,285360557476.9892,4.5514011429533054,247.7475278055505
Asia,2014,2698958255901.559,43.04744075110721,614.2316082469798
Europe,2014,1193020891251.851,19.028266190742574,1612.0444382087717
North America,2014,1571261376215.2634,25.0610697105931,2792.1324651179457
Oceania,2014,94008332705.0644,1.4994000456964596,2451.645135091
South America,2014,419358114715.0838,6.6886153415749705,1026.4397407334216
Africa,2015,284994583934.6237,4.484208273157201,241.15950333282314
Asia,2015,2761246642262.2583,43.446457355485485,622.2137840744306
Europe,2015,1194691839809.2092,18.797715233685906,1615.6798422165127
North America,2015,1601581756582.3062,25.199868937339147,2820.6346792359864
Oceania,2015,94022751092.9574,1.4793881079956126,2413.3149664516786
South America,2015,410891162012.8452,6.465110749219854,996.3558199509333
Africa,2016,281260886934.3934,4.343901395165126,231.99051035474275
Asia,2016,2852718099228.5054,44.05847633603616,636.4744841165752
Europe,2016,1212410105515.0654,18.724928326375043,1636.2494321828112
North America,2016,1620026297084.0298,25.02030968048895,2827.9817215566036
Oceania,2016,95009349090.01381,1.467360956456452,2397.4097676006513
South America,2016,405258991125.4288,6.258975843177199,973.775307685575
Africa,2017,286462882842.36487,4.349438549569753,230.35636512665602
Asia,2017,2935106510531.16,44.56446600456198,648.3779565085971
Europe,2017,1235009138122.143,18.751456737155205,1664.199543624806
North America,2017,1628346562494.9348,24.72359853640156,2818.700839016737
Oceania,2017,98706540633.425,1.4986864220099942,2447.5325605253042
South America,2017,394462185383.5044,5.989219330724448,939.4104018621027
Africa,2018,288240305648.77875,4.347204741546295,225.9579376019814
Asia,2018,2966222976042.4834,44.73620910480074,649.5526232841819
Europe,2018,1222610750528.57,18.439264556704764,1645.0496235613948
North America,2018,1661816774374.453,25.063315641722085,2854.1390857065253
Oceania,2018,100343677278.9548,1.5133709654845828,2444.128054535496
South America,2018,383035375312.5675,5.776892291280475,904.6056834044218
