year,Reported quantity,Albedo anomaly (W/m2)
2013.288,Upper error margin,0.838
2013.294,Upper error margin,0.839
2013.302,Upper error margin,0.841
2013.339,Upper error margin,0.849
2013.342,Upper error margin,0.85
2013.369,Upper error margin,0.856
2013.38,Upper error margin,0.858
2013.419,Upper error margin,0.866
2013.425,Upper error margin,0.867
2013.449,Upper error margin,0.872
2013.452,Upper error margin,0.873
2013.455,Upper error margin,0.874
2013.458,Upper error margin,0.874
2013.496,Upper error margin,0.882
2013.533,Upper error margin,0.89
2013.577,Upper error margin,0.9
2013.579,Upper error margin,0.901
2013.586,Upper error margin,0.903
2013.657,Upper error margin,0.923
2013.66,Upper error margin,0.924
2013.663,Upper error margin,0.925
2013.738,Upper error margin,0.947
2013.741,Upper error margin,0.948
2013.75,Upper error margin,0.951
2013.772,Upper error margin,0.956
2013.786,Upper error margin,0.959
2013.821,Upper error margin,0.966
2013.855,Upper error margin,0.973
2013.899,Upper error margin,0.983
2013.98,Upper error margin,0.999
2013.982,Upper error margin,1.0
2014.025,Upper error margin,0.982
2014.06,Upper error margin,0.967
2014.086,Upper error margin,0.957
2014.105,Upper error margin,0.949
2014.141,Upper error margin,0.932
2014.186,Upper error margin,0.904
2014.227,Upper error margin,0.878
2014.255,Upper error margin,0.86
2014.264,Upper error margin,0.854
2014.266,Upper error margin,0.853
2014.302,Upper error margin,0.831
2014.305,Upper error margin,0.83
2014.339,Upper error margin,0.81
2014.388,Upper error margin,0.782
2014.417,Upper error margin,0.765
2014.425,Upper error margin,0.761
2014.428,Upper error margin,0.759
2014.433,Upper error margin,0.756
2014.436,Upper error margin,0.754
2014.463,Upper error margin,0.731
2014.466,Upper error margin,0.729
2014.469,Upper error margin,0.726
2014.474,Upper error margin,0.722
2014.496,Upper error margin,0.703
2014.5,Upper error margin,0.7
2014.503,Upper error margin,0.698
2014.505,Upper error margin,0.696
2014.508,Upper error margin,0.693
2014.552,Upper error margin,0.657
2014.555,Upper error margin,0.656
2014.557,Upper error margin,0.654
2014.627,Upper error margin,0.61
2014.63,Upper error margin,0.608
2014.633,Upper error margin,0.606
2014.705,Upper error margin,0.56
2014.708,Upper error margin,0.557
2014.713,Upper error margin,0.553
2014.716,Upper error margin,0.551
2014.719,Upper error margin,0.548
2014.743,Upper error margin,0.528
2015.063,Upper error margin,0.363
2015.066,Upper error margin,0.365
2015.105,Upper error margin,0.382
2015.111,Upper error margin,0.385
2015.114,Upper error margin,0.386
2015.152,Upper error margin,0.403
2015.23,Upper error margin,0.438
2015.235,Upper error margin,0.44
2015.28,Upper error margin,0.461
2015.305,Upper error margin,0.472
2015.316,Upper error margin,0.477
2015.396,Upper error margin,0.517
2015.399,Upper error margin,0.518
2015.402,Upper error margin,0.52
2015.436,Upper error margin,0.536
2015.441,Upper error margin,0.539
2015.447,Upper error margin,0.542
2015.477,Upper error margin,0.556
2015.48,Upper error margin,0.558
2015.525,Upper error margin,0.58
2015.527,Upper error margin,0.581
2015.555,Upper error margin,0.593
2015.56,Upper error margin,0.595
2015.597,Upper error margin,0.61
2015.603,Upper error margin,0.613
2015.675,Upper error margin,0.643
2015.678,Upper error margin,0.644
2015.68,Upper error margin,0.645
2015.683,Upper error margin,0.646
2015.686,Upper error margin,0.647
2015.719,Upper error margin,0.661
2015.766,Upper error margin,0.681
2015.799,Upper error margin,0.695
2015.807,Upper error margin,0.698
2015.836,Upper error margin,0.71
2015.85,Upper error margin,0.716
2015.88,Upper error margin,0.729
2015.925,Upper error margin,0.748
2015.936,Upper error margin,0.752
2015.958,Upper error margin,0.762
2016.036,Upper error margin,0.775
2016.114,Upper error margin,0.726
2016.116,Upper error margin,0.725
2016.167,Upper error margin,0.693
2016.199,Upper error margin,0.672
2016.28,Upper error margin,0.614
2016.283,Upper error margin,0.611
2016.329,Upper error margin,0.578
2016.339,Upper error margin,0.57
2016.361,Upper error margin,0.555
2016.364,Upper error margin,0.554
2016.436,Upper error margin,0.519
2016.439,Upper error margin,0.517
2016.441,Upper error margin,0.516
2016.525,Upper error margin,0.475
2016.533,Upper error margin,0.471
2016.597,Upper error margin,0.437
2016.603,Upper error margin,0.433
2016.605,Upper error margin,0.432
2016.611,Upper error margin,0.427
2016.649,Upper error margin,0.402
2016.652,Upper error margin,0.4
2016.655,Upper error margin,0.398
2016.683,Upper error margin,0.378
2016.727,Upper error margin,0.348
2016.73,Upper error margin,0.346
2016.732,Upper error margin,0.345
2016.735,Upper error margin,0.343
2016.772,Upper error margin,0.324
2016.805,Upper error margin,0.306
2016.807,Upper error margin,0.305
2016.842,Upper error margin,0.287
2016.899,Upper error margin,0.257
2016.936,Upper error margin,0.238
2016.969,Upper error margin,0.221
2017.008,Upper error margin,0.205
2017.083,Upper error margin,0.194
2017.169,Upper error margin,0.194
2017.297,Upper error margin,0.194
2017.299,Upper error margin,0.194
2017.327,Upper error margin,0.194
2017.38,Upper error margin,0.194
2017.383,Upper error margin,0.194
2017.417,Upper error margin,0.194
2017.493,Upper error margin,0.194
2017.496,Upper error margin,0.194
2017.552,Upper error margin,0.194
2017.622,Upper error margin,0.194
2017.625,Upper error margin,0.194
2017.627,Upper error margin,0.194
2017.657,Upper error margin,0.194
2017.699,Upper error margin,0.194
2017.702,Upper error margin,0.194
2017.705,Upper error margin,0.194
2017.708,Upper error margin,0.194
2017.783,Upper error margin,0.194
2017.786,Upper error margin,0.194
2017.788,Upper error margin,0.194
2017.813,Upper error margin,0.194
2017.816,Upper error margin,0.194
2017.818,Upper error margin,0.194
2017.824,Upper error margin,0.194
2017.858,Upper error margin,0.194
2017.949,Upper error margin,0.194
2017.974,Upper error margin,0.194
1998.902,Lower error margin,-0.281
1998.936,Lower error margin,-0.281
1998.944,Lower error margin,-0.281
1998.947,Lower error margin,-0.281
1998.949,Lower error margin,-0.281
1998.952,Lower error margin,-0.281
1998.977,Lower error margin,-0.281
1999.022,Lower error margin,-0.284
1999.036,Lower error margin,-0.285
1999.06,Lower error margin,-0.288
1999.105,Lower error margin,-0.292
1999.138,Lower error margin,-0.295
1999.194,Lower error margin,-0.3
1999.227,Lower error margin,-0.303
1999.23,Lower error margin,-0.303
1999.238,Lower error margin,-0.304
1999.264,Lower error margin,-0.307
1999.275,Lower error margin,-0.308
1999.307,Lower error margin,-0.312
1999.355,Lower error margin,-0.319
1999.388,Lower error margin,-0.323
1999.436,Lower error margin,-0.329
1999.439,Lower error margin,-0.33
1999.466,Lower error margin,-0.333
1999.549,Lower error margin,-0.344
1999.594,Lower error margin,-0.349
1999.597,Lower error margin,-0.35
1999.625,Lower error margin,-0.353
1999.675,Lower error margin,-0.359
1999.678,Lower error margin,-0.359
1999.699,Lower error margin,-0.362
1999.702,Lower error margin,-0.362
1999.705,Lower error margin,-0.363
1999.746,Lower error margin,-0.368
1999.75,Lower error margin,-0.368
1999.753,Lower error margin,-0.368
1999.755,Lower error margin,-0.369
1999.758,Lower error margin,-0.369
1999.783,Lower error margin,-0.372
1999.786,Lower error margin,-0.372
1999.788,Lower error margin,-0.373
1999.791,Lower error margin,-0.373
1999.799,Lower error margin,-0.374
1999.832,Lower error margin,-0.379
1999.839,Lower error margin,-0.38
1999.842,Lower error margin,-0.38
1999.864,Lower error margin,-0.384
1999.875,Lower error margin,-0.385
1999.877,Lower error margin,-0.386
1999.947,Lower error margin,-0.397
1999.949,Lower error margin,-0.397
1999.96,Lower error margin,-0.399
2000.027,Lower error margin,-0.39
2000.033,Lower error margin,-0.389
2000.074,Lower error margin,-0.384
2000.083,Lower error margin,-0.382
2000.197,Lower error margin,-0.367
2000.241,Lower error margin,-0.362
2000.243,Lower error margin,-0.362
2000.275,Lower error margin,-0.359
2000.277,Lower error margin,-0.358
2000.313,Lower error margin,-0.355
2000.321,Lower error margin,-0.354
2000.324,Lower error margin,-0.353
2000.358,Lower error margin,-0.35
2000.405,Lower error margin,-0.345
2000.436,Lower error margin,-0.342
2000.516,Lower error margin,-0.333
2000.563,Lower error margin,-0.327
2000.566,Lower error margin,-0.327
2000.594,Lower error margin,-0.323
2000.646,Lower error margin,-0.317
2000.667,Lower error margin,-0.315
2000.672,Lower error margin,-0.314
2000.719,Lower error margin,-0.309
2000.721,Lower error margin,-0.308
2000.758,Lower error margin,-0.304
2000.761,Lower error margin,-0.304
2000.764,Lower error margin,-0.303
2000.766,Lower error margin,-0.303
2000.836,Lower error margin,-0.296
2000.839,Lower error margin,-0.295
2000.883,Lower error margin,-0.291
2000.91,Lower error margin,-0.288
2000.913,Lower error margin,-0.288
2000.922,Lower error margin,-0.287
2000.963,Lower error margin,-0.282
2000.971,Lower error margin,-0.282
2001.003,Lower error margin,-0.286
2001.047,Lower error margin,-0.298
2001.049,Lower error margin,-0.298
2001.079,Lower error margin,-0.306
2001.133,Lower error margin,-0.319
2001.169,Lower error margin,-0.328
2001.21,Lower error margin,-0.342
2001.213,Lower error margin,-0.343
2001.216,Lower error margin,-0.344
2001.243,Lower error margin,-0.353
2001.291,Lower error margin,-0.369
2001.294,Lower error margin,-0.37
2001.329,Lower error margin,-0.382
2001.339,Lower error margin,-0.385
2001.377,Lower error margin,-0.398
2001.402,Lower error margin,-0.406
2001.41,Lower error margin,-0.409
2001.417,Lower error margin,-0.412
2001.455,Lower error margin,-0.424
2001.458,Lower error margin,-0.425
2001.488,Lower error margin,-0.435
2001.527,Lower error margin,-0.448
2001.533,Lower error margin,-0.45
2001.568,Lower error margin,-0.46
2001.577,Lower error margin,-0.462
2001.614,Lower error margin,-0.471
2001.646,Lower error margin,-0.479
2001.721,Lower error margin,-0.498
2001.724,Lower error margin,-0.498
2001.727,Lower error margin,-0.499
2001.81,Lower error margin,-0.524
2001.891,Lower error margin,-0.554
2001.936,Lower error margin,-0.574
2002.047,Lower error margin,-0.584
2002.049,Lower error margin,-0.584
2002.052,Lower error margin,-0.584
2002.092,Lower error margin,-0.582
2002.127,Lower error margin,-0.58
2002.175,Lower error margin,-0.578
2002.216,Lower error margin,-0.575
2002.377,Lower error margin,-0.561
2002.38,Lower error margin,-0.561
2002.425,Lower error margin,-0.556
2002.452,Lower error margin,-0.553
2002.458,Lower error margin,-0.552
2002.46,Lower error margin,-0.552
2002.496,Lower error margin,-0.549
2002.503,Lower error margin,-0.548
2002.538,Lower error margin,-0.544
2002.541,Lower error margin,-0.544
2002.582,Lower error margin,-0.54
2002.597,Lower error margin,-0.539
2002.611,Lower error margin,-0.538
2002.619,Lower error margin,-0.537
2002.66,Lower error margin,-0.534
2002.697,Lower error margin,-0.531
2002.746,Lower error margin,-0.527
2002.75,Lower error margin,-0.527
2002.829,Lower error margin,-0.521
2002.864,Lower error margin,-0.518
2002.941,Lower error margin,-0.514
2002.944,Lower error margin,-0.514
2003.027,Lower error margin,-0.51
2003.063,Lower error margin,-0.508
2003.092,Lower error margin,-0.508
2003.264,Lower error margin,-0.502
2003.272,Lower error margin,-0.502
2003.313,Lower error margin,-0.501
2003.316,Lower error margin,-0.501
2003.318,Lower error margin,-0.501
2003.344,Lower error margin,-0.5
2003.425,Lower error margin,-0.498
2003.471,Lower error margin,-0.496
2003.477,Lower error margin,-0.496
2003.48,Lower error margin,-0.496
2003.482,Lower error margin,-0.496
2003.505,Lower error margin,-0.495
2003.552,Lower error margin,-0.494
2003.589,Lower error margin,-0.493
2003.592,Lower error margin,-0.493
2003.635,Lower error margin,-0.493
2003.669,Lower error margin,-0.492
2003.743,Lower error margin,-0.491
2003.799,Lower error margin,-0.49
2003.807,Lower error margin,-0.49
2004.077,Lower error margin,-0.484
2004.288,Lower error margin,-0.476
2004.31,Lower error margin,-0.476
2004.324,Lower error margin,-0.475
2004.364,Lower error margin,-0.474
2004.366,Lower error margin,-0.473
2004.402,Lower error margin,-0.472
2004.444,Lower error margin,-0.47
2004.447,Lower error margin,-0.47
2004.449,Lower error margin,-0.47
2004.471,Lower error margin,-0.47
2004.485,Lower error margin,-0.47
2004.527,Lower error margin,-0.469
2004.53,Lower error margin,-0.469
2004.563,Lower error margin,-0.468
2004.568,Lower error margin,-0.468
2004.605,Lower error margin,-0.468
2004.608,Lower error margin,-0.468
2004.638,Lower error margin,-0.467
2004.766,Lower error margin,-0.465
2004.88,Lower error margin,-0.463
2005.038,Lower error margin,-0.459
2005.086,Lower error margin,-0.458
2005.277,Lower error margin,-0.453
2005.336,Lower error margin,-0.451
2005.339,Lower error margin,-0.451
2005.375,Lower error margin,-0.45
2005.416,Lower error margin,-0.449
2005.417,Lower error margin,-0.449
2005.419,Lower error margin,-0.449
2005.452,Lower error margin,-0.448
2005.458,Lower error margin,-0.448
2005.491,Lower error margin,-0.447
2005.493,Lower error margin,-0.447
2005.5,Lower error margin,-0.447
2006.582,Lower error margin,-0.418
2007.138,Lower error margin,-0.471
2007.361,Lower error margin,-0.58
2007.364,Lower error margin,-0.582
2007.441,Lower error margin,-0.617
2007.474,Lower error margin,-0.632
2007.519,Lower error margin,-0.653
2007.522,Lower error margin,-0.654
2007.552,Lower error margin,-0.668
2007.597,Lower error margin,-0.688
2007.6,Lower error margin,-0.69
2007.603,Lower error margin,-0.691
2007.633,Lower error margin,-0.705
2007.678,Lower error margin,-0.725
2007.68,Lower error margin,-0.726
2007.719,Lower error margin,-0.744
2007.755,Lower error margin,-0.762
2007.758,Lower error margin,-0.764
2007.764,Lower error margin,-0.767
2007.883,Lower error margin,-0.83
2007.952,Lower error margin,-0.873
2007.955,Lower error margin,-0.875
2007.958,Lower error margin,-0.877
2008.0,Lower error margin,-0.904
2008.038,Lower error margin,-0.926
2008.155,Lower error margin,-0.985
2008.16,Lower error margin,-0.988
2008.197,Lower error margin,-1.006
2008.28,Lower error margin,-1.043
2008.327,Lower error margin,-1.062
2008.353,Lower error margin,-1.073
2008.361,Lower error margin,-1.077
2008.41,Lower error margin,-1.097
2008.413,Lower error margin,-1.099
2008.488,Lower error margin,-1.133
2008.491,Lower error margin,-1.134
2008.519,Lower error margin,-1.147
2008.568,Lower error margin,-1.169
2008.571,Lower error margin,-1.171
2008.574,Lower error margin,-1.172
2008.597,Lower error margin,-1.182
2008.649,Lower error margin,-1.208
2008.652,Lower error margin,-1.21
2008.675,Lower error margin,-1.223
2008.678,Lower error margin,-1.225
2008.68,Lower error margin,-1.226
2008.839,Lower error margin,-1.306
2008.842,Lower error margin,-1.307
2008.919,Lower error margin,-1.335
2008.922,Lower error margin,-1.336
2009.297,Lower error margin,-1.286
2009.299,Lower error margin,-1.285
2009.377,Lower error margin,-1.265
2009.405,Lower error margin,-1.257
2009.455,Lower error margin,-1.242
2009.482,Lower error margin,-1.233
2009.491,Lower error margin,-1.23
2009.541,Lower error margin,-1.213
2009.544,Lower error margin,-1.212
2009.571,Lower error margin,-1.203
2009.574,Lower error margin,-1.202
2009.622,Lower error margin,-1.186
2009.627,Lower error margin,-1.185
2009.649,Lower error margin,-1.178
2009.699,Lower error margin,-1.162
2009.702,Lower error margin,-1.161
2009.732,Lower error margin,-1.152
2009.735,Lower error margin,-1.151
2009.738,Lower error margin,-1.15
2009.896,Lower error margin,-1.104
2009.899,Lower error margin,-1.103
2009.98,Lower error margin,-1.084
2010.027,Lower error margin,-1.072
2010.13,Lower error margin,-0.943
2010.194,Lower error margin,-0.87
2010.219,Lower error margin,-0.844
2010.221,Lower error margin,-0.842
2010.266,Lower error margin,-0.797
2010.35,Lower error margin,-0.722
2010.388,Lower error margin,-0.688
2010.425,Lower error margin,-0.649
2010.428,Lower error margin,-0.645
2010.463,Lower error margin,-0.603
2010.466,Lower error margin,-0.6
2010.508,Lower error margin,-0.55
2010.522,Lower error margin,-0.535
2010.6,Lower error margin,-0.464
2010.619,Lower error margin,-0.447
2010.622,Lower error margin,-0.444
2010.667,Lower error margin,-0.387
2010.669,Lower error margin,-0.384
2010.758,Lower error margin,-0.274
2010.832,Lower error margin,-0.208
2010.864,Lower error margin,-0.179
2010.866,Lower error margin,-0.177
2010.919,Lower error margin,-0.137
2010.991,Lower error margin,-0.092
2011.027,Lower error margin,-0.069
2011.033,Lower error margin,-0.065
2011.068,Lower error margin,-0.073
2011.077,Lower error margin,-0.077
2011.1,Lower error margin,-0.089
2011.103,Lower error margin,-0.091
2011.105,Lower error margin,-0.092
2011.108,Lower error margin,-0.094
2011.114,Lower error margin,-0.097
2011.189,Lower error margin,-0.136
2011.191,Lower error margin,-0.137
2011.194,Lower error margin,-0.139
2011.235,Lower error margin,-0.16
2011.241,Lower error margin,-0.163
2011.277,Lower error margin,-0.182
2011.318,Lower error margin,-0.2
2011.321,Lower error margin,-0.202
2011.324,Lower error margin,-0.203
2011.327,Lower error margin,-0.204
2011.361,Lower error margin,-0.22
2011.396,Lower error margin,-0.236
2011.399,Lower error margin,-0.237
2011.638,Lower error margin,-0.365
2011.669,Lower error margin,-0.383
2011.672,Lower error margin,-0.385
2011.675,Lower error margin,-0.386
2011.721,Lower error margin,-0.407
2011.724,Lower error margin,-0.408
2011.75,Lower error margin,-0.419
2011.753,Lower error margin,-0.42
2011.755,Lower error margin,-0.421
2011.802,Lower error margin,-0.441
2011.891,Lower error margin,-0.478
2011.971,Lower error margin,-0.515
2012.068,Lower error margin,-0.57
2012.082,Lower error margin,-0.577
2012.086,Lower error margin,-0.58
2012.127,Lower error margin,-0.603
2012.152,Lower error margin,-0.617
2012.155,Lower error margin,-0.618
2012.172,Lower error margin,-0.628
2012.199,Lower error margin,-0.637
2012.205,Lower error margin,-0.638
2012.208,Lower error margin,-0.639
2012.238,Lower error margin,-0.649
2012.243,Lower error margin,-0.65
2012.288,Lower error margin,-0.665
2012.291,Lower error margin,-0.665
2012.369,Lower error margin,-0.69
2012.372,Lower error margin,-0.691
2012.375,Lower error margin,-0.692
2012.399,Lower error margin,-0.699
2012.407,Lower error margin,-0.702
2012.439,Lower error margin,-0.712
2012.447,Lower error margin,-0.715
2012.452,Lower error margin,-0.716
2012.455,Lower error margin,-0.717
2012.485,Lower error margin,-0.727
2012.605,Lower error margin,-0.769
2012.611,Lower error margin,-0.771
2012.616,Lower error margin,-0.773
2012.619,Lower error margin,-0.774
2013.008,Lower error margin,-0.91
2013.041,Lower error margin,-0.921
2013.044,Lower error margin,-0.922
2013.1,Lower error margin,-0.93
2013.213,Lower error margin,-0.947
2013.25,Lower error margin,-0.952
2013.264,Lower error margin,-0.954
2013.288,Lower error margin,-0.958
2013.294,Lower error margin,-0.959
2013.302,Lower error margin,-0.96
2013.339,Lower error margin,-0.966
2013.342,Lower error margin,-0.967
2013.369,Lower error margin,-0.972
2013.38,Lower error margin,-0.974
2013.419,Lower error margin,-0.98
2013.425,Lower error margin,-0.981
2013.449,Lower error margin,-0.985
2013.452,Lower error margin,-0.986
2013.455,Lower error margin,-0.986
2013.458,Lower error margin,-0.987
2013.496,Lower error margin,-0.993
2013.533,Lower error margin,-1.0
2013.577,Lower error margin,-1.007
2013.579,Lower error margin,-1.008
2013.586,Lower error margin,-1.009
2013.657,Lower error margin,-1.021
2013.66,Lower error margin,-1.022
2013.663,Lower error margin,-1.022
2013.738,Lower error margin,-1.035
2013.741,Lower error margin,-1.035
2013.75,Lower error margin,-1.037
2013.772,Lower error margin,-1.04
2013.786,Lower error margin,-1.042
2013.821,Lower error margin,-1.048
2013.855,Lower error margin,-1.053
2013.899,Lower error margin,-1.06
2013.98,Lower error margin,-1.073
2013.982,Lower error margin,-1.073
2014.025,Lower error margin,-1.077
2014.06,Lower error margin,-1.062
2014.086,Lower error margin,-1.051
2014.105,Lower error margin,-1.043
2014.141,Lower error margin,-1.028
2014.186,Lower error margin,-1.009
2014.227,Lower error margin,-0.994
2014.255,Lower error margin,-0.984
2014.264,Lower error margin,-0.981
2014.266,Lower error margin,-0.98
2014.302,Lower error margin,-0.967
2014.305,Lower error margin,-0.966
2014.339,Lower error margin,-0.954
2014.388,Lower error margin,-0.937
2014.417,Lower error margin,-0.927
2014.425,Lower error margin,-0.924
2014.428,Lower error margin,-0.923
2014.433,Lower error margin,-0.922
2014.436,Lower error margin,-0.92
2014.463,Lower error margin,-0.909
2014.466,Lower error margin,-0.908
2014.469,Lower error margin,-0.907
2014.474,Lower error margin,-0.904
2014.496,Lower error margin,-0.895
2014.5,Lower error margin,-0.894
2014.503,Lower error margin,-0.892
2014.505,Lower error margin,-0.891
2014.508,Lower error margin,-0.89
2014.552,Lower error margin,-0.872
2014.555,Lower error margin,-0.87
2014.557,Lower error margin,-0.87
2014.627,Lower error margin,-0.84
2014.63,Lower error margin,-0.839
2014.633,Lower error margin,-0.838
2014.705,Lower error margin,-0.812
2014.708,Lower error margin,-0.811
2014.713,Lower error margin,-0.809
2014.716,Lower error margin,-0.808
2014.719,Lower error margin,-0.807
2014.743,Lower error margin,-0.798
2015.063,Lower error margin,-0.737
2015.066,Lower error margin,-0.738
2015.105,Lower error margin,-0.761
2015.111,Lower error margin,-0.765
2015.114,Lower error margin,-0.767
2015.152,Lower error margin,-0.789
2015.23,Lower error margin,-0.831
2015.235,Lower error margin,-0.833
2015.28,Lower error margin,-0.855
2015.305,Lower error margin,-0.867
2015.316,Lower error margin,-0.873
2015.396,Lower error margin,-0.912
2015.399,Lower error margin,-0.913
2015.402,Lower error margin,-0.915
2015.436,Lower error margin,-0.936
2015.441,Lower error margin,-0.939
2015.447,Lower error margin,-0.943
2015.477,Lower error margin,-0.964
2015.48,Lower error margin,-0.966
2015.525,Lower error margin,-0.996
2015.527,Lower error margin,-0.998
2015.555,Lower error margin,-1.017
2015.56,Lower error margin,-1.02
2015.597,Lower error margin,-1.041
2015.603,Lower error margin,-1.044
2015.675,Lower error margin,-1.084
2015.678,Lower error margin,-1.085
2015.68,Lower error margin,-1.086
2015.683,Lower error margin,-1.088
2015.686,Lower error margin,-1.09
2015.719,Lower error margin,-1.108
2015.766,Lower error margin,-1.134
2015.799,Lower error margin,-1.155
2015.807,Lower error margin,-1.16
2015.836,Lower error margin,-1.178
2015.85,Lower error margin,-1.187
2015.88,Lower error margin,-1.206
2015.925,Lower error margin,-1.234
2015.936,Lower error margin,-1.241
2015.958,Lower error margin,-1.255
2016.036,Lower error margin,-1.28
2016.114,Lower error margin,-1.227
2016.116,Lower error margin,-1.225
2016.167,Lower error margin,-1.191
2016.199,Lower error margin,-1.169
2016.28,Lower error margin,-1.114
2016.283,Lower error margin,-1.112
2016.329,Lower error margin,-1.081
2016.339,Lower error margin,-1.074
2016.361,Lower error margin,-1.061
2016.364,Lower error margin,-1.059
2016.436,Lower error margin,-1.013
2016.439,Lower error margin,-1.012
2016.441,Lower error margin,-1.01
2016.525,Lower error margin,-0.957
2016.533,Lower error margin,-0.952
2016.597,Lower error margin,-0.912
2016.603,Lower error margin,-0.908
2016.605,Lower error margin,-0.907
2016.611,Lower error margin,-0.903
2016.649,Lower error margin,-0.876
2016.652,Lower error margin,-0.874
2016.655,Lower error margin,-0.872
2016.683,Lower error margin,-0.851
2016.727,Lower error margin,-0.819
2016.73,Lower error margin,-0.817
2016.732,Lower error margin,-0.815
2016.735,Lower error margin,-0.813
2016.772,Lower error margin,-0.786
2016.805,Lower error margin,-0.761
2016.807,Lower error margin,-0.759
2016.842,Lower error margin,-0.732
2016.899,Lower error margin,-0.687
2016.936,Lower error margin,-0.656
2016.969,Lower error margin,-0.629
2017.008,Lower error margin,-0.605
2017.083,Lower error margin,-0.605
2017.169,Lower error margin,-0.605
2017.297,Lower error margin,-0.605
2017.299,Lower error margin,-0.605
2017.327,Lower error margin,-0.605
2017.38,Lower error margin,-0.605
2017.383,Lower error margin,-0.605
2017.417,Lower error margin,-0.605
2017.493,Lower error margin,-0.605
2017.496,Lower error margin,-0.605
2017.552,Lower error margin,-0.605
2017.622,Lower error margin,-0.605
2017.625,Lower error margin,-0.605
2017.627,Lower error margin,-0.605
2017.657,Lower error margin,-0.605
2017.699,Lower error margin,-0.605
2017.702,Lower error margin,-0.605
2017.705,Lower error margin,-0.605
2017.708,Lower error margin,-0.605
2017.783,Lower error margin,-0.605
2017.786,Lower error margin,-0.605
2017.788,Lower error margin,-0.605
2017.813,Lower error margin,-0.605
2017.816,Lower error margin,-0.605
2017.818,Lower error margin,-0.605
2017.824,Lower error margin,-0.605
2017.858,Lower error margin,-0.605
2017.949,Lower error margin,-0.605
2017.974,Lower error margin,-0.605
