animal_category,animal_subcategory,feed_category,feed_subcategory,quantity,units,value
cattle,beef,corn,"silage, well eared",dry matter,percent,34.6
cattle,beef,cotton,seed,digestible energy,Mcal/kg,3.97
cattle,beef,cotton,seed,metabolizable energy,Mcal/kg,3.25
cattle,beef,cotton,seed,net energy (maintenance),Mcal/kg,2.24
cattle,beef,cotton,seed,net energy (gain),Mcal/kg,1.55
cattle,beef,cotton,seed,total digestible nutrients,percent,90
cattle,beef,cotton,seed,crude protein,percent,24.4
cattle,beef,cotton,seed,crude fiber,percent,25.6
cattle,beef,cotton,seed,ash,percent,4.2
cattle,beef,cotton,seed,neutral detergent fiber,percent,51.6
cattle,beef,cotton,seed,acid detergent fiber,percent,41.8
cattle,beef,cotton,seed,calcium,percent,0.17
cattle,beef,cotton,seed,phosphorus,percent,0.52
cattle,beef,cotton,seed,dry matter,percent,89.4
cattle,beef,cotton,meal,digestible energy,Mcal/kg,3.31
cattle,beef,cotton,meal,metabolizable energy,Mcal/kg,2.71
cattle,beef,cotton,meal,net energy (maintenance),Mcal/kg,1.79
cattle,beef,cotton,meal,net energy (gain),Mcal/kg,1.16
cattle,beef,cotton,meal,total digestible nutrients,percent,75
cattle,beef,cotton,meal,crude protein,percent,46.1
cattle,beef,cotton,meal,crude fiber,percent,13.2
cattle,beef,cotton,meal,ash,percent,7
cattle,beef,cotton,meal,neutral detergent fiber,percent,28.9
cattle,beef,cotton,meal,acid detergent fiber,percent,17.9
cattle,beef,cotton,meal,calcium,percent,0.2
cattle,beef,cotton,meal,phosphorus,percent,1.16
cattle,beef,cotton,meal,dry matter,percent,90.2
cattle,beef,cotton,molasses (cane),digestible energy,Mcal/kg,3.17
cattle,beef,cotton,molasses (cane),metabolizable energy,Mcal/kg,2.6
cattle,beef,cotton,molasses (cane),net energy (maintenance),Mcal/kg,1.7
cattle,beef,cotton,molasses (cane),net energy (gain),Mcal/kg,1.08
cattle,beef,cotton,molasses (cane),total digestible nutrients,percent,72
cattle,beef,cotton,molasses (cane),crude protein,percent,5.8
cattle,beef,cotton,molasses (cane),crude fiber,percent,0.5
cattle,beef,cotton,molasses (cane),ash,percent,13.3
cattle,beef,cotton,molasses (cane),acid detergent fiber,percent,0.4
cattle,beef,cotton,molasses (cane),calcium,percent,1
cattle,beef,cotton,molasses (cane),phosphorus,percent,0.1
cattle,beef,cotton,molasses (cane),dry matter,percent,74.3
cattle,beef,cotton,oats,digestible energy,Mcal/kg,3.4
cattle,beef,cotton,oats,metabolizable energy,Mcal/kg,2.78
cattle,beef,cotton,oats,net energy (maintenance),Mcal/kg,1.85
cattle,beef,cotton,oats,net energy (gain),Mcal/kg,1.22
cattle,beef,cotton,oats,total digestible nutrients,percent,77
cattle,beef,cotton,oats,crude protein,percent,13.6
cattle,beef,cotton,oats,crude fiber,percent,12
cattle,beef,cotton,oats,ash,percent,3.3
cattle,beef,cotton,oats,neutral detergent fiber,percent,29.3
cattle,beef,cotton,oats,acid detergent fiber,percent,14
cattle,beef,cotton,oats,calcium,percent,0.01
cattle,beef,cotton,oats,phosphorus,percent,0.41
cattle,beef,cotton,oats,dry matter,percent,89.2
cattle,beef,sorghum,grain,digestible energy,Mcal/kg,3.62
cattle,beef,sorghum,grain,metabolizable energy,Mcal/kg,2.96
cattle,beef,sorghum,grain,net energy (maintenance),Mcal/kg,2
cattle,beef,sorghum,grain,net energy (gain),Mcal/kg,1.35
cattle,beef,sorghum,grain,total digestible nutrients,percent,82
cattle,beef,sorghum,grain,crude protein,percent,12.6
cattle,beef,sorghum,grain,crude fiber,percent,2.76
cattle,beef,sorghum,grain,ash,percent,1.9
cattle,beef,sorghum,grain,neutral detergent fiber,percent,16.1
cattle,beef,sorghum,grain,acid detergent fiber,percent,6.4
cattle,beef,sorghum,grain,calcium,percent,0.04
cattle,beef,sorghum,grain,phosphorus,percent,0.34
cattle,beef,sorghum,grain,dry matter,percent,90
cattle,beef,soybeans,meal,digestible energy,Mcal/kg,3.7
cattle,beef,soybeans,meal,metabolizable energy,Mcal/kg,3.04
cattle,beef,soybeans,meal,net energy (maintenance),Mcal/kg,2.06
cattle,beef,soybeans,meal,net energy (gain),Mcal/kg,1.4
cattle,beef,soybeans,meal,total digestible nutrients,percent,84
cattle,beef,soybeans,meal,crude protein,percent,51.8
cattle,beef,soybeans,meal,crude fiber,percent,5.4
cattle,beef,soybeans,meal,ash,percent,6.9
cattle,beef,soybeans,meal,neutral detergent fiber,percent,10.3
cattle,beef,soybeans,meal,acid detergent fiber,percent,7
cattle,beef,soybeans,meal,calcium,percent,0.46
cattle,beef,soybeans,meal,phosphorus,percent,0.73
cattle,beef,soybeans,meal,dry matter,percent,90.9
cattle,beef,wheat,bran,digestible energy,Mcal/kg,3.09
cattle,beef,wheat,bran,metabolizable energy,Mcal/kg,2.53
cattle,beef,wheat,bran,net energy (maintenance),Mcal/kg,1.63
cattle,beef,wheat,bran,net energy (gain),Mcal/kg,1.03
cattle,beef,wheat,bran,total digestible nutrients,percent,70
cattle,beef,wheat,bran,crude protein,percent,17.4
cattle,beef,wheat,bran,crude fiber,percent,11.3
cattle,beef,wheat,bran,ash,percent,6.6
cattle,beef,wheat,bran,neutral detergent fiber,percent,42.8
cattle,beef,wheat,bran,acid detergent fiber,percent,14
cattle,beef,wheat,bran,calcium,percent,0.14
cattle,beef,wheat,bran,phosphorus,percent,1.27
cattle,beef,wheat,bran,dry matter,percent,89
cattle,beef,wheat,fresh (early vegetative),digestible energy,Mcal/kg,3.22
cattle,beef,wheat,fresh (early vegetative),metabolizable energy,Mcal/kg,2.64
cattle,beef,wheat,fresh (early vegetative),net energy (maintenance),Mcal/kg,1.73
cattle,beef,wheat,fresh (early vegetative),net energy (gain),Mcal/kg,1.11
cattle,beef,wheat,fresh (early vegetative),total digestible nutrients,percent,73
cattle,beef,wheat,fresh (early vegetative),crude protein,percent,27.4
cattle,beef,wheat,fresh (early vegetative),crude fiber,percent,17.4
cattle,beef,wheat,fresh (early vegetative),ash,percent,13.3
cattle,beef,wheat,fresh (early vegetative),neutral detergent fiber,percent,46.2
cattle,beef,wheat,fresh (early vegetative),acid detergent fiber,percent,28.4
cattle,beef,wheat,fresh (early vegetative),calcium,percent,0.42
cattle,beef,wheat,fresh (early vegetative),phosphorus,percent,0.4
cattle,beef,wheat,fresh (early vegetative),dry matter,percent,22.2
cattle,dairy,corn,ground shell,dry matter,percent,88
cattle,dairy,corn,ground shell,metabolizable energy,Mcal/kg,3.12
cattle,dairy,corn,ground shell,net energy (lactation),Mcal/kg,2.01
cattle,dairy,corn,ground shell,net energy (maintenance),Mcal/kg,2.16
cattle,dairy,corn,ground shell,net energy (gain),Mcal/kg,1.48
cattle,dairy,corn,ground shell,neutral detergent fiber,percent,9.5
cattle,dairy,corn,ground shell,non-fiber carbohydrate,percent,75.47
cattle,dairy,corn,ground shell,crude protein,percent,9.4
cattle,dairy,corn,silage,dry matter,percent,35
cattle,dairy,corn,silage,metabolizable energy,Mcal/kg,2.33
cattle,dairy,corn,silage,net energy (lactation),Mcal/kg,1.45
cattle,dairy,corn,silage,net energy (maintenance),Mcal/kg,1.57
cattle,dairy,corn,silage,net energy (gain),Mcal/kg,0.97
cattle,dairy,corn,silage,neutral detergent fiber,percent,45
cattle,dairy,corn,silage,non-fiber carbohydrate,percent,40
cattle,dairy,corn,silage,crude protein,percent,8.8
