,type,year,kcal_capita_day
717,"Butter, Ghee",1989,31
187,Starchy Roots,1989,124
876,"Fish, Body Oil",1989,1
81,Animal Products,1989,413
1353,Cephalopods,1989,1
1300,Crustaceans,1989,1
611,"Meat, Other",1989,2
982,Eggs,1989,24
1459,"Meat, Aquatic Mammals",1989,0
505,Pigmeat,1989,90
1088,Freshwater Fish,1989,5
399,Bovine Meat,1989,45
823,"Fats, Animals, Raw",1989,29
558,Poultry Meat,1989,28
346,Fruits - Excluding Wine,1989,65
1141,Demersal Fish,1989,6
1512,"Aquatic Animals, Others",1989,0
1035,Milk - Excluding Butter,1989,118
293,Vegetables,1989,51
770,Cream,1989,4
452,Mutton & Goat Meat,1989,9
1194,Pelagic Fish,1989,8
1565,Aquatic Plants,1989,0
28,Grand Total,1989,2635
929,"Fish, Liver Oil",1989,0
240,Treenuts,1989,7
1247,"Marine Fish, Other",1989,3
1406,"Molluscs, Other",1989,1
664,"Offals, Edible",1989,6
1460,"Meat, Aquatic Mammals",1990,0
1513,"Aquatic Animals, Others",1990,0
82,Animal Products,1990,414
930,"Fish, Liver Oil",1990,0
1301,Crustaceans,1990,1
135,Cereals - Excluding Beer,1990,1315
1354,Cephalopods,1990,1
188,Starchy Roots,1990,129
29,Grand Total,1990,2621
983,Eggs,1990,25
1566,Aquatic Plants,1990,0
400,Bovine Meat,1990,45
1248,"Marine Fish, Other",1990,3
241,Treenuts,1990,7
1195,Pelagic Fish,1990,9
294,Vegetables,1990,52
1036,Milk - Excluding Butter,1990,117
1142,Demersal Fish,1990,6
347,Fruits - Excluding Wine,1990,63
1407,"Molluscs, Other",1990,1
453,Mutton & Goat Meat,1990,10
1089,Freshwater Fish,1990,6
824,"Fats, Animals, Raw",1990,29
559,Poultry Meat,1990,29
877,"Fish, Body Oil",1990,1
771,Cream,1990,4
612,"Meat, Other",1990,2
718,"Butter, Ghee",1990,30
665,"Offals, Edible",1990,6
506,Pigmeat,1990,91
1037,Milk - Excluding Butter,1991,114
454,Mutton & Goat Meat,1991,10
984,Eggs,1991,25
1249,"Marine Fish, Other",1991,3
507,Pigmeat,1991,92
1090,Freshwater Fish,1991,6
931,"Fish, Liver Oil",1991,0
1514,"Aquatic Animals, Others",1991,0
1408,"Molluscs, Other",1991,1
189,Starchy Roots,1991,128
1461,"Meat, Aquatic Mammals",1991,0
242,Treenuts,1991,8
878,"Fish, Body Oil",1991,1
1143,Demersal Fish,1991,6
1196,Pelagic Fish,1991,8
825,"Fats, Animals, Raw",1991,29
401,Bovine Meat,1991,44
295,Vegetables,1991,52
1302,Crustaceans,1991,1
83,Animal Products,1991,410
1567,Aquatic Plants,1991,1
719,"Butter, Ghee",1991,27
613,"Meat, Other",1991,2
136,Cereals - Excluding Beer,1991,1307
30,Grand Total,1991,2601
348,Fruits - Excluding Wine,1991,63
1355,Cephalopods,1991,1
772,Cream,1991,3
560,Poultry Meat,1991,31
666,"Offals, Edible",1991,6
84,Animal Products,1992,410
879,"Fish, Body Oil",1992,1
243,Treenuts,1992,8
1038,Milk - Excluding Butter,1992,113
31,Grand Total,1992,2610
190,Starchy Roots,1992,131
1303,Crustaceans,1992,1
1091,Freshwater Fish,1992,6
1462,"Meat, Aquatic Mammals",1992,0
402,Bovine Meat,1992,42
508,Pigmeat,1992,95
349,Fruits - Excluding Wine,1992,66
1250,"Marine Fish, Other",1992,3
985,Eggs,1992,25
667,"Offals, Edible",1992,6
826,"Fats, Animals, Raw",1992,31
137,Cereals - Excluding Beer,1992,1316
1515,"Aquatic Animals, Others",1992,0
1568,Aquatic Plants,1992,1
773,Cream,1992,3
1409,"Molluscs, Other",1992,1
1356,Cephalopods,1992,1
296,Vegetables,1992,53
561,Poultry Meat,1992,32
455,Mutton & Goat Meat,1992,10
720,"Butter, Ghee",1992,26
614,"Meat, Other",1992,2
932,"Fish, Liver Oil",1992,0
1197,Pelagic Fish,1992,8
1144,Demersal Fish,1992,5
1516,"Aquatic Animals, Others",1993,0
827,"Fats, Animals, Raw",1993,30
1304,Crustaceans,1993,1
562,Poultry Meat,1993,33
986,Eggs,1993,26
456,Mutton & Goat Meat,1993,10
1463,"Meat, Aquatic Mammals",1993,0
350,Fruits - Excluding Wine,1993,67
1198,Pelagic Fish,1993,8
403,Bovine Meat,1993,40
297,Vegetables,1993,55
774,Cream,1993,3
85,Animal Products,1993,412
138,Cereals - Excluding Beer,1993,1318
32,Grand Total,1993,2616
615,"Meat, Other",1993,2
1039,Milk - Excluding Butter,1993,113
668,"Offals, Edible",1993,6
1251,"Marine Fish, Other",1993,3
1357,Cephalopods,1993,1
191,Starchy Roots,1993,134
244,Treenuts,1993,8
509,Pigmeat,1993,97
1145,Demersal Fish,1993,5
1410,"Molluscs, Other",1993,1
933,"Fish, Liver Oil",1993,0
880,"Fish, Body Oil",1993,1
1092,Freshwater Fish,1993,6
1569,Aquatic Plants,1993,1
721,"Butter, Ghee",1993,26
1411,"Molluscs, Other",1994,1
1464,"Meat, Aquatic Mammals",1994,0
404,Bovine Meat,1994,40
722,"Butter, Ghee",1994,25
510,Pigmeat,1994,100
86,Animal Products,1994,421
298,Vegetables,1994,57
1358,Cephalopods,1994,1
881,"Fish, Body Oil",1994,1
1570,Aquatic Plants,1994,1
139,Cereals - Excluding Beer,1994,1320
1040,Milk - Excluding Butter,1994,116
245,Treenuts,1994,8
616,"Meat, Other",1994,2
775,Cream,1994,2
351,Fruits - Excluding Wine,1994,68
669,"Offals, Edible",1994,6
1199,Pelagic Fish,1994,8
1146,Demersal Fish,1994,5
987,Eggs,1994,28
1252,"Marine Fish, Other",1994,3
1093,Freshwater Fish,1994,7
457,Mutton & Goat Meat,1994,10
1305,Crustaceans,1994,1
934,"Fish, Liver Oil",1994,0
33,Grand Total,1994,2639
1517,"Aquatic Animals, Others",1994,0
563,Poultry Meat,1994,35
192,Starchy Roots,1994,131
828,"Fats, Animals, Raw",1994,30
1147,Demersal Fish,1995,5
246,Treenuts,1995,8
352,Fruits - Excluding Wine,1995,69
1041,Milk - Excluding Butter,1995,118
140,Cereals - Excluding Beer,1995,1320
1200,Pelagic Fish,1995,8
829,"Fats, Animals, Raw",1995,30
1094,Freshwater Fish,1995,7
1253,"Marine Fish, Other",1995,3
1465,"Meat, Aquatic Mammals",1995,0
299,Vegetables,1995,60
87,Animal Products,1995,428
617,"Meat, Other",1995,2
564,Poultry Meat,1995,37
1412,"Molluscs, Other",1995,1
776,Cream,1995,2
723,"Butter, Ghee",1995,24
882,"Fish, Body Oil",1995,1
935,"Fish, Liver Oil",1995,0
458,Mutton & Goat Meat,1995,10
670,"Offals, Edible",1995,6
1306,Crustaceans,1995,2
405,Bovine Meat,1995,39
988,Eggs,1995,29
1359,Cephalopods,1995,1
34,Grand Total,1995,2663
193,Starchy Roots,1995,134
511,Pigmeat,1995,100
1571,Aquatic Plants,1995,1
1518,"Aquatic Animals, Others",1995,0
724,"Butter, Ghee",1996,24
1201,Pelagic Fish,1996,8
1254,"Marine Fish, Other",1996,3
1413,"Molluscs, Other",1996,1
247,Treenuts,1996,9
353,Fruits - Excluding Wine,1996,72
671,"Offals, Edible",1996,6
1307,Crustaceans,1996,2
512,Pigmeat,1996,99
88,Animal Products,1996,427
989,Eggs,1996,29
936,"Fish, Liver Oil",1996,0
777,Cream,1996,2
883,"Fish, Body Oil",1996,1
1095,Freshwater Fish,1996,8
1519,"Aquatic Animals, Others",1996,0
1042,Milk - Excluding Butter,1996,119
35,Grand Total,1996,2673
459,Mutton & Goat Meat,1996,10
194,Starchy Roots,1996,130
1572,Aquatic Plants,1996,1
565,Poultry Meat,1996,37
300,Vegetables,1996,63
618,"Meat, Other",1996,2
141,Cereals - Excluding Beer,1996,1328
830,"Fats, Animals, Raw",1996,28
1148,Demersal Fish,1996,6
1466,"Meat, Aquatic Mammals",1996,0
406,Bovine Meat,1996,39
1360,Cephalopods,1996,1
1573,Aquatic Plants,1997,1
1520,"Aquatic Animals, Others",1997,0
778,Cream,1997,2
725,"Butter, Ghee",1997,24
884,"Fish, Body Oil",1997,1
248,Treenuts,1997,9
1361,Cephalopods,1997,1
460,Mutton & Goat Meat,1997,10
937,"Fish, Liver Oil",1997,0
566,Poultry Meat,1997,39
36,Grand Total,1997,2687
1149,Demersal Fish,1997,6
1414,"Molluscs, Other",1997,1
1202,Pelagic Fish,1997,8
301,Vegetables,1997,63
89,Animal Products,1997,430
831,"Fats, Animals, Raw",1997,28
407,Bovine Meat,1997,40
990,Eggs,1997,30
1467,"Meat, Aquatic Mammals",1997,0
619,"Meat, Other",1997,2
195,Starchy Roots,1997,133
672,"Offals, Edible",1997,6
1255,"Marine Fish, Other",1997,3
513,Pigmeat,1997,100
1308,Crustaceans,1997,2
1043,Milk - Excluding Butter,1997,119
142,Cereals - Excluding Beer,1997,1320
354,Fruits - Excluding Wine,1997,73
1096,Freshwater Fish,1997,8
1415,"Molluscs, Other",1998,1
302,Vegetables,1998,65
1256,"Marine Fish, Other",1998,3
355,Fruits - Excluding Wine,1998,73
1203,Pelagic Fish,1998,8
1097,Freshwater Fish,1998,8
408,Bovine Meat,1998,39
1150,Demersal Fish,1998,6
1468,"Meat, Aquatic Mammals",1998,0
461,Mutton & Goat Meat,1998,10
1362,Cephalopods,1998,1
196,Starchy Roots,1998,134
1044,Milk - Excluding Butter,1998,120
1521,"Aquatic Animals, Others",1998,0
143,Cereals - Excluding Beer,1998,1325
779,Cream,1998,2
885,"Fish, Body Oil",1998,1
567,Poultry Meat,1998,40
1574,Aquatic Plants,1998,1
249,Treenuts,1998,9
832,"Fats, Animals, Raw",1998,29
673,"Offals, Edible",1998,6
726,"Butter, Ghee",1998,24
1309,Crustaceans,1998,2
991,Eggs,1998,30
37,Grand Total,1998,2701
514,Pigmeat,1998,105
938,"Fish, Liver Oil",1998,0
620,"Meat, Other",1998,2
90,Animal Products,1998,439
1522,"Aquatic Animals, Others",1999,0
674,"Offals, Edible",1999,7
833,"Fats, Animals, Raw",1999,29
462,Mutton & Goat Meat,1999,10
1575,Aquatic Plants,1999,1
1098,Freshwater Fish,1999,8
780,Cream,1999,2
197,Starchy Roots,1999,137
1416,"Molluscs, Other",1999,1
38,Grand Total,1999,2715
1045,Milk - Excluding Butter,1999,121
144,Cereals - Excluding Beer,1999,1325
621,"Meat, Other",1999,2
568,Poultry Meat,1999,42
409,Bovine Meat,1999,39
1363,Cephalopods,1999,1
992,Eggs,1999,31
939,"Fish, Liver Oil",1999,0
303,Vegetables,1999,70
91,Animal Products,1999,445
356,Fruits - Excluding Wine,1999,75
250,Treenuts,1999,9
1469,"Meat, Aquatic Mammals",1999,0
1257,"Marine Fish, Other",1999,3
1204,Pelagic Fish,1999,8
886,"Fish, Body Oil",1999,1
515,Pigmeat,1999,105
727,"Butter, Ghee",1999,25
1151,Demersal Fish,1999,5
1310,Crustaceans,1999,2
1417,"Molluscs, Other",2000,1
198,Starchy Roots,2000,139
145,Cereals - Excluding Beer,2000,1317
569,Poultry Meat,2000,44
1311,Crustaceans,2000,2
622,"Meat, Other",2000,2
1205,Pelagic Fish,2000,8
728,"Butter, Ghee",2000,25
251,Treenuts,2000,10
1258,"Marine Fish, Other",2000,3
1364,Cephalopods,2000,1
92,Animal Products,2000,450
1152,Demersal Fish,2000,5
304,Vegetables,2000,75
410,Bovine Meat,2000,39
887,"Fish, Body Oil",2000,1
1470,"Meat, Aquatic Mammals",2000,0
1576,Aquatic Plants,2000,1
463,Mutton & Goat Meat,2000,10
675,"Offals, Edible",2000,7
993,Eggs,2000,32
1099,Freshwater Fish,2000,8
1523,"Aquatic Animals, Others",2000,0
940,"Fish, Liver Oil",2000,0
39,Grand Total,2000,2727
781,Cream,2000,2
516,Pigmeat,2000,107
834,"Fats, Animals, Raw",2000,30
357,Fruits - Excluding Wine,2000,77
1046,Milk - Excluding Butter,2000,120
941,"Fish, Liver Oil",2001,0
1312,Crustaceans,2001,2
1259,"Marine Fish, Other",2001,3
1100,Freshwater Fish,2001,9
252,Treenuts,2001,10
93,Animal Products,2001,448
146,Cereals - Excluding Beer,2001,1308
729,"Butter, Ghee",2001,26
358,Fruits - Excluding Wine,2001,76
623,"Meat, Other",2001,3
676,"Offals, Edible",2001,6
517,Pigmeat,2001,106
570,Poultry Meat,2001,44
1365,Cephalopods,2001,1
1047,Milk - Excluding Butter,2001,120
835,"Fats, Animals, Raw",2001,29
782,Cream,2001,2
1471,"Meat, Aquatic Mammals",2001,0
1206,Pelagic Fish,2001,8
994,Eggs,2001,32
40,Grand Total,2001,2725
1524,"Aquatic Animals, Others",2001,0
199,Starchy Roots,2001,138
464,Mutton & Goat Meat,2001,10
411,Bovine Meat,2001,38
1577,Aquatic Plants,2001,1
1153,Demersal Fish,2001,5
888,"Fish, Body Oil",2001,1
305,Vegetables,2001,76
1418,"Molluscs, Other",2001,1
1048,Milk - Excluding Butter,2002,121
1154,Demersal Fish,2002,5
1101,Freshwater Fish,2002,9
995,Eggs,2002,32
783,Cream,2002,2
1313,Crustaceans,2002,2
1472,"Meat, Aquatic Mammals",2002,0
1525,"Aquatic Animals, Others",2002,0
518,Pigmeat,2002,108
1578,Aquatic Plants,2002,1
1260,"Marine Fish, Other",2002,2
359,Fruits - Excluding Wine,2002,79
1419,"Molluscs, Other",2002,1
306,Vegetables,2002,77
1366,Cephalopods,2002,1
465,Mutton & Goat Meat,2002,10
94,Animal Products,2002,455
942,"Fish, Liver Oil",2002,0
147,Cereals - Excluding Beer,2002,1297
889,"Fish, Body Oil",2002,1
200,Starchy Roots,2002,138
1207,Pelagic Fish,2002,8
624,"Meat, Other",2002,3
412,Bovine Meat,2002,39
253,Treenuts,2002,11
677,"Offals, Edible",2002,7
836,"Fats, Animals, Raw",2002,30
41,Grand Total,2002,2728
571,Poultry Meat,2002,46
730,"Butter, Ghee",2002,27
413,Bovine Meat,2003,39
837,"Fats, Animals, Raw",2003,30
1049,Milk - Excluding Butter,2003,123
201,Starchy Roots,2003,137
148,Cereals - Excluding Beer,2003,1291
1473,"Meat, Aquatic Mammals",2003,0
996,Eggs,2003,32
572,Poultry Meat,2003,46
943,"Fish, Liver Oil",2003,0
784,Cream,2003,2
1420,"Molluscs, Other",2003,1
1526,"Aquatic Animals, Others",2003,0
1155,Demersal Fish,2003,5
466,Mutton & Goat Meat,2003,10
42,Grand Total,2003,2735
1208,Pelagic Fish,2003,9
890,"Fish, Body Oil",2003,0
95,Animal Products,2003,461
307,Vegetables,2003,79
1314,Crustaceans,2003,2
254,Treenuts,2003,11
731,"Butter, Ghee",2003,27
1579,Aquatic Plants,2003,1
1261,"Marine Fish, Other",2003,2
360,Fruits - Excluding Wine,2003,80
1367,Cephalopods,2003,1
1102,Freshwater Fish,2003,9
519,Pigmeat,2003,111
678,"Offals, Edible",2003,7
625,"Meat, Other",2003,3
43,Grand Total,2004,2747
1368,Cephalopods,2004,1
944,"Fish, Liver Oil",2004,0
467,Mutton & Goat Meat,2004,10
1315,Crustaceans,2004,2
1527,"Aquatic Animals, Others",2004,0
997,Eggs,2004,33
626,"Meat, Other",2004,2
414,Bovine Meat,2004,39
1050,Milk - Excluding Butter,2004,125
679,"Offals, Edible",2004,7
732,"Butter, Ghee",2004,27
255,Treenuts,2004,11
1103,Freshwater Fish,2004,9
573,Poultry Meat,2004,47
308,Vegetables,2004,80
96,Animal Products,2004,464
520,Pigmeat,2004,110
891,"Fish, Body Oil",2004,0
1209,Pelagic Fish,2004,9
1262,"Marine Fish, Other",2004,2
361,Fruits - Excluding Wine,2004,82
1580,Aquatic Plants,2004,2
838,"Fats, Animals, Raw",2004,30
1474,"Meat, Aquatic Mammals",2004,0
785,Cream,2004,2
202,Starchy Roots,2004,140
149,Cereals - Excluding Beer,2004,1290
1156,Demersal Fish,2004,5
1421,"Molluscs, Other",2004,1
1528,"Aquatic Animals, Others",2005,0
1581,Aquatic Plants,2005,2
256,Treenuts,2005,11
786,Cream,2005,2
1157,Demersal Fish,2005,6
468,Mutton & Goat Meat,2005,11
1210,Pelagic Fish,2005,9
945,"Fish, Liver Oil",2005,0
97,Animal Products,2005,470
309,Vegetables,2005,81
1422,"Molluscs, Other",2005,1
733,"Butter, Ghee",2005,28
892,"Fish, Body Oil",2005,0
839,"Fats, Animals, Raw",2005,29
203,Starchy Roots,2005,140
1051,Milk - Excluding Butter,2005,127
362,Fruits - Excluding Wine,2005,84
150,Cereals - Excluding Beer,2005,1286
627,"Meat, Other",2005,3
1263,"Marine Fish, Other",2005,2
1316,Crustaceans,2005,2
998,Eggs,2005,33
1369,Cephalopods,2005,1
521,Pigmeat,2005,111
574,Poultry Meat,2005,48
415,Bovine Meat,2005,39
44,Grand Total,2005,2761
1104,Freshwater Fish,2005,10
680,"Offals, Edible",2005,7
1475,"Meat, Aquatic Mammals",2005,0
1529,"Aquatic Animals, Others",2006,0
1476,"Meat, Aquatic Mammals",2006,0
628,"Meat, Other",2006,3
681,"Offals, Edible",2006,7
1370,Cephalopods,2006,1
45,Grand Total,2006,2779
1423,"Molluscs, Other",2006,1
98,Animal Products,2006,479
1211,Pelagic Fish,2006,9
151,Cereals - Excluding Beer,2006,1289
1264,"Marine Fish, Other",2006,2
1158,Demersal Fish,2006,6
787,Cream,2006,2
1582,Aquatic Plants,2006,2
310,Vegetables,2006,83
522,Pigmeat,2006,113
1105,Freshwater Fish,2006,10
363,Fruits - Excluding Wine,2006,87
204,Starchy Roots,2006,134
257,Treenuts,2006,12
1052,Milk - Excluding Butter,2006,130
734,"Butter, Ghee",2006,28
840,"Fats, Animals, Raw",2006,30
575,Poultry Meat,2006,49
946,"Fish, Liver Oil",2006,0
999,Eggs,2006,33
1317,Crustaceans,2006,2
416,Bovine Meat,2006,40
893,"Fish, Body Oil",2006,0
469,Mutton & Goat Meat,2006,11
258,Treenuts,2007,13
1212,Pelagic Fish,2007,9
1424,"Molluscs, Other",2007,1
1159,Demersal Fish,2007,6
894,"Fish, Body Oil",2007,0
682,"Offals, Edible",2007,7
470,Mutton & Goat Meat,2007,11
788,Cream,2007,2
99,Animal Products,2007,488
841,"Fats, Animals, Raw",2007,30
523,Pigmeat,2007,115
947,"Fish, Liver Oil",2007,0
1106,Freshwater Fish,2007,11
629,"Meat, Other",2007,3
1530,"Aquatic Animals, Others",2007,0
46,Grand Total,2007,2807
417,Bovine Meat,2007,41
1053,Milk - Excluding Butter,2007,133
1000,Eggs,2007,34
1477,"Meat, Aquatic Mammals",2007,0
364,Fruits - Excluding Wine,2007,88
311,Vegetables,2007,87
152,Cereals - Excluding Beer,2007,1288
1318,Crustaceans,2007,2
205,Starchy Roots,2007,133
1371,Cephalopods,2007,1
576,Poultry Meat,2007,51
1583,Aquatic Plants,2007,2
735,"Butter, Ghee",2007,28
1265,"Marine Fish, Other",2007,2
1531,"Aquatic Animals, Others",2008,0
1107,Freshwater Fish,2008,11
1372,Cephalopods,2008,1
1001,Eggs,2008,34
789,Cream,2008,2
842,"Fats, Animals, Raw",2008,29
1478,"Meat, Aquatic Mammals",2008,0
1584,Aquatic Plants,2008,2
736,"Butter, Ghee",2008,28
1054,Milk - Excluding Butter,2008,133
312,Vegetables,2008,89
365,Fruits - Excluding Wine,2008,90
206,Starchy Roots,2008,137
524,Pigmeat,2008,117
100,Animal Products,2008,494
1319,Crustaceans,2008,2
1266,"Marine Fish, Other",2008,2
1425,"Molluscs, Other",2008,1
577,Poultry Meat,2008,53
1213,Pelagic Fish,2008,9
683,"Offals, Edible",2008,7
259,Treenuts,2008,15
948,"Fish, Liver Oil",2008,0
630,"Meat, Other",2008,3
471,Mutton & Goat Meat,2008,11
418,Bovine Meat,2008,40
153,Cereals - Excluding Beer,2008,1296
47,Grand Total,2008,2825
1160,Demersal Fish,2008,6
895,"Fish, Body Oil",2008,0
737,"Butter, Ghee",2009,28
207,Starchy Roots,2009,136
1055,Milk - Excluding Butter,2009,135
472,Mutton & Goat Meat,2009,11
896,"Fish, Body Oil",2009,0
949,"Fish, Liver Oil",2009,0
1373,Cephalopods,2009,1
1532,"Aquatic Animals, Others",2009,0
1479,"Meat, Aquatic Mammals",2009,0
631,"Meat, Other",2009,3
843,"Fats, Animals, Raw",2009,29
1002,Eggs,2009,35
419,Bovine Meat,2009,40
1320,Crustaceans,2009,2
48,Grand Total,2009,2825
154,Cereals - Excluding Beer,2009,1289
1108,Freshwater Fish,2009,12
366,Fruits - Excluding Wine,2009,91
101,Animal Products,2009,497
260,Treenuts,2009,14
525,Pigmeat,2009,119
790,Cream,2009,2
684,"Offals, Edible",2009,7
1161,Demersal Fish,2009,6
578,Poultry Meat,2009,54
1426,"Molluscs, Other",2009,1
313,Vegetables,2009,90
1214,Pelagic Fish,2009,9
1585,Aquatic Plants,2009,2
1267,"Marine Fish, Other",2009,3
844,"Fats, Animals, Raw",2010,29
1003,Eggs,2010,35
1215,Pelagic Fish,2010,8
1268,"Marine Fish, Other",2010,3
155,Cereals - Excluding Beer,2010,1298
1427,"Molluscs, Other",2010,1
102,Animal Products,2010,504
49,Grand Total,2010,2850
1162,Demersal Fish,2010,6
632,"Meat, Other",2010,3
261,Treenuts,2010,15
420,Bovine Meat,2010,40
1109,Freshwater Fish,2010,13
1533,"Aquatic Animals, Others",2010,0
950,"Fish, Liver Oil",2010,0
1586,Aquatic Plants,2010,2
897,"Fish, Body Oil",2010,0
526,Pigmeat,2010,121
1056,Milk - Excluding Butter,2010,136
1321,Crustaceans,2010,2
367,Fruits - Excluding Wine,2010,91
314,Vegetables,2010,91
738,"Butter, Ghee",2010,28
1374,Cephalopods,2010,1
791,Cream,2010,2
1480,"Meat, Aquatic Mammals",2010,0
208,Starchy Roots,2010,137
579,Poultry Meat,2010,55
473,Mutton & Goat Meat,2010,11
685,"Offals, Edible",2010,7
580,Poultry Meat,2011,57
686,"Offals, Edible",2011,7
1216,Pelagic Fish,2011,8
898,"Fish, Body Oil",2011,0
474,Mutton & Goat Meat,2011,11
1322,Crustaceans,2011,2
156,Cereals - Excluding Beer,2011,1297
633,"Meat, Other",2011,3
1110,Freshwater Fish,2011,13
1428,"Molluscs, Other",2011,1
421,Bovine Meat,2011,40
209,Starchy Roots,2011,140
527,Pigmeat,2011,120
315,Vegetables,2011,93
1057,Milk - Excluding Butter,2011,139
739,"Butter, Ghee",2011,28
368,Fruits - Excluding Wine,2011,94
1375,Cephalopods,2011,1
792,Cream,2011,2
951,"Fish, Liver Oil",2011,0
1481,"Meat, Aquatic Mammals",2011,0
1534,"Aquatic Animals, Others",2011,0
845,"Fats, Animals, Raw",2011,29
1004,Eggs,2011,35
103,Animal Products,2011,507
1269,"Marine Fish, Other",2011,3
50,Grand Total,2011,2869
1163,Demersal Fish,2011,6
262,Treenuts,2011,16
1587,Aquatic Plants,2011,2
1588,Aquatic Plants,2012,2
1535,"Aquatic Animals, Others",2012,0
634,"Meat, Other",2012,3
210,Starchy Roots,2012,142
899,"Fish, Body Oil",2012,0
316,Vegetables,2012,94
1164,Demersal Fish,2012,6
1058,Milk - Excluding Butter,2012,139
846,"Fats, Animals, Raw",2012,29
263,Treenuts,2012,16
528,Pigmeat,2012,123
1217,Pelagic Fish,2012,8
422,Bovine Meat,2012,40
1270,"Marine Fish, Other",2012,3
369,Fruits - Excluding Wine,2012,96
793,Cream,2012,2
475,Mutton & Goat Meat,2012,11
1111,Freshwater Fish,2012,13
581,Poultry Meat,2012,58
157,Cereals - Excluding Beer,2012,1287
1376,Cephalopods,2012,1
740,"Butter, Ghee",2012,29
1429,"Molluscs, Other",2012,1
952,"Fish, Liver Oil",2012,0
687,"Offals, Edible",2012,7
104,Animal Products,2012,513
1005,Eggs,2012,35
1482,"Meat, Aquatic Mammals",2012,0
51,Grand Total,2012,2874
1323,Crustaceans,2012,2
900,"Fish, Body Oil",2013,0
52,Grand Total,2013,2884
529,Pigmeat,2013,124
847,"Fats, Animals, Raw",2013,29
794,Cream,2013,2
741,"Butter, Ghee",2013,30
688,"Offals, Edible",2013,7
1589,Aquatic Plants,2013,2
476,Mutton & Goat Meat,2013,11
953,"Fish, Liver Oil",2013,0
582,Poultry Meat,2013,59
1006,Eggs,2013,36
423,Bovine Meat,2013,40
105,Animal Products,2013,514
1430,"Molluscs, Other",2013,1
1483,"Meat, Aquatic Mammals",2013,0
1377,Cephalopods,2013,1
158,Cereals - Excluding Beer,2013,1292
1324,Crustaceans,2013,2
211,Starchy Roots,2013,141
1271,"Marine Fish, Other",2013,2
1536,"Aquatic Animals, Others",2013,0
635,"Meat, Other",2013,3
264,Treenuts,2013,16
1165,Demersal Fish,2013,6
317,Vegetables,2013,95
1112,Freshwater Fish,2013,13
370,Fruits - Excluding Wine,2013,97
1059,Milk - Excluding Butter,2013,138
1218,Pelagic Fish,2013,8
1695,Demersal Fish,2014,5
1690,Freshwater Fish,2014,14
1615,Vegetables,2014,95
1685,Milk - Excluding Butter,2014,139
1680,Eggs,2014,36
1620,Fruits - Excluding Wine,2014,97
1675,"Fish, Liver Oil",2014,0
1660,Cream,2014,2
1625,Bovine Meat,2014,39
1665,"Fats, Animals, Raw",2014,31
1630,Mutton & Goat Meat,2014,11
1655,"Butter, Ghee",2014,30
1650,"Offals, Edible",2014,7
1635,Pigmeat,2014,119
1610,Treenuts,2014,15
1645,"Meat, Other",2014,3
1670,"Fish, Body Oil",2014,0
1700,Pelagic Fish,2014,9
1605,Starchy Roots,2014,147
1640,Poultry Meat,2014,59
1730,"Aquatic Animals, Others",2014,0
1720,"Molluscs, Other",2014,1
1600,Cereals - Excluding Beer,2014,1302
1725,"Meat, Aquatic Mammals",2014,0
1715,Cephalopods,2014,1
1735,Aquatic Plants,2014,0
1590,Grand Total,2014,2893
1710,Crustaceans,2014,2
1705,"Marine Fish, Other",2014,2
1595,Animal Products,2014,511
1641,Poultry Meat,2015,60
1651,"Offals, Edible",2015,7
1731,"Aquatic Animals, Others",2015,0
1736,Aquatic Plants,2015,0
1656,"Butter, Ghee",2015,30
1726,"Meat, Aquatic Mammals",2015,0
1646,"Meat, Other",2015,3
1696,Demersal Fish,2015,5
1701,Pelagic Fish,2015,8
1721,"Molluscs, Other",2015,1
1671,"Fish, Body Oil",2015,0
1716,Cephalopods,2015,1
1676,"Fish, Liver Oil",2015,0
1681,Eggs,2015,37
1711,Crustaceans,2015,2
1686,Milk - Excluding Butter,2015,138
1691,Freshwater Fish,2015,15
1706,"Marine Fish, Other",2015,2
1661,Cream,2015,2
1666,"Fats, Animals, Raw",2015,31
1636,Pigmeat,2015,120
1611,Treenuts,2015,15
1601,Cereals - Excluding Beer,2015,1304
1596,Animal Products,2015,514
1631,Mutton & Goat Meat,2015,11
1621,Fruits - Excluding Wine,2015,99
1606,Starchy Roots,2015,145
1626,Bovine Meat,2015,38
1591,Grand Total,2015,2899
1616,Vegetables,2015,96
1702,Pelagic Fish,2016,8
1717,Cephalopods,2016,1
1612,Treenuts,2016,15
1622,Fruits - Excluding Wine,2016,98
1672,"Fish, Body Oil",2016,0
1697,Demersal Fish,2016,5
1712,Crustaceans,2016,2
1602,Cereals - Excluding Beer,2016,1313
1607,Starchy Roots,2016,140
1677,"Fish, Liver Oil",2016,0
1692,Freshwater Fish,2016,15
1617,Vegetables,2016,97
1682,Eggs,2016,37
1687,Milk - Excluding Butter,2016,140
1707,"Marine Fish, Other",2016,2
1667,"Fats, Animals, Raw",2016,30
1652,"Offals, Edible",2016,7
1592,Grand Total,2016,2904
1632,Mutton & Goat Meat,2016,11
1647,"Meat, Other",2016,3
1637,Pigmeat,2016,121
1732,"Aquatic Animals, Others",2016,0
1657,"Butter, Ghee",2016,30
1727,"Meat, Aquatic Mammals",2016,0
1722,"Molluscs, Other",2016,1
1642,Poultry Meat,2016,60
1627,Bovine Meat,2016,38
1662,Cream,2016,2
1597,Animal Products,2016,516
