Year,Flux into atmosphere,Sink/source type,Reported value,Units,Value
1990,sink,natural sink,standard deviation,Pg C yr-1,1.03
1991,sink,natural sink,standard deviation,Pg C yr-1,1.03
1992,sink,natural sink,standard deviation,Pg C yr-1,1.03
1993,sink,natural sink,standard deviation,Pg C yr-1,1.03
1994,sink,natural sink,standard deviation,Pg C yr-1,1.03
1995,sink,natural sink,standard deviation,Pg C yr-1,1.03
1996,sink,natural sink,standard deviation,Pg C yr-1,1.03
1997,sink,natural sink,standard deviation,Pg C yr-1,1.03
1998,sink,natural sink,standard deviation,Pg C yr-1,1.03
1999,sink,natural sink,standard deviation,Pg C yr-1,1.03
2000,sink,natural sink,standard deviation,Pg C yr-1,1.03
2001,sink,natural sink,standard deviation,Pg C yr-1,1.03
2002,sink,natural sink,standard deviation,Pg C yr-1,1.03
2003,sink,natural sink,standard deviation,Pg C yr-1,1.03
2004,sink,natural sink,standard deviation,Pg C yr-1,1.03
2005,sink,natural sink,standard deviation,Pg C yr-1,1.03
2006,sink,natural sink,standard deviation,Pg C yr-1,1.03
2007,sink,natural sink,standard deviation,Pg C yr-1,1.03
2008,sink,natural sink,standard deviation,Pg C yr-1,1.03
2009,sink,natural sink,standard deviation,Pg C yr-1,1.03
2010,sink,natural sink,standard deviation,Pg C yr-1,1.03
2011,sink,natural sink,standard deviation,Pg C yr-1,1.03
2012,sink,natural sink,standard deviation,Pg C yr-1,1.03
2013,sink,natural sink,standard deviation,Pg C yr-1,1.03
2014,sink,natural sink,standard deviation,Pg C yr-1,1.03
2015,sink,natural sink,standard deviation,Pg C yr-1,1.03
2016,sink,natural sink,standard deviation,Pg C yr-1,1.03
2017,sink,natural sink,standard deviation,Pg C yr-1,1.03
2018,sink,natural sink,standard deviation,Pg C yr-1,1.03
1959,source,fossil fuel and industry,mean,Pg CO2 yr-1,8.86
1960,source,fossil fuel and industry,mean,Pg CO2 yr-1,9.35
1961,source,fossil fuel and industry,mean,Pg CO2 yr-1,9.37
1962,source,fossil fuel and industry,mean,Pg CO2 yr-1,9.71
1963,source,fossil fuel and industry,mean,Pg CO2 yr-1,10.26
1964,source,fossil fuel and industry,mean,Pg CO2 yr-1,10.79
1965,source,fossil fuel and industry,mean,Pg CO2 yr-1,11.29
1966,source,fossil fuel and industry,mean,Pg CO2 yr-1,11.81
1967,source,fossil fuel and industry,mean,Pg CO2 yr-1,12.19
1968,source,fossil fuel and industry,mean,Pg CO2 yr-1,12.86
1969,source,fossil fuel and industry,mean,Pg CO2 yr-1,13.71
1970,source,fossil fuel and industry,mean,Pg CO2 yr-1,14.85
1971,source,fossil fuel and industry,mean,Pg CO2 yr-1,15.45
1972,source,fossil fuel and industry,mean,Pg CO2 yr-1,16.17
1973,source,fossil fuel and industry,mean,Pg CO2 yr-1,17.03
1974,source,fossil fuel and industry,mean,Pg CO2 yr-1,16.95
1975,source,fossil fuel and industry,mean,Pg CO2 yr-1,16.93
1976,source,fossil fuel and industry,mean,Pg CO2 yr-1,17.83
1977,source,fossil fuel and industry,mean,Pg CO2 yr-1,18.32
1978,source,fossil fuel and industry,mean,Pg CO2 yr-1,18.99
1979,source,fossil fuel and industry,mean,Pg CO2 yr-1,19.5
1980,source,fossil fuel and industry,mean,Pg CO2 yr-1,19.4
1981,source,fossil fuel and industry,mean,Pg CO2 yr-1,18.88
1982,source,fossil fuel and industry,mean,Pg CO2 yr-1,18.74
1983,source,fossil fuel and industry,mean,Pg CO2 yr-1,18.92
1984,source,fossil fuel and industry,mean,Pg CO2 yr-1,19.47
1985,source,fossil fuel and industry,mean,Pg CO2 yr-1,20.16
1986,source,fossil fuel and industry,mean,Pg CO2 yr-1,20.45
1987,source,fossil fuel and industry,mean,Pg CO2 yr-1,21.11
1988,source,fossil fuel and industry,mean,Pg CO2 yr-1,21.92
1989,source,fossil fuel and industry,mean,Pg CO2 yr-1,22.25
1990,source,fossil fuel and industry,mean,Pg CO2 yr-1,22.73
1991,source,fossil fuel and industry,mean,Pg CO2 yr-1,23.21
1992,source,fossil fuel and industry,mean,Pg CO2 yr-1,22.48
1993,source,fossil fuel and industry,mean,Pg CO2 yr-1,22.73
1994,source,fossil fuel and industry,mean,Pg CO2 yr-1,22.89
1995,source,fossil fuel and industry,mean,Pg CO2 yr-1,23.39
1996,source,fossil fuel and industry,mean,Pg CO2 yr-1,24.12
1997,source,fossil fuel and industry,mean,Pg CO2 yr-1,24.26
1998,source,fossil fuel and industry,mean,Pg CO2 yr-1,24.17
1999,source,fossil fuel and industry,mean,Pg CO2 yr-1,24.48
2000,source,fossil fuel and industry,mean,Pg CO2 yr-1,25.17
2001,source,fossil fuel and industry,mean,Pg CO2 yr-1,25.38
2002,source,fossil fuel and industry,mean,Pg CO2 yr-1,25.94
2003,source,fossil fuel and industry,mean,Pg CO2 yr-1,27.19
2004,source,fossil fuel and industry,mean,Pg CO2 yr-1,28.46
2005,source,fossil fuel and industry,mean,Pg CO2 yr-1,29.42
2006,source,fossil fuel and industry,mean,Pg CO2 yr-1,30.4
2007,source,fossil fuel and industry,mean,Pg CO2 yr-1,31.31
2008,source,fossil fuel and industry,mean,Pg CO2 yr-1,32.02
2009,source,fossil fuel and industry,mean,Pg CO2 yr-1,31.56
2010,source,fossil fuel and industry,mean,Pg CO2 yr-1,33.18
2011,source,fossil fuel and industry,mean,Pg CO2 yr-1,34.3
2012,source,fossil fuel and industry,mean,Pg CO2 yr-1,34.82
2013,source,fossil fuel and industry,mean,Pg CO2 yr-1,34.98
2014,source,fossil fuel and industry,mean,Pg CO2 yr-1,35.25
2015,source,fossil fuel and industry,mean,Pg CO2 yr-1,35.27
2016,source,fossil fuel and industry,mean,Pg CO2 yr-1,35.41
2017,source,fossil fuel and industry,mean,Pg CO2 yr-1,35.84
2018,source,fossil fuel and industry,mean,Pg CO2 yr-1,36.6
1959,source,land-use change emissions,mean,Pg CO2 yr-1,6.64
1960,source,land-use change emissions,mean,Pg CO2 yr-1,6.06
1961,source,land-use change emissions,mean,Pg CO2 yr-1,5.78
1962,source,land-use change emissions,mean,Pg CO2 yr-1,5.6
1963,source,land-use change emissions,mean,Pg CO2 yr-1,5.38
1964,source,land-use change emissions,mean,Pg CO2 yr-1,5.18
1965,source,land-use change emissions,mean,Pg CO2 yr-1,5.0
1966,source,land-use change emissions,mean,Pg CO2 yr-1,4.83
1967,source,land-use change emissions,mean,Pg CO2 yr-1,4.75
1968,source,land-use change emissions,mean,Pg CO2 yr-1,4.73
1969,source,land-use change emissions,mean,Pg CO2 yr-1,4.75
1970,source,land-use change emissions,mean,Pg CO2 yr-1,4.66
1971,source,land-use change emissions,mean,Pg CO2 yr-1,4.57
1972,source,land-use change emissions,mean,Pg CO2 yr-1,4.46
1973,source,land-use change emissions,mean,Pg CO2 yr-1,4.37
1974,source,land-use change emissions,mean,Pg CO2 yr-1,4.25
1975,source,land-use change emissions,mean,Pg CO2 yr-1,4.17
1976,source,land-use change emissions,mean,Pg CO2 yr-1,4.11
1977,source,land-use change emissions,mean,Pg CO2 yr-1,4.04
1978,source,land-use change emissions,mean,Pg CO2 yr-1,3.91
1979,source,land-use change emissions,mean,Pg CO2 yr-1,3.81
1980,source,land-use change emissions,mean,Pg CO2 yr-1,3.98
1981,source,land-use change emissions,mean,Pg CO2 yr-1,4.04
1982,source,land-use change emissions,mean,Pg CO2 yr-1,4.1
1983,source,land-use change emissions,mean,Pg CO2 yr-1,4.25
1984,source,land-use change emissions,mean,Pg CO2 yr-1,4.39
1985,source,land-use change emissions,mean,Pg CO2 yr-1,4.47
1986,source,land-use change emissions,mean,Pg CO2 yr-1,4.6
1987,source,land-use change emissions,mean,Pg CO2 yr-1,4.73
1988,source,land-use change emissions,mean,Pg CO2 yr-1,4.8
1989,source,land-use change emissions,mean,Pg CO2 yr-1,4.89
1990,source,land-use change emissions,mean,Pg CO2 yr-1,4.8
1991,source,land-use change emissions,mean,Pg CO2 yr-1,4.79
1992,source,land-use change emissions,mean,Pg CO2 yr-1,4.82
1993,source,land-use change emissions,mean,Pg CO2 yr-1,4.81
1994,source,land-use change emissions,mean,Pg CO2 yr-1,4.79
1995,source,land-use change emissions,mean,Pg CO2 yr-1,4.74
1996,source,land-use change emissions,mean,Pg CO2 yr-1,4.64
1997,source,land-use change emissions,mean,Pg CO2 yr-1,6.37
1998,source,land-use change emissions,mean,Pg CO2 yr-1,4.35
1999,source,land-use change emissions,mean,Pg CO2 yr-1,4.26
2000,source,land-use change emissions,mean,Pg CO2 yr-1,4.92
2001,source,land-use change emissions,mean,Pg CO2 yr-1,4.66
2002,source,land-use change emissions,mean,Pg CO2 yr-1,5.36
2003,source,land-use change emissions,mean,Pg CO2 yr-1,5.57
2004,source,land-use change emissions,mean,Pg CO2 yr-1,5.42
2005,source,land-use change emissions,mean,Pg CO2 yr-1,5.02
2006,source,land-use change emissions,mean,Pg CO2 yr-1,5.2
2007,source,land-use change emissions,mean,Pg CO2 yr-1,4.53
2008,source,land-use change emissions,mean,Pg CO2 yr-1,4.76
2009,source,land-use change emissions,mean,Pg CO2 yr-1,5.51
2010,source,land-use change emissions,mean,Pg CO2 yr-1,5.08
2011,source,land-use change emissions,mean,Pg CO2 yr-1,4.92
2012,source,land-use change emissions,mean,Pg CO2 yr-1,5.38
2013,source,land-use change emissions,mean,Pg CO2 yr-1,5.57
2014,source,land-use change emissions,mean,Pg CO2 yr-1,6.08
2015,source,land-use change emissions,mean,Pg CO2 yr-1,6.25
2016,source,land-use change emissions,mean,Pg CO2 yr-1,5.64
2017,source,land-use change emissions,mean,Pg CO2 yr-1,5.39
2018,source,land-use change emissions,mean,Pg CO2 yr-1,5.53
1959,source,atmospheric growth,mean,Pg CO2 yr-1,7.5
1960,source,atmospheric growth,mean,Pg CO2 yr-1,5.54
1961,source,atmospheric growth,mean,Pg CO2 yr-1,6.09
1962,source,atmospheric growth,mean,Pg CO2 yr-1,4.37
1963,source,atmospheric growth,mean,Pg CO2 yr-1,4.45
1964,source,atmospheric growth,mean,Pg CO2 yr-1,3.83
1965,source,atmospheric growth,mean,Pg CO2 yr-1,8.59
1966,source,atmospheric growth,mean,Pg CO2 yr-1,8.59
1967,source,atmospheric growth,mean,Pg CO2 yr-1,4.76
1968,source,atmospheric growth,mean,Pg CO2 yr-1,7.73
1969,source,atmospheric growth,mean,Pg CO2 yr-1,10.31
1970,source,atmospheric growth,mean,Pg CO2 yr-1,8.83
1971,source,atmospheric growth,mean,Pg CO2 yr-1,5.7
1972,source,atmospheric growth,mean,Pg CO2 yr-1,11.48
1973,source,atmospheric growth,mean,Pg CO2 yr-1,11.4
1974,source,atmospheric growth,mean,Pg CO2 yr-1,5.31
1975,source,atmospheric growth,mean,Pg CO2 yr-1,9.61
1976,source,atmospheric growth,mean,Pg CO2 yr-1,7.58
1977,source,atmospheric growth,mean,Pg CO2 yr-1,15.0
1978,source,atmospheric growth,mean,Pg CO2 yr-1,10.08
1979,source,atmospheric growth,mean,Pg CO2 yr-1,16.71
1980,source,atmospheric growth,mean,Pg CO2 yr-1,13.28
1981,source,atmospheric growth,mean,Pg CO2 yr-1,8.98
1982,source,atmospheric growth,mean,Pg CO2 yr-1,7.81
1983,source,atmospheric growth,mean,Pg CO2 yr-1,14.45
1984,source,atmospheric growth,mean,Pg CO2 yr-1,9.68
1985,source,atmospheric growth,mean,Pg CO2 yr-1,12.65
1986,source,atmospheric growth,mean,Pg CO2 yr-1,7.97
1987,source,atmospheric growth,mean,Pg CO2 yr-1,21.09
1988,source,atmospheric growth,mean,Pg CO2 yr-1,17.57
1989,source,atmospheric growth,mean,Pg CO2 yr-1,10.78
1990,source,atmospheric growth,mean,Pg CO2 yr-1,9.14
1991,source,atmospheric growth,mean,Pg CO2 yr-1,5.78
1992,source,atmospheric growth,mean,Pg CO2 yr-1,5.47
1993,source,atmospheric growth,mean,Pg CO2 yr-1,9.61
1994,source,atmospheric growth,mean,Pg CO2 yr-1,13.12
1995,source,atmospheric growth,mean,Pg CO2 yr-1,15.23
1996,source,atmospheric growth,mean,Pg CO2 yr-1,8.28
1997,source,atmospheric growth,mean,Pg CO2 yr-1,15.39
1998,source,atmospheric growth,mean,Pg CO2 yr-1,22.03
1999,source,atmospheric growth,mean,Pg CO2 yr-1,10.7
2000,source,atmospheric growth,mean,Pg CO2 yr-1,9.61
2001,source,atmospheric growth,mean,Pg CO2 yr-1,14.22
2002,source,atmospheric growth,mean,Pg CO2 yr-1,18.43
2003,source,atmospheric growth,mean,Pg CO2 yr-1,17.89
2004,source,atmospheric growth,mean,Pg CO2 yr-1,12.26
2005,source,atmospheric growth,mean,Pg CO2 yr-1,19.06
2006,source,atmospheric growth,mean,Pg CO2 yr-1,13.67
2007,source,atmospheric growth,mean,Pg CO2 yr-1,16.4
2008,source,atmospheric growth,mean,Pg CO2 yr-1,13.9
2009,source,atmospheric growth,mean,Pg CO2 yr-1,12.57
2010,source,atmospheric growth,mean,Pg CO2 yr-1,18.98
2011,source,atmospheric growth,mean,Pg CO2 yr-1,13.28
2012,source,atmospheric growth,mean,Pg CO2 yr-1,18.67
2013,source,atmospheric growth,mean,Pg CO2 yr-1,18.82
2014,source,atmospheric growth,mean,Pg CO2 yr-1,15.85
2015,source,atmospheric growth,mean,Pg CO2 yr-1,23.2
2016,source,atmospheric growth,mean,Pg CO2 yr-1,22.26
2017,source,atmospheric growth,mean,Pg CO2 yr-1,16.79
2018,source,atmospheric growth,mean,Pg CO2 yr-1,18.9
1959,sink,ocean sink,mean,Pg CO2 yr-1,2.78
1960,sink,ocean sink,mean,Pg CO2 yr-1,2.9
1961,sink,ocean sink,mean,Pg CO2 yr-1,2.5
1962,sink,ocean sink,mean,Pg CO2 yr-1,2.76
1963,sink,ocean sink,mean,Pg CO2 yr-1,3.26
1964,sink,ocean sink,mean,Pg CO2 yr-1,3.81
1965,sink,ocean sink,mean,Pg CO2 yr-1,4.3
1966,sink,ocean sink,mean,Pg CO2 yr-1,4.21
1967,sink,ocean sink,mean,Pg CO2 yr-1,3.54
1968,sink,ocean sink,mean,Pg CO2 yr-1,3.92
1969,sink,ocean sink,mean,Pg CO2 yr-1,4.06
1970,sink,ocean sink,mean,Pg CO2 yr-1,3.79
1971,sink,ocean sink,mean,Pg CO2 yr-1,4.14
1972,sink,ocean sink,mean,Pg CO2 yr-1,4.92
1973,sink,ocean sink,mean,Pg CO2 yr-1,4.76
1974,sink,ocean sink,mean,Pg CO2 yr-1,4.53
1975,sink,ocean sink,mean,Pg CO2 yr-1,4.51
1976,sink,ocean sink,mean,Pg CO2 yr-1,4.84
1977,sink,ocean sink,mean,Pg CO2 yr-1,5.13
1978,sink,ocean sink,mean,Pg CO2 yr-1,5.27
1979,sink,ocean sink,mean,Pg CO2 yr-1,4.97
1980,sink,ocean sink,mean,Pg CO2 yr-1,5.97
1981,sink,ocean sink,mean,Pg CO2 yr-1,5.93
1982,sink,ocean sink,mean,Pg CO2 yr-1,6.24
1983,sink,ocean sink,mean,Pg CO2 yr-1,6.7
1984,sink,ocean sink,mean,Pg CO2 yr-1,6.22
1985,sink,ocean sink,mean,Pg CO2 yr-1,6.05
1986,sink,ocean sink,mean,Pg CO2 yr-1,6.34
1987,sink,ocean sink,mean,Pg CO2 yr-1,6.69
1988,sink,ocean sink,mean,Pg CO2 yr-1,6.26
1989,sink,ocean sink,mean,Pg CO2 yr-1,6.24
1990,sink,ocean sink,mean,Pg CO2 yr-1,6.66
1991,sink,ocean sink,mean,Pg CO2 yr-1,7.0
1992,sink,ocean sink,mean,Pg CO2 yr-1,7.7
1993,sink,ocean sink,mean,Pg CO2 yr-1,7.44
1994,sink,ocean sink,mean,Pg CO2 yr-1,6.98
1995,sink,ocean sink,mean,Pg CO2 yr-1,7.0
1996,sink,ocean sink,mean,Pg CO2 yr-1,6.82
1997,sink,ocean sink,mean,Pg CO2 yr-1,7.3
1998,sink,ocean sink,mean,Pg CO2 yr-1,7.67
1999,sink,ocean sink,mean,Pg CO2 yr-1,7.11
2000,sink,ocean sink,mean,Pg CO2 yr-1,6.99
2001,sink,ocean sink,mean,Pg CO2 yr-1,6.62
2002,sink,ocean sink,mean,Pg CO2 yr-1,7.88
2003,sink,ocean sink,mean,Pg CO2 yr-1,8.14
2004,sink,ocean sink,mean,Pg CO2 yr-1,7.89
2005,sink,ocean sink,mean,Pg CO2 yr-1,8.13
2006,sink,ocean sink,mean,Pg CO2 yr-1,8.37
2007,sink,ocean sink,mean,Pg CO2 yr-1,8.5
2008,sink,ocean sink,mean,Pg CO2 yr-1,8.33
2009,sink,ocean sink,mean,Pg CO2 yr-1,8.57
2010,sink,ocean sink,mean,Pg CO2 yr-1,8.45
2011,sink,ocean sink,mean,Pg CO2 yr-1,8.9
2012,sink,ocean sink,mean,Pg CO2 yr-1,9.09
2013,sink,ocean sink,mean,Pg CO2 yr-1,9.18
2014,sink,ocean sink,mean,Pg CO2 yr-1,9.46
2015,sink,ocean sink,mean,Pg CO2 yr-1,9.68
2016,sink,ocean sink,mean,Pg CO2 yr-1,9.79
2017,sink,ocean sink,mean,Pg CO2 yr-1,9.32
2018,sink,ocean sink,mean,Pg CO2 yr-1,9.64
1959,sink,land sink,mean,Pg CO2 yr-1,2.07
1960,sink,land sink,mean,Pg CO2 yr-1,4.88
1961,sink,land sink,mean,Pg CO2 yr-1,2.52
1962,sink,land sink,mean,Pg CO2 yr-1,4.84
1963,sink,land sink,mean,Pg CO2 yr-1,4.0
1964,sink,land sink,mean,Pg CO2 yr-1,5.41
1965,sink,land sink,mean,Pg CO2 yr-1,1.96
1966,sink,land sink,mean,Pg CO2 yr-1,5.25
1967,sink,land sink,mean,Pg CO2 yr-1,6.19
1968,sink,land sink,mean,Pg CO2 yr-1,9.1
1969,sink,land sink,mean,Pg CO2 yr-1,1.9
1970,sink,land sink,mean,Pg CO2 yr-1,1.56
1971,sink,land sink,mean,Pg CO2 yr-1,9.23
1972,sink,land sink,mean,Pg CO2 yr-1,4.28
1973,sink,land sink,mean,Pg CO2 yr-1,5.11
1974,sink,land sink,mean,Pg CO2 yr-1,14.4
1975,sink,land sink,mean,Pg CO2 yr-1,8.78
1976,sink,land sink,mean,Pg CO2 yr-1,10.94
1977,sink,land sink,mean,Pg CO2 yr-1,5.22
1978,sink,land sink,mean,Pg CO2 yr-1,9.72
1979,sink,land sink,mean,Pg CO2 yr-1,5.29
1980,sink,land sink,mean,Pg CO2 yr-1,1.84
1981,sink,land sink,mean,Pg CO2 yr-1,8.25
1982,sink,land sink,mean,Pg CO2 yr-1,5.48
1983,sink,land sink,mean,Pg CO2 yr-1,0.83
1984,sink,land sink,mean,Pg CO2 yr-1,9.95
1985,sink,land sink,mean,Pg CO2 yr-1,9.72
1986,sink,land sink,mean,Pg CO2 yr-1,8.09
1987,sink,land sink,mean,Pg CO2 yr-1,1.57
1988,sink,land sink,mean,Pg CO2 yr-1,7.08
1989,sink,land sink,mean,Pg CO2 yr-1,12.33
1990,sink,land sink,mean,Pg CO2 yr-1,8.32
1991,sink,land sink,mean,Pg CO2 yr-1,8.04
1992,sink,land sink,mean,Pg CO2 yr-1,7.7
1993,sink,land sink,mean,Pg CO2 yr-1,10.38
1994,sink,land sink,mean,Pg CO2 yr-1,5.18
1995,sink,land sink,mean,Pg CO2 yr-1,6.21
1996,sink,land sink,mean,Pg CO2 yr-1,11.21
1997,sink,land sink,mean,Pg CO2 yr-1,11.69
1998,sink,land sink,mean,Pg CO2 yr-1,5.25
1999,sink,land sink,mean,Pg CO2 yr-1,12.39
2000,sink,land sink,mean,Pg CO2 yr-1,13.67
2001,sink,land sink,mean,Pg CO2 yr-1,8.76
2002,sink,land sink,mean,Pg CO2 yr-1,3.83
2003,sink,land sink,mean,Pg CO2 yr-1,8.36
2004,sink,land sink,mean,Pg CO2 yr-1,12.66
2005,sink,land sink,mean,Pg CO2 yr-1,6.66
2006,sink,land sink,mean,Pg CO2 yr-1,11.07
2007,sink,land sink,mean,Pg CO2 yr-1,10.37
2008,sink,land sink,mean,Pg CO2 yr-1,12.85
2009,sink,land sink,mean,Pg CO2 yr-1,9.96
2010,sink,land sink,mean,Pg CO2 yr-1,11.49
2011,sink,land sink,mean,Pg CO2 yr-1,15.14
2012,sink,land sink,mean,Pg CO2 yr-1,9.34
2013,sink,land sink,mean,Pg CO2 yr-1,12.03
2014,sink,land sink,mean,Pg CO2 yr-1,13.62
2015,sink,land sink,mean,Pg CO2 yr-1,8.05
2016,sink,land sink,mean,Pg CO2 yr-1,9.97
2017,sink,land sink,mean,Pg CO2 yr-1,13.14
2018,sink,land sink,mean,Pg CO2 yr-1,12.72
1959,source,budget imbalance,mean,Pg CO2 yr-1,3.16
1960,source,budget imbalance,mean,Pg CO2 yr-1,2.08
1961,source,budget imbalance,mean,Pg CO2 yr-1,4.04
1962,source,budget imbalance,mean,Pg CO2 yr-1,3.33
1963,source,budget imbalance,mean,Pg CO2 yr-1,3.93
1964,source,budget imbalance,mean,Pg CO2 yr-1,2.93
1965,source,budget imbalance,mean,Pg CO2 yr-1,1.43
1966,source,budget imbalance,mean,Pg CO2 yr-1,-1.41
1967,source,budget imbalance,mean,Pg CO2 yr-1,2.44
1968,source,budget imbalance,mean,Pg CO2 yr-1,-3.16
1969,source,budget imbalance,mean,Pg CO2 yr-1,2.2
1970,source,budget imbalance,mean,Pg CO2 yr-1,5.34
1971,source,budget imbalance,mean,Pg CO2 yr-1,0.96
1972,source,budget imbalance,mean,Pg CO2 yr-1,-0.05
1973,source,budget imbalance,mean,Pg CO2 yr-1,0.12
1974,source,budget imbalance,mean,Pg CO2 yr-1,-3.04
1975,source,budget imbalance,mean,Pg CO2 yr-1,-1.8
1976,source,budget imbalance,mean,Pg CO2 yr-1,-1.42
1977,source,budget imbalance,mean,Pg CO2 yr-1,-2.98
1978,source,budget imbalance,mean,Pg CO2 yr-1,-2.16
1979,source,budget imbalance,mean,Pg CO2 yr-1,-3.67
1980,source,budget imbalance,mean,Pg CO2 yr-1,2.3
1981,source,budget imbalance,mean,Pg CO2 yr-1,-0.24
1982,source,budget imbalance,mean,Pg CO2 yr-1,3.31
1983,source,budget imbalance,mean,Pg CO2 yr-1,1.19
1984,source,budget imbalance,mean,Pg CO2 yr-1,-1.99
1985,source,budget imbalance,mean,Pg CO2 yr-1,-3.79
1986,source,budget imbalance,mean,Pg CO2 yr-1,2.65
1987,source,budget imbalance,mean,Pg CO2 yr-1,-3.5
1988,source,budget imbalance,mean,Pg CO2 yr-1,-4.2
1989,source,budget imbalance,mean,Pg CO2 yr-1,-2.21
1990,source,budget imbalance,mean,Pg CO2 yr-1,3.41
1991,source,budget imbalance,mean,Pg CO2 yr-1,7.18
1992,source,budget imbalance,mean,Pg CO2 yr-1,6.44
1993,source,budget imbalance,mean,Pg CO2 yr-1,0.12
1994,source,budget imbalance,mean,Pg CO2 yr-1,2.41
1995,source,budget imbalance,mean,Pg CO2 yr-1,-0.3
1996,source,budget imbalance,mean,Pg CO2 yr-1,2.46
1997,source,budget imbalance,mean,Pg CO2 yr-1,-3.75
1998,source,budget imbalance,mean,Pg CO2 yr-1,-6.43
1999,source,budget imbalance,mean,Pg CO2 yr-1,-1.47
2000,source,budget imbalance,mean,Pg CO2 yr-1,-0.18
2001,source,budget imbalance,mean,Pg CO2 yr-1,0.45
2002,source,budget imbalance,mean,Pg CO2 yr-1,1.16
2003,source,budget imbalance,mean,Pg CO2 yr-1,-1.62
2004,source,budget imbalance,mean,Pg CO2 yr-1,1.07
2005,source,budget imbalance,mean,Pg CO2 yr-1,0.59
2006,source,budget imbalance,mean,Pg CO2 yr-1,2.49
2007,source,budget imbalance,mean,Pg CO2 yr-1,0.57
2008,source,budget imbalance,mean,Pg CO2 yr-1,1.69
2009,source,budget imbalance,mean,Pg CO2 yr-1,5.97
2010,source,budget imbalance,mean,Pg CO2 yr-1,-0.66
2011,source,budget imbalance,mean,Pg CO2 yr-1,1.9
2012,source,budget imbalance,mean,Pg CO2 yr-1,3.11
2013,source,budget imbalance,mean,Pg CO2 yr-1,0.52
2014,source,budget imbalance,mean,Pg CO2 yr-1,2.4
2015,source,budget imbalance,mean,Pg CO2 yr-1,0.58
2016,source,budget imbalance,mean,Pg CO2 yr-1,-0.98
2017,source,budget imbalance,mean,Pg CO2 yr-1,1.98
2018,source,budget imbalance,mean,Pg CO2 yr-1,0.88
1959,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.5
1960,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.41
1961,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.15
1962,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.3
1963,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.64
1964,source,anthropogenic emissions,mean,Pg CO2 yr-1,15.97
1965,source,anthropogenic emissions,mean,Pg CO2 yr-1,16.29
1966,source,anthropogenic emissions,mean,Pg CO2 yr-1,16.65
1967,source,anthropogenic emissions,mean,Pg CO2 yr-1,16.94
1968,source,anthropogenic emissions,mean,Pg CO2 yr-1,17.59
1969,source,anthropogenic emissions,mean,Pg CO2 yr-1,18.47
1970,source,anthropogenic emissions,mean,Pg CO2 yr-1,19.51
1971,source,anthropogenic emissions,mean,Pg CO2 yr-1,20.02
1972,source,anthropogenic emissions,mean,Pg CO2 yr-1,20.63
1973,source,anthropogenic emissions,mean,Pg CO2 yr-1,21.4
1974,source,anthropogenic emissions,mean,Pg CO2 yr-1,21.2
1975,source,anthropogenic emissions,mean,Pg CO2 yr-1,21.1
1976,source,anthropogenic emissions,mean,Pg CO2 yr-1,21.94
1977,source,anthropogenic emissions,mean,Pg CO2 yr-1,22.36
1978,source,anthropogenic emissions,mean,Pg CO2 yr-1,22.9
1979,source,anthropogenic emissions,mean,Pg CO2 yr-1,23.31
1980,source,anthropogenic emissions,mean,Pg CO2 yr-1,23.38
1981,source,anthropogenic emissions,mean,Pg CO2 yr-1,22.92
1982,source,anthropogenic emissions,mean,Pg CO2 yr-1,22.83
1983,source,anthropogenic emissions,mean,Pg CO2 yr-1,23.17
1984,source,anthropogenic emissions,mean,Pg CO2 yr-1,23.86
1985,source,anthropogenic emissions,mean,Pg CO2 yr-1,24.63
1986,source,anthropogenic emissions,mean,Pg CO2 yr-1,25.04
1987,source,anthropogenic emissions,mean,Pg CO2 yr-1,25.84
1988,source,anthropogenic emissions,mean,Pg CO2 yr-1,26.71
1989,source,anthropogenic emissions,mean,Pg CO2 yr-1,27.14
1990,source,anthropogenic emissions,mean,Pg CO2 yr-1,27.53
1991,source,anthropogenic emissions,mean,Pg CO2 yr-1,28.0
1992,source,anthropogenic emissions,mean,Pg CO2 yr-1,27.31
1993,source,anthropogenic emissions,mean,Pg CO2 yr-1,27.55
1994,source,anthropogenic emissions,mean,Pg CO2 yr-1,27.69
1995,source,anthropogenic emissions,mean,Pg CO2 yr-1,28.13
1996,source,anthropogenic emissions,mean,Pg CO2 yr-1,28.76
1997,source,anthropogenic emissions,mean,Pg CO2 yr-1,30.63
1998,source,anthropogenic emissions,mean,Pg CO2 yr-1,28.52
1999,source,anthropogenic emissions,mean,Pg CO2 yr-1,28.73
2000,source,anthropogenic emissions,mean,Pg CO2 yr-1,30.09
2001,source,anthropogenic emissions,mean,Pg CO2 yr-1,30.05
2002,source,anthropogenic emissions,mean,Pg CO2 yr-1,31.3
2003,source,anthropogenic emissions,mean,Pg CO2 yr-1,32.76
2004,source,anthropogenic emissions,mean,Pg CO2 yr-1,33.89
2005,source,anthropogenic emissions,mean,Pg CO2 yr-1,34.44
2006,source,anthropogenic emissions,mean,Pg CO2 yr-1,35.6
2007,source,anthropogenic emissions,mean,Pg CO2 yr-1,35.84
2008,source,anthropogenic emissions,mean,Pg CO2 yr-1,36.78
2009,source,anthropogenic emissions,mean,Pg CO2 yr-1,37.07
